Team,Year,Actual_Win_Pct,Predicted_With_Coach,Predicted_Replacement,Coaching_WAR,Predicted_Impact,Prediction_Error_Coach,Prediction_Error_Replacement,Primary_Coach,Combined_Coach,WAR_Percentile,Background,OC_Years,DC_Years
CHI,1974,0.2857,0.25668895,0.29054832,-0.0048483245849609,-0.033859372,0.0290110475540161,-0.0048483245849609,Abe Gibron,Abe Gibron,44.26619132501485,Defensive,0,2
CHI,1973,0.2143,0.2487943,0.3210367,-0.106736696434021,-0.072242394,-0.0344943023443222,-0.106736696434021,Abe Gibron,Abe Gibron,14.73559120617944,Defensive,0,2
CHI,1972,0.3214,0.3708053,0.5785385,-0.2571384774208068,-0.20773318,-0.0494052933216094,-0.2571384774208068,Abe Gibron,Abe Gibron,1.30718954248366,Defensive,0,2
MIA,2016,0.625,0.55074596,0.44123787,0.1837621331214904,0.1095081,0.074254035949707,0.1837621331214904,Adam Gase,Adam Gase,93.58288770053476,Offensive,3,0
NYJ,2019,0.4375,0.34868002,0.3090571,0.1284429132938385,0.039622933,0.0888199806213378,0.1284429132938385,Adam Gase,Adam Gase,84.78906714200832,Offensive,3,0
MIA,2017,0.375,0.34996983,0.30609518,0.0689048171043396,0.04387465,0.0250301659107208,0.0689048171043396,Adam Gase,Adam Gase,68.15210932857991,Offensive,3,0
MIA,2018,0.4375,0.50683314,0.51242644,-0.0749264359474182,-0.0055933,-0.0693331360816955,-0.0749264359474182,Adam Gase,Adam Gase,22.04396910279264,Offensive,3,0
NYJ,2020,0.125,0.20283988,0.21758379,-0.0925837904214859,-0.014743909,-0.0778398811817169,-0.0925837904214859,Adam Gase,Adam Gase,17.88472964943553,Offensive,3,0
SFO,1987,0.8667,0.6484334,0.573002,0.2936980192184448,0.07543141,0.2182666127204895,0.2936980192184448,Bill Walsh,Bill Walsh,99.46524064171123,Other,0,0
SFO,1984,0.9375,0.7904644,0.72963315,0.2078668475151062,0.06083125,0.1470355987548828,0.2078668475151062,Bill Walsh,Bill Walsh,95.95959595959596,Other,0,0
SFO,1981,0.8125,0.5680197,0.6646611,0.1478388905525207,-0.09664142,0.2444803118705749,0.1478388905525207,Bill Walsh,Bill Walsh,88.94830659536542,Other,0,0
SFO,1986,0.6562,0.5720453,0.56802154,0.0881784641265869,0.0040237904,0.0841546737670898,0.0881784641265869,Bill Walsh,Bill Walsh,74.8663101604278,Other,0,0
SFO,1980,0.375,0.29989928,0.29646796,0.0785320401191711,0.0034313202,0.0751007199287414,0.0785320401191711,Bill Walsh,Bill Walsh,71.89542483660131,Other,0,0
SFO,1988,0.625,0.67889327,0.6271203,-0.0021203160285949,0.051772952,-0.0538932681083679,-0.0021203160285949,Bill Walsh,Bill Walsh,44.97920380273322,Other,0,0
SFO,1985,0.625,0.639631,0.6329097,-0.0079097151756286,0.006721258,-0.0146309733390808,-0.0079097151756286,Bill Walsh,Bill Walsh,42.780748663101605,Other,0,0
SFO,1983,0.625,0.68796843,0.66941625,-0.0444162487983703,0.018552184,-0.0629684329032898,-0.0444162487983703,Bill Walsh,Bill Walsh,30.95662507427213,Other,0,0
SFO,1982,0.3333,0.5598154,0.44367284,-0.1103728358268738,0.11614257,-0.2265154067993164,-0.1103728358268738,Bill Walsh,Bill Walsh,13.666072489601902,Other,0,0
SFO,1979,0.125,0.36170828,0.36149603,-0.2364960312843322,0.00021225214,-0.2367082834243774,-0.2364960312843322,Bill Walsh,Bill Walsh,2.13903743315508,Other,0,0
CLE,2003,0.3125,0.2861498,0.28044468,0.0320553183555603,0.005705118,0.026350200176239,0.0320553183555603,Butch Davis,Butch Davis,56.26856803327392,Other,0,0
CLE,2002,0.5625,0.5239116,0.535212,0.027288019657135,-0.011300385,0.0385884046554565,0.027288019657135,Butch Davis,Butch Davis,54.72370766488414,Other,0,0
CLE,2004,0.25,0.26446858,0.25621498,-0.0062149763107299,0.008253604,-0.0144685804843902,-0.0062149763107299,Butch Davis,Butch Davis / Terry Robiskie,43.49376114081996,Other,0,0
