Feature,Importance,Is_Coach_Feature
ReservesIR/PUP/NFI/SUSP_Pct,0.02255486,False
Team_Int_Passing_Norm,0.014894261,False
Opp_Int_Passing_Norm,0.014398652,False
QB_Max_Games_Missed_Pct,0.0128072845,False
PF (Points For)__hc_Norm,0.011942276,True
PF (Points For)__opp__hc_Norm,0.011935863,True
QB_Min_Games_Missed_Pct,0.011670378,False
Active53-Man_Pct,0.011633883,False
Yds__opp__hc_Norm,0.011449148,True
Sc%__opp__hc_Norm,0.010777304,True
Pts Average Drive__opp__hc_Norm,0.0106497,True
QB_Avg_Games_Missed_Pct,0.008713898,False
Avg_Starter_Experience,0.008196547,False
Y/P__opp__hc_Norm,0.007626459,True
Avg_Roster_Exp_QB,0.007477956,False
NY/A Passing__opp__hc_Norm,0.0073784306,True
QB_Players_New,0.006515195,False
4DAtt__oc_Norm,0.006337077,True
QB_New_Player_Rate_Pct,0.0063368473,False
QB_Departure_Rate_Pct,0.0062582693,False
CB_New_Player_Rate_Pct,0.006165764,False
NY/A Passing__hc_Norm,0.005969552,True
num_yr_nfl_pos,0.0057191076,True
RZPct__opp__hc_Norm,0.00568774,True
OL_Players_New,0.005632055,False
TD Rushing__hc_Norm,0.005607421,True
1stD__opp__hc_Norm,0.0055981725,True
Time Average Drive__opp__hc_Norm,0.0054478026,True
TD Passing__hc_Norm,0.005296264,True
Y/P__oc_Norm,0.005296118,True
Avg_Roster_Age,0.00511385,False
Avg_Starter_Exp_OL,0.005026718,False
TE_Players_New,0.004915847,False
P_Pct,0.0049076574,False
RB_Pct,0.004878279,False
SPT_Pct,0.0048724613,False
Avg_Roster_Exp_OL,0.004853736,False
Yds Penalties__oc_Norm,0.004849868,True
RB_Players_New,0.0047888733,False
DeadCap_Pct,0.0047375876,False
RZAtt__hc_Norm,0.0047275093,True
Avg_Starter_Exp_QB,0.0047046775,False
DL_Net_Change,0.0047038225,False
Avg_Starter_Age,0.004675914,False
K_Pct,0.0046165935,False
3D%__opp__hc_Norm,0.004615384,True
Pts Average Drive__hc_Norm,0.0046088127,True
RZAtt__opp__hc_Norm,0.004552199,True
Yds Rushing__opp__hc_Norm,0.004515605,True
Yds__oc_Norm,0.004504349,True
SoS,0.0044841096,False
Avg_Roster_Experience,0.004461305,False
QB_Retention_Rate_Pct,0.0044539943,False
#Dr__dc_Norm,0.004343813,True
WR_Players_New,0.0043352935,False
TO%__hc_Norm,0.004306668,True
QB_Net_Change,0.0042553633,False
Avg_Roster_Age_DL,0.004147339,False
Sc%__hc_Norm,0.004098993,True
RB_Avg_Games_Missed_Pct,0.0040918724,False
Avg_Starter_Age_OL,0.0040616896,False
OL_Players_Retained,0.0040548355,False
Yds Penalties__opp__hc_Norm,0.0040522995,True
StdDev_Roster_Age,0.004007274,False
1stPy__hc_Norm,0.00400101,True
Time Average Drive__dc_Norm,0.0038964623,True
1stD Passing__hc_Norm,0.0038742174,True
Yds Passing__oc_Norm,0.0038416933,True
Avg_Starter_Age_RB,0.0038146412,False
CB_Players_Retained,0.0037994299,False
Yds Average Drive__dc_Norm,0.0037806306,True
Yds Average Drive__opp__hc_Norm,0.0037305353,True
CB_Avg_Games_Missed_Pct,0.00372893,False
DL_Players_Departed,0.0037198009,False
Prev_3Yr_Round_1_Picks,0.0037182588,False
4D%__hc_Norm,0.0037084804,True
TE_New_Player_Rate_Pct,0.0036965753,False
Yds Penalties__dc_Norm,0.0036870413,True
Yds__hc_Norm,0.003650049,True
DL_Retention_Rate_Pct,0.003626443,False
1stD__hc_Norm,0.0036150839,True
Cap SpaceAll_Pct,0.0036123025,False
RB_Max_Games_Missed_Pct,0.0035932562,False
OL_Max_Games_Missed_Pct,0.0035804897,False
Y/A Rushing__opp__hc_Norm,0.003578897,True
LB_New_Player_Rate_Pct,0.0035716195,False
Avg_Roster_Exp_CB,0.003553143,False
1stD Rushing__hc_Norm,0.003537484,True
1stPy__dc_Norm,0.0035197276,True
1stD__oc_Norm,0.0035194627,True
Avg_Starter_Age_WR,0.0034932739,False
PF (Points For)__oc_Norm,0.0034918627,True
TD Rushing__opp__hc_Norm,0.0034895393,True
4D%__oc_Norm,0.0034865194,True
1stD Passing__oc_Norm,0.0034703258,True
DL_New_Player_Rate_Pct_crosstab,0.0034562412,False
DL_Avg_Games_Missed_Pct,0.0034534314,False
StdDev_Roster_Experience,0.0034450626,False
S_New_Player_Rate_Pct,0.0034365049,False
Plays Average Drive__opp__hc_Norm,0.0034214358,True
NY/A Passing__oc_Norm,0.003419912,True
Att Rushing__opp__hc_Norm,0.0034105477,True
TD Rushing__oc_Norm,0.003352802,True
TE_Min_Games_Missed_Pct,0.0033515044,False
CB_Retention_Rate_Pct_crosstab,0.0033374866,False
TD Passing__oc_Norm,0.0033044438,True
3DAtt__oc_Norm,0.0032619084,True
Prev_2Yr_Round_1_Picks,0.0032567976,False
CB_Players_New,0.0032060621,False
Plays Average Drive__oc_Norm,0.0032000567,True
OL_Departure_Rate_Pct,0.003178258,False
3D%__oc_Norm,0.003159716,True
RB_Net_Change,0.0031126866,False
OL_Retention_Rate_Pct,0.0031041468,False
OL_New_Player_Rate_Pct,0.0030830752,False
Prev_3Yr_Round_7Plus_Picks,0.003058895,False
4DAtt__opp__hc_Norm,0.0030559415,True
SEC_Pct,0.0030367242,False
RB_Min_Games_Missed_Pct,0.0030346287,False
Year,0.0030189578,False
OL_Net_Change,0.0030130604,False
TO%__dc_Norm,0.0030081773,True
Prev_3Yr_Round_4_Picks,0.0030053395,False
QB_Players_Departed,0.0029791482,False
Yds Rushing__dc_Norm,0.002976132,True
WR_New_Player_Rate_Pct,0.0029477275,False
RZPct__hc_Norm,0.0029155132,True
Total CapAllocations_Pct,0.002906168,False
#Dr__hc_Norm,0.0029008442,True
RZAtt__dc_Norm,0.0028769749,True
Prev_2Yr_Round_4_Picks,0.002844253,False
Prev_2Yr_Round_2_Picks,0.0028225097,False
Avg_Roster_Age_S,0.0028130435,False
1stD Passing__opp__hc_Norm,0.002811818,True
4D%__opp__hc_Norm,0.0028111741,True
OL_Avg_Games_Missed_Pct,0.0028029461,False
Pen__oc_Norm,0.002796716,True
LB_Pct,0.0027938762,False
4D%__dc_Norm,0.0027911079,True
TO__oc_Norm,0.0027907218,True
OL_New_Player_Rate_Pct_crosstab,0.0027871046,False
Int Passing__dc_Norm,0.0027686132,True
Avg_Starter_Exp_TE,0.0027494014,False
CB_Players_Departed,0.0027456235,False
Avg_Starter_Age_CB,0.002737762,False
TE_Departure_Rate_Pct,0.0027196687,False
Y/A Rushing__hc_Norm,0.0027166689,True
WR_Retention_Rate_Pct_crosstab,0.0027141166,False
Avg_Roster_Exp_DL,0.0026934901,False
LB_Net_Change,0.0026880407,False
QB_Pct,0.0026708713,False
1stPy__oc_Norm,0.0026663658,True
Cmp Passing__opp__hc_Norm,0.0026618638,True
Int Passing__opp__hc_Norm,0.0026595546,True
Avg_Roster_Exp_RB,0.002641837,False
Avg_Starter_Exp_CB,0.002631884,False
TO__opp__hc_Norm,0.002629726,True
Sc%__oc_Norm,0.0026195357,True
CB_Min_Games_Missed_Pct,0.0026167384,False
WR_Avg_Games_Missed_Pct,0.002602013,False
Def_Pct,0.0025854565,False
3D%__dc_Norm,0.0025663197,True
TO%__opp__hc_Norm,0.0025569731,True
OL_Players_Departed,0.0025465167,False
TD Passing__dc_Norm,0.0025437057,True
LB_Departure_Rate_Pct_crosstab,0.0025346307,False
Team_Pen_Norm,0.0025341439,False
TO%__oc_Norm,0.0025065548,True
WR_Retention_Rate_Pct,0.0025009704,False
DL_Players_New,0.00250039,False
QB_Retention_Rate_Pct_crosstab,0.0024991245,False
