Feature,Importance,Is_Coach_Feature
Active53-Man_Pct,0.045160826,False
ReservesIR/PUP/NFI/SUSP_Pct,0.04142113,False
Yds__opp__hc_Norm,0.03692247,True
TD Rushing__opp__hc_Norm,0.02731303,True
Opp_Int_Passing_Norm,0.020742666,False
QB_Avg_Games_Missed_Pct,0.019361688,False
Team_Int_Passing_Norm,0.019322734,False
PF (Points For)__hc_Norm,0.017625354,True
Avg_Starter_Experience,0.01673667,False
Yds Rushing__opp__hc_Norm,0.014600899,True
PF (Points For)__opp__hc_Norm,0.013801631,True
RZAtt__hc_Norm,0.012351288,True
NY/A Passing__opp__hc_Norm,0.010164423,True
num_times_hc,0.0099866,True
1stD Rushing__opp__hc_Norm,0.009838293,True
Avg_Roster_Experience,0.009341674,False
Sc%__hc_Norm,0.008756208,True
Pts Average Drive__hc_Norm,0.007997379,True
QB_New_Player_Rate_Pct,0.007720775,False
K_Pct,0.0076392894,False
SoS,0.0075929556,False
S_Players_New,0.007147724,False
Y/P__opp__hc_Norm,0.006927421,True
TE_Players_Retained,0.0068493467,False
DL_Players_Departed,0.0068203514,False
S_Max_Games_Missed_Pct,0.0067050606,False
OL_Max_Games_Missed_Pct,0.0061954167,False
QB_Players_New,0.006113191,False
OL_Players_Count,0.005935056,False
WR_Avg_Games_Missed_Pct,0.0058984547,False
TE_New_Player_Rate_Pct,0.0057365424,False
Yds Average Drive__hc_Norm,0.0054742256,True
WR_Players_New,0.0054697287,False
Avg_Starter_Exp_QB,0.0053692064,False
Avg_Starter_Exp_OL,0.005291628,False
Y/A Rushing__opp__hc_Norm,0.0052026296,True
1stD__opp__hc_Norm,0.005178059,True
S_Avg_Games_Missed_Pct,0.0050857314,False
P_Pct,0.0049786298,False
RB_Avg_Games_Missed_Pct,0.0049256915,False
TO__hc_Norm,0.0048996476,True
CB_New_Player_Rate_Pct,0.0048649576,False
S_New_Player_Rate_Pct,0.0048647383,False
4DAtt__oc_Norm,0.0047094435,True
Prev_2Yr_Round_7Plus_Picks,0.0047087865,False
RB_Max_Games_Missed_Pct,0.004694771,False
QB_Retention_Rate_Pct,0.0046189087,False
4D%__dc_Norm,0.004541099,True
Yds Penalties__opp__hc_Norm,0.004484648,True
Yds Passing__hc_Norm,0.00442304,True
TE_Max_Games_Missed_Pct,0.0044020223,False
num_yr_nfl_hc,0.004392133,True
Y/P__hc_Norm,0.004374157,True
Avg_Roster_Exp_QB,0.004373248,False
WR_Max_Games_Missed_Pct,0.00434781,False
Yds Average Drive__oc_Norm,0.0041936766,True
