Feature,Importance
Avg_Starter_AV,0.13135333
StdDev_Roster_AV,0.020936107
StdDev_Starter_AV,0.014367657
TE_Players_New,0.012836725
RB_Min_Games_Missed_Pct,0.010767498
num_yr_nfl_hc,0.010021143
Year,0.009491583
Avg_Roster_AV,0.009265907
OL_Players_New,0.009187719
Int Passing__hc_Norm,0.009145814
Opp_Yds_Penalties_Norm,0.008321483
Pts Average Drive__dc_Norm,0.008209346
RZAtt__hc_Norm,0.0081751775
S_Avg_Games_Missed_Pct,0.0079588145
Team_Int_Passing_Norm,0.0073540546
Opp_Int_Passing_Norm,0.007326831
PF (Points For)__opp__hc_Norm,0.0070853583
TO__hc_Norm,0.007079522
TE_Max_Games_Missed_Pct,0.0068010017
Avg_Starter_AV_QB,0.006574687
Avg_Starter_AV_LB,0.00647029
Att Rushing__dc_Norm,0.0063769203
LB_Players_New,0.006061148
Yds Passing__oc_Norm,0.0057657277
Plays Average Drive__hc_Norm,0.005761985
Prev_2Yr_Round_5_Picks,0.005690718
Y/A Rushing__oc_Norm,0.005690281
SPT_Pct,0.005684339
OL_Avg_Games_Missed_Pct,0.0055727675
num_yr_nfl_pos,0.005489163
TD Passing__oc_Norm,0.0054786573
Att Passing__opp__hc_Norm,0.005428833
StdDev_Roster_Age,0.0054092305
NY/A Passing__hc_Norm,0.005313666
OL_Net_Change,0.005266586
LB_Net_Change,0.0051231887
Yds Average Drive__hc_Norm,0.0050331913
QB_Retention_Rate_Pct,0.0050293966
Avg_Roster_Age_TE,0.0049869907
3DAtt__oc_Norm,0.0049350383
DL_Players_New,0.0048996005
S_Min_Games_Missed_Pct,0.0048805536
LB_Avg_Games_Missed_Pct,0.004701179
Avg_Roster_Exp_CB,0.0045406763
DL_Max_Games_Missed_Pct,0.004512957
#Dr__dc_Norm,0.0044888775
Avg_Roster_AV_QB,0.004429236
Avg_Starter_Exp_WR,0.0043999753
S_Max_Games_Missed_Pct,0.0043699187
DL_Net_Change,0.00433998
WR_Players_Departed,0.0043253605
CB_Net_Change,0.004292809
DL_Min_Games_Missed_Pct,0.004256471
NY/A Passing__dc_Norm,0.0041882307
Prev_1Yr_Round_3_Picks,0.0041772905
DL_Players_Departed,0.004176623
Pen__oc_Norm,0.004162617
Prev_1Yr_Round_1_Picks,0.004127542
CB_New_Player_Rate_Pct,0.0040403297
Plays Average Drive__opp__hc_Norm,0.0040380587
Time Average Drive__opp__hc_Norm,0.003978498
1stD__hc_Norm,0.0039732517
OL_Retention_Rate_Pct_crosstab,0.003971047
TO%__dc_Norm,0.003969112
Cmp Passing__hc_Norm,0.0039689615
Sc%__opp__hc_Norm,0.003965154
Avg_Starter_Age_RB,0.0039599836
Pen__dc_Norm,0.0039392137
RB_Max_Games_Missed_Pct,0.00392551
Avg_Starter_AV_DL,0.003921649
#Dr__hc_Norm,0.003900507
num_yr_col_coor,0.0038909516
4DAtt__dc_Norm,0.0038894957
Avg_Roster_Age_QB,0.0038576687
Avg_Roster_Age_OL,0.003834259
1stD__opp__hc_Norm,0.003799973
TO%__hc_Norm,0.0037757498
TD Rushing__opp__hc_Norm,0.00377296
SoS,0.003758784
Avg_Starter_Exp_OL,0.0037342932
OL_New_Player_Rate_Pct_crosstab,0.0037335749
num_yr_col_hc,0.003731604
1stPy__oc_Norm,0.0037280438
ReservesIR/PUP/NFI/SUSP_Pct,0.0036992142
TD Passing__dc_Norm,0.0036844383
QB_Net_Change,0.0036821666
Current_Round_1_Picks,0.0036522534
Pts Average Drive__opp__hc_Norm,0.0036176413
Yds Penalties__oc_Norm,0.0035956681
Total CapAllocations_Pct,0.0035876536
Avg_Starter_Age_QB,0.0035446836
LB_Players_Departed,0.0035397443
WR_Min_Games_Missed_Pct,0.003528324
Prev_2Yr_Round_2_Picks,0.0035271521
Avg_Starter_Exp_RB,0.0035120286
S_Players_Retained,0.0035050632
Avg_Starter_Age_CB,0.0034968378
