Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Round_13_Picks,Round_14_Picks,Round_15_Picks,Round_16_Picks,Round_17_Picks,Total_Picks
1973,atl,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,14
1973,bal,2,1,2,2,1,0,0,2,0,0,1,1,1,1,1,1,1,17
1973,buf,2,1,2,2,1,1,2,1,1,2,1,1,0,1,2,0,1,21
1973,chi,1,2,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,15
1973,cin,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,16
1973,cle,2,2,1,2,0,1,0,0,1,1,1,1,1,1,1,1,1,17
1973,dal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1973,den,1,1,2,1,1,0,2,0,1,1,1,1,2,1,1,2,1,19
1973,det,1,1,3,3,0,0,1,2,1,1,1,1,1,1,1,1,1,20
1973,gnb,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,14
1973,hou,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16
1973,kan,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15
1973,lac,1,0,1,2,2,1,0,0,1,1,1,1,1,1,1,1,1,16
1973,mia,0,1,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,20
1973,min,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,19
1973,nor,0,2,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,17
1973,nwe,3,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,17
1973,nyg,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,15
1973,nyj,1,1,0,1,1,2,1,1,1,2,1,1,1,1,1,1,1,18
1973,phi,2,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,15
1973,pit,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,20
1973,rai,1,1,0,2,2,1,1,1,1,1,1,1,0,1,1,1,1,17
1973,ram,1,4,3,2,3,4,3,1,2,1,3,2,3,2,2,3,2,41
1973,sfo,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,16
1973,was,0,0,0,0,1,0,0,1,2,1,0,1,1,1,0,1,1,10
