Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Round_8_Picks,Round_9_Picks,Round_10_Picks,Round_11_Picks,Round_12_Picks,Total_Picks
1983,atl,1,1,1,1,1,1,1,1,0,1,1,1,11
1983,bal,1,1,1,1,1,1,1,0,2,1,1,1,12
1983,buf,2,1,0,2,1,0,1,1,1,1,1,1,12
1983,chi,2,1,1,2,0,0,0,2,2,1,1,1,13
1983,cin,1,1,1,1,1,2,1,1,1,1,1,1,13
1983,cle,0,1,1,0,1,2,1,1,0,1,2,1,11
1983,dal,1,1,1,1,1,1,1,1,1,1,1,1,12
1983,den,1,1,1,0,2,1,1,1,1,1,1,1,12
1983,det,1,1,1,1,2,1,1,1,0,1,1,1,12
1983,gnb,1,1,0,1,1,1,1,1,1,2,1,1,12
1983,hou,1,2,3,2,2,1,1,1,1,0,0,0,14
1983,kan,1,1,1,1,1,1,2,1,1,1,1,1,13
1983,lac,3,0,0,1,0,1,1,1,1,1,2,2,13
1983,mia,1,1,1,0,0,1,1,1,1,1,1,1,10
1983,min,1,0,1,1,1,1,1,1,1,2,1,1,12
1983,nor,0,1,2,1,0,0,0,1,0,0,0,0,5
1983,nwe,1,1,2,1,2,1,1,1,2,3,2,2,19
1983,nyg,1,1,2,0,1,2,1,1,1,0,2,3,15
1983,nyj,1,1,1,1,1,1,1,1,1,1,1,1,12
1983,phi,1,2,1,1,1,1,2,1,1,1,1,1,14
1983,pit,1,1,1,1,2,1,1,2,1,1,1,1,14
1983,rai,1,1,1,1,1,0,1,1,1,1,0,1,10
1983,ram,2,3,1,5,2,2,2,2,2,1,2,2,26
1983,sea,1,0,0,0,1,1,1,1,1,1,1,1,9
1983,sfo,0,1,1,1,1,0,1,0,1,1,1,0,8
1983,tam,0,1,1,1,1,2,1,1,1,1,1,1,12
1983,was,1,1,1,0,0,2,1,1,1,1,0,0,9
