Draft_Year,Team,Round_1_Picks,Round_2_Picks,Round_3_Picks,Round_4_Picks,Round_5_Picks,Round_6_Picks,Round_7_Picks,Total_Picks
2022,ari,0,1,2,0,0,2,3,8
2022,atl,1,2,2,0,1,2,0,8
2022,bal,2,1,1,6,0,1,0,11
2022,buf,1,1,1,0,1,3,1,8
2022,car,1,0,1,1,0,2,1,6
2022,chi,0,2,1,0,2,3,3,11
2022,cin,1,1,1,1,1,0,1,6
2022,cle,0,0,3,2,1,1,2,9
2022,clt,0,1,3,0,1,2,1,8
2022,dal,1,1,1,1,4,1,0,9
2022,den,0,1,1,2,3,1,1,9
2022,det,2,1,1,0,1,2,1,8
2022,gnb,2,1,1,2,1,0,4,11
2022,hou,2,2,1,1,2,1,0,9
2022,jax,2,0,2,0,1,1,1,7
2022,kan,2,2,1,1,1,0,3,10
2022,lac,1,0,1,1,1,2,2,8
2022,mia,0,0,1,1,0,0,2,4
2022,min,1,2,1,1,2,2,1,10
2022,nor,2,1,0,0,1,1,0,5
2022,nwe,1,1,1,3,0,3,1,10
2022,nyg,2,1,2,2,3,1,0,11
2022,nyj,3,1,1,2,0,0,0,7
2022,phi,1,1,1,0,0,2,0,5
2022,pit,1,1,1,1,0,1,2,7
2022,rai,0,0,1,2,1,0,2,6
2022,ram,0,0,1,1,1,2,3,8
2022,sea,1,2,1,1,2,0,2,9
2022,sfo,0,1,2,1,1,3,1,9
2022,tam,0,2,1,2,1,1,1,8
2022,ten,1,1,2,2,1,2,0,9
2022,was,1,1,1,1,2,0,2,8
