Team,Year_From,Year_To,Position_Group,Players_Year1,Players_Year2,Players_Retained,Players_Departed,Players_New,Retention_Rate_Pct,Departure_Rate_Pct,New_Player_Rate_Pct,Net_Change,Analysis_Date
CRD,2011,2012,QB,3,4,2,1,2,66.67,33.33,50.0,1,2025-08-15 16:41:27
CRD,2011,2012,OL,3,5,1,2,4,33.33,66.67,80.0,2,2025-08-15 16:41:27
CRD,2011,2012,OTHER,15,14,7,8,7,46.67,53.33,50.0,-1,2025-08-15 16:41:27
CRD,2011,2012,WR,7,5,3,4,2,42.86,57.14,40.0,-2,2025-08-15 16:41:27
CRD,2011,2012,DB,8,9,5,3,4,62.5,37.5,44.44,1,2025-08-15 16:41:27
CRD,2011,2012,RB,6,7,5,1,2,83.33,16.67,28.57,1,2025-08-15 16:41:27
CRD,2011,2012,LB,3,2,2,1,0,66.67,33.33,0.0,-1,2025-08-15 16:41:27
CRD,2011,2012,DL,5,7,5,0,2,100.0,0.0,28.57,2,2025-08-15 16:41:27
CRD,2011,2012,ST,4,3,3,1,0,75.0,25.0,0.0,-1,2025-08-15 16:41:27
CRD,2011,2012,TE,4,6,4,0,2,100.0,0.0,33.33,2,2025-08-15 16:41:27
CRD,2012,2013,QB,4,1,0,4,1,0.0,100.0,100.0,-3,2025-08-15 16:41:27
CRD,2012,2013,OL,5,5,1,4,4,20.0,80.0,80.0,0,2025-08-15 16:41:27
CRD,2012,2013,OTHER,14,12,5,9,7,35.71,64.29,58.33,-2,2025-08-15 16:41:27
CRD,2012,2013,WR,5,6,3,2,3,60.0,40.0,50.0,1,2025-08-15 16:41:27
CRD,2012,2013,DB,9,10,2,7,8,22.22,77.78,80.0,1,2025-08-15 16:41:27
CRD,2012,2013,RB,7,5,1,6,4,14.29,85.71,80.0,-2,2025-08-15 16:41:27
CRD,2012,2013,LB,2,8,0,2,8,0.0,100.0,100.0,6,2025-08-15 16:41:27
CRD,2012,2013,DL,7,5,2,5,3,28.57,71.43,60.0,-2,2025-08-15 16:41:27
CRD,2012,2013,ST,3,3,3,0,0,100.0,0.0,0.0,0,2025-08-15 16:41:27
CRD,2012,2013,TE,6,5,3,3,2,50.0,50.0,40.0,-1,2025-08-15 16:41:27
CRD,2013,2014,QB,1,4,1,0,3,100.0,0.0,75.0,3,2025-08-15 16:41:27
CRD,2013,2014,OL,5,4,1,4,3,20.0,80.0,75.0,-1,2025-08-15 16:41:27
CRD,2013,2014,OTHER,12,13,4,8,9,33.33,66.67,69.23,1,2025-08-15 16:41:27
CRD,2013,2014,WR,6,7,3,3,4,50.0,50.0,57.14,1,2025-08-15 16:41:27
CRD,2013,2014,DB,10,7,4,6,3,40.0,60.0,42.86,-3,2025-08-15 16:41:27
CRD,2013,2014,RB,5,8,3,2,5,60.0,40.0,62.5,3,2025-08-15 16:41:27
CRD,2013,2014,LB,8,6,4,4,2,50.0,50.0,33.33,-2,2025-08-15 16:41:27
CRD,2013,2014,ST,3,4,2,1,2,66.67,33.33,50.0,1,2025-08-15 16:41:27
CRD,2013,2014,DL,5,6,2,3,4,40.0,60.0,66.67,1,2025-08-15 16:41:27
CRD,2013,2014,TE,5,3,1,4,2,20.0,80.0,66.67,-2,2025-08-15 16:41:27
CRD,2014,2015,QB,4,2,2,2,0,50.0,50.0,0.0,-2,2025-08-15 16:41:27
CRD,2014,2015,OL,4,4,3,1,1,75.0,25.0,25.0,0,2025-08-15 16:41:27
CRD,2014,2015,OTHER,13,15,8,5,7,61.54,38.46,46.67,2,2025-08-15 16:41:27
CRD,2014,2015,WR,7,6,4,3,2,57.14,42.86,33.33,-1,2025-08-15 16:41:27
CRD,2014,2015,DB,7,7,4,3,3,57.14,42.86,42.86,0,2025-08-15 16:41:27
CRD,2014,2015,RB,8,5,3,5,2,37.5,62.5,40.0,-3,2025-08-15 16:41:27
CRD,2014,2015,LB,6,5,1,5,4,16.67,83.33,80.0,-1,2025-08-15 16:41:27
CRD,2014,2015,ST,4,3,3,1,0,75.0,25.0,0.0,-1,2025-08-15 16:41:27
CRD,2014,2015,DL,6,8,3,3,5,50.0,50.0,62.5,2,2025-08-15 16:41:27
CRD,2014,2015,TE,3,3,2,1,1,66.67,33.33,33.33,0,2025-08-15 16:41:27
CRD,2015,2016,QB,2,2,2,0,0,100.0,0.0,0.0,0,2025-08-15 16:41:27
CRD,2015,2016,OL,4,7,1,3,6,25.0,75.0,85.71,3,2025-08-15 16:41:27
CRD,2015,2016,OTHER,15,12,6,9,6,40.0,60.0,50.0,-3,2025-08-15 16:41:27
CRD,2015,2016,WR,6,8,6,0,2,100.0,0.0,25.0,2,2025-08-15 16:41:27
CRD,2015,2016,DB,7,10,3,4,7,42.86,57.14,70.0,3,2025-08-15 16:41:27
CRD,2015,2016,RB,5,5,5,0,0,100.0,0.0,0.0,0,2025-08-15 16:41:27
CRD,2015,2016,LB,5,8,2,3,6,40.0,60.0,75.0,3,2025-08-15 16:41:27
CRD,2015,2016,DL,8,8,4,4,4,50.0,50.0,50.0,0,2025-08-15 16:41:27
CRD,2015,2016,ST,3,6,2,1,4,66.67,33.33,66.67,3,2025-08-15 16:41:27
CRD,2015,2016,TE,3,4,3,0,1,100.0,0.0,25.0,1,2025-08-15 16:41:27
CRD,2016,2017,QB,2,3,2,0,1,100.0,0.0,33.33,1,2025-08-15 16:41:27
CRD,2016,2017,OL,7,7,1,6,6,14.29,85.71,85.71,0,2025-08-15 16:41:27
CRD,2016,2017,OTHER,12,16,8,4,8,66.67,33.33,50.0,4,2025-08-15 16:41:27
CRD,2016,2017,WR,8,9,6,2,3,75.0,25.0,33.33,1,2025-08-15 16:41:27
