Team,Year_From,Year_To,Position_Group,Players_Year1,Players_Year2,Players_Retained,Players_Departed,Players_New,Retention_Rate_Pct,Departure_Rate_Pct,New_Player_Rate_Pct,Net_Change,Analysis_Date
GNB,2011,2012,QB,2,2,1,1,1,50.0,50.0,50.0,0,2025-08-15 16:41:30
GNB,2011,2012,OL,3,4,1,2,3,33.33,66.67,75.0,1,2025-08-15 16:41:30
GNB,2011,2012,OTHER,13,16,9,4,7,69.23,30.77,43.75,3,2025-08-15 16:41:30
GNB,2011,2012,WR,5,7,5,0,2,100.0,0.0,28.57,2,2025-08-15 16:41:30
GNB,2011,2012,DB,8,7,4,4,3,50.0,50.0,42.86,-1,2025-08-15 16:41:30
GNB,2011,2012,RB,5,8,5,0,3,100.0,0.0,37.5,3,2025-08-15 16:41:30
GNB,2011,2012,LB,8,7,6,2,1,75.0,25.0,14.29,-1,2025-08-15 16:41:30
GNB,2011,2012,ST,2,2,2,0,0,100.0,0.0,0.0,0,2025-08-15 16:41:30
GNB,2011,2012,DL,3,5,1,2,4,33.33,66.67,80.0,2,2025-08-15 16:41:30
GNB,2011,2012,TE,5,4,4,1,0,80.0,20.0,0.0,-1,2025-08-15 16:41:30
GNB,2012,2013,QB,2,4,1,1,3,50.0,50.0,75.0,2,2025-08-15 16:41:30
GNB,2012,2013,OL,4,5,2,2,3,50.0,50.0,60.0,1,2025-08-15 16:41:30
GNB,2012,2013,OTHER,16,13,8,8,5,50.0,50.0,38.46,-3,2025-08-15 16:41:30
GNB,2012,2013,WR,7,7,5,2,2,71.43,28.57,28.57,0,2025-08-15 16:41:30
GNB,2012,2013,DB,7,10,6,1,4,85.71,14.29,40.0,3,2025-08-15 16:41:30
GNB,2012,2013,RB,8,6,2,6,4,25.0,75.0,66.67,-2,2025-08-15 16:41:30
GNB,2012,2013,LB,7,7,3,4,4,42.86,57.14,57.14,0,2025-08-15 16:41:30
GNB,2012,2013,ST,2,2,2,0,0,100.0,0.0,0.0,0,2025-08-15 16:41:30
GNB,2012,2013,DL,5,6,2,3,4,40.0,60.0,66.67,1,2025-08-15 16:41:30
GNB,2012,2013,TE,4,5,2,2,3,50.0,50.0,60.0,1,2025-08-15 16:41:30
GNB,2013,2014,QB,4,2,2,2,0,50.0,50.0,0.0,-2,2025-08-15 16:41:30
GNB,2013,2014,OL,5,5,2,3,3,40.0,60.0,60.0,0,2025-08-15 16:41:30
GNB,2013,2014,OTHER,13,12,7,6,5,53.85,46.15,41.67,-1,2025-08-15 16:41:30
GNB,2013,2014,WR,7,6,3,4,3,42.86,57.14,50.0,-1,2025-08-15 16:41:30
GNB,2013,2014,DB,10,9,7,3,2,70.0,30.0,22.22,-1,2025-08-15 16:41:30
GNB,2013,2014,RB,6,4,3,3,1,50.0,50.0,25.0,-2,2025-08-15 16:41:30
GNB,2013,2014,LB,7,6,2,5,4,28.57,71.43,66.67,-1,2025-08-15 16:41:30
GNB,2013,2014,DL,6,5,2,4,3,33.33,66.67,60.0,-1,2025-08-15 16:41:30
GNB,2013,2014,ST,2,2,2,0,0,100.0,0.0,0.0,0,2025-08-15 16:41:30
GNB,2013,2014,TE,5,5,3,2,2,60.0,40.0,40.0,0,2025-08-15 16:41:30
GNB,2014,2015,QB,2,2,1,1,1,50.0,50.0,50.0,0,2025-08-15 16:41:30
GNB,2014,2015,OL,5,4,3,2,1,60.0,40.0,25.0,-1,2025-08-15 16:41:30
GNB,2014,2015,OTHER,12,14,8,4,6,66.67,33.33,42.86,2,2025-08-15 16:41:30
GNB,2014,2015,WR,6,6,3,3,3,50.0,50.0,50.0,0,2025-08-15 16:41:30
GNB,2014,2015,DB,9,9,7,2,2,77.78,22.22,22.22,0,2025-08-15 16:41:30
GNB,2014,2015,RB,4,6,3,1,3,75.0,25.0,50.0,2,2025-08-15 16:41:30
GNB,2014,2015,LB,6,6,4,2,2,66.67,33.33,33.33,0,2025-08-15 16:41:30
GNB,2014,2015,DL,5,5,3,2,2,60.0,40.0,40.0,0,2025-08-15 16:41:30
GNB,2014,2015,ST,2,3,2,0,1,100.0,0.0,33.33,1,2025-08-15 16:41:30
GNB,2014,2015,TE,5,4,3,2,1,60.0,40.0,25.0,-1,2025-08-15 16:41:30
GNB,2015,2016,QB,2,2,1,1,1,50.0,50.0,50.0,0,2025-08-15 16:41:30
GNB,2015,2016,OL,4,5,2,2,3,50.0,50.0,60.0,1,2025-08-15 16:41:30
GNB,2015,2016,OTHER,14,13,8,6,5,57.14,42.86,38.46,-1,2025-08-15 16:41:30
GNB,2015,2016,WR,6,8,4,2,4,66.67,33.33,50.0,2,2025-08-15 16:41:30
GNB,2015,2016,DB,9,12,6,3,6,66.67,33.33,50.0,3,2025-08-15 16:41:30
GNB,2015,2016,RB,6,8,3,3,5,50.0,50.0,62.5,2,2025-08-15 16:41:30
GNB,2015,2016,LB,6,5,2,4,3,33.33,66.67,60.0,-1,2025-08-15 16:41:30
GNB,2015,2016,DL,5,7,2,3,5,40.0,60.0,71.43,2,2025-08-15 16:41:30
GNB,2015,2016,ST,3,2,1,2,1,33.33,66.67,50.0,-1,2025-08-15 16:41:30
GNB,2015,2016,TE,4,3,2,2,1,50.0,50.0,33.33,-1,2025-08-15 16:41:30
GNB,2016,2017,QB,2,3,2,0,1,100.0,0.0,33.33,1,2025-08-15 16:41:30
GNB,2016,2017,OL,5,5,2,3,3,40.0,60.0,60.0,0,2025-08-15 16:41:30
GNB,2016,2017,OTHER,13,15,9,4,6,69.23,30.77,40.0,2,2025-08-15 16:41:30
GNB,2016,2017,WR,8,7,6,2,1,75.0,25.0,14.29,-1,2025-08-15 16:41:30
GNB,2016,2017,DB,12,11,7,5,4,58.33,41.67,36.36,-1,2025-08-15 16:41:30
GNB,2016,2017,RB,8,6,3,5,3,37.5,62.5,50.0,-2,2025-08-15 16:41:30
GNB,2016,2017,LB,5,5,2,3,3,40.0,60.0,60.0,0,2025-08-15 16:41:30
GNB,2016,2017,DL,7,6,1,6,5,14.29,85.71,83.33,-1,2025-08-15 16:41:30
GNB,2016,2017,ST,2,4,1,1,3,50.0,50.0,75.0,2,2025-08-15 16:41:30
GNB,2016,2017,TE,3,4,1,2,3,33.33,66.67,75.0,1,2025-08-15 16:41:30
GNB,2017,2018,QB,3,2,1,2,1,33.33,66.67,50.0,-1,2025-08-15 16:41:30
GNB,2017,2018,OL,5,5,3,2,2,60.0,40.0,40.0,0,2025-08-15 16:41:30
GNB,2017,2018,OTHER,15,16,10,5,6,66.67,33.33,37.5,1,2025-08-15 16:41:30
GNB,2017,2018,WR,7,10,4,3,6,57.14,42.86,60.0,3,2025-08-15 16:41:30
GNB,2017,2018,DB,11,12,4,7,8,36.36,63.64,66.67,1,2025-08-15 16:41:30
GNB,2017,2018,RB,6,7,2,4,5,33.33,66.67,71.43,1,2025-08-15 16:41:30
GNB,2017,2018,LB,5,2,0,5,2,0.0,100.0,100.0,-3,2025-08-15 16:41:30
GNB,2017,2018,DL,6,8,3,3,5,50.0,50.0,62.5,2,2025-08-15 16:41:30
GNB,2017,2018,ST,4,3,1,3,2,25.0,75.0,66.67,-1,2025-08-15 16:41:30
GNB,2017,2018,TE,4,4,1,3,3,25.0,75.0,75.0,0,2025-08-15 16:41:30
GNB,2018,2019,QB,2,2,1,1,1,50.0,50.0,50.0,0,2025-08-15 16:41:30
GNB,2018,2019,OL,5,5,3,2,2,60.0,40.0,40.0,0,2025-08-15 16:41:30
GNB,2018,2019,OTHER,16,12,6,10,6,37.5,62.5,50.0,-4,2025-08-15 16:41:30
GNB,2018,2019,WR,10,7,6,4,1,60.0,40.0,14.29,-3,2025-08-15 16:41:30
GNB,2018,2019,DB,12,11,5,7,6,41.67,58.33,54.55,-1,2025-08-15 16:41:30
