Team,Position_Group,First_Year,Last_Year,Years_Analyzed,Avg_Players_Year1,Avg_Players_Year2,Avg_Retention_Rate_Pct,Avg_Departure_Rate_Pct,Avg_New_Player_Rate_Pct,Avg_Net_Change
DEN,DB,2011,2023,13,10.23,10.38,54.15,45.85,47.89,0.15
DEN,DL,2011,2023,13,6.38,6.23,28.97,71.03,68.68,-0.15
DEN,LB,2011,2023,13,6.38,6.85,28.19,71.81,72.35,0.46
DEN,OL,2011,2023,13,5.54,5.77,32.11,67.89,69.92,0.23
DEN,OTHER,2011,2023,13,13.31,13.23,44.69,47.61,48.78,-0.08
DEN,QB,2011,2023,13,2.38,2.38,51.28,48.72,51.28,0.0
DEN,RB,2011,2023,13,5.0,5.08,54.68,45.32,48.65,0.08
DEN,ST,2011,2023,13,3.31,3.31,67.95,32.05,30.13,0.0
DEN,TE,2011,2023,13,4.77,4.69,52.05,47.95,46.79,-0.08
DEN,WR,2011,2023,13,7.54,7.46,57.59,42.41,42.49,-0.08
