Team,Position_Group,First_Year,Last_Year,Years_Analyzed,Avg_Players_Year1,Avg_Players_Year2,Avg_Retention_Rate_Pct,Avg_Departure_Rate_Pct,Avg_New_Player_Rate_Pct,Avg_Net_Change
JAX,DB,2011,2023,13,10.92,10.77,41.5,58.5,58.93,-0.15
JAX,DL,2011,2023,13,6.31,6.38,27.09,72.91,72.23,0.08
JAX,LB,2011,2023,13,7.38,7.46,35.9,64.1,67.63,0.08
JAX,OL,2011,2023,13,6.31,6.46,46.41,53.59,57.08,0.15
JAX,OTHER,2011,2023,13,13.08,12.77,42.09,57.91,50.45,-0.31
JAX,QB,2011,2023,13,2.08,2.08,60.26,39.74,42.31,0.0
JAX,RB,2011,2023,13,5.85,5.69,43.25,56.75,56.81,-0.15
JAX,ST,2011,2023,13,3.77,3.77,58.33,41.67,43.97,0.0
JAX,TE,2011,2023,13,4.69,4.54,44.69,55.31,53.06,-0.15
JAX,WR,2011,2023,13,8.92,9.0,42.82,57.18,59.67,0.08
