Team,Position_Group,First_Year,Last_Year,Years_Analyzed,Avg_Players_Year1,Avg_Players_Year2,Avg_Retention_Rate_Pct,Avg_Departure_Rate_Pct,Avg_New_Player_Rate_Pct,Avg_Net_Change
NWE,DB,2011,2023,13,10.85,10.85,56.64,43.36,44.21,0.0
NWE,DL,2011,2023,13,7.23,7.08,27.29,72.71,74.2,-0.15
NWE,LB,2011,2023,13,6.15,6.54,31.96,68.04,71.39,0.38
NWE,OL,2011,2023,13,5.54,5.92,44.47,55.53,56.01,0.38
NWE,OTHER,2011,2023,13,13.15,12.92,45.32,54.68,52.36,-0.23
NWE,QB,2011,2023,13,2.23,2.31,64.1,35.9,39.74,0.08
NWE,RB,2011,2023,13,6.0,5.85,56.26,43.74,42.01,-0.15
NWE,ST,2011,2023,13,3.46,3.54,79.49,20.51,23.08,0.08
NWE,TE,2011,2023,13,4.23,4.38,40.13,59.87,59.62,0.15
NWE,WR,2011,2023,13,8.0,8.08,50.86,49.14,50.35,0.08
