Team,Position_Group,First_Year,Last_Year,Years_Analyzed,Avg_Players_Year1,Avg_Players_Year2,Avg_Retention_Rate_Pct,Avg_Departure_Rate_Pct,Avg_New_Player_Rate_Pct,Avg_Net_Change
NYJ,DB,2011,2023,13,11.92,12.0,41.43,58.57,60.07,0.08
NYJ,DL,2011,2023,13,7.15,7.23,40.17,59.83,61.8,0.08
NYJ,LB,2011,2023,13,7.08,7.15,32.65,67.35,67.14,0.08
NYJ,OL,2011,2023,13,5.08,5.54,47.88,52.12,54.57,0.46
NYJ,OTHER,2011,2023,13,12.46,12.54,46.39,53.61,47.87,0.08
NYJ,QB,2011,2023,13,2.85,2.85,47.44,52.56,56.41,0.0
NYJ,RB,2011,2023,13,5.62,5.54,40.49,59.51,60.86,-0.08
NYJ,ST,2011,2023,13,3.77,4.08,62.56,37.44,42.22,0.31
NYJ,TE,2011,2023,13,3.92,4.08,51.03,48.97,52.82,0.15
NYJ,WR,2011,2023,13,9.31,9.46,40.42,59.58,59.54,0.15
