PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,OFF,DEF,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
rai,OAKOAK,164335096,3997657,9198592,164335096,4.63,2.92,19.4,6.09,37.74,70.78,17.92,27.06,33.12,78.1,3.96,5.05,1.18,10.19,164.34,2.82,1.78,11.81,3.71,22.97,10.9,16.47,20.15,2.41,3.07,0.72,43.07,47.52,6.2,100.0,2016,2025-08-15 15:18:49,OAK,75.95M,78.10M,28,-,53,26.3,142746501,12390003
nyj,NYJNYJ,158083299,-554565,16874389,158083299,10.11,6.08,23.13,3.01,33.25,75.57999999999998,24.45,14.69,38.57,77.71000000000002,3.34,0.47,0.93,4.739999999999998,158.08,6.4,3.85,14.63,1.9,21.03,15.47,9.29,24.4,2.11,0.3,0.59,47.81,49.16,3.0,100.0,2016,2025-08-15 15:18:49,NYJ,75.06M,77.53M,32,-,54,25.5,97375558,43833352
min,MINMIN,157201886,-287169,7538635,157201886,12.63,14.18,9.69,10.16,34.43,81.09,28.4,12.08,30.36,70.84,2.11,0.72,0.78,3.61,157.2,8.03,9.02,6.16,6.46,21.9,18.07,7.68,19.31,1.34,0.46,0.5,51.58,45.06,2.3,100.0,2016,2025-08-15 15:18:49,MIN,81.96M,70.84M,31,-,53,26.6,119127210,30536041
cin,CINCIN,156396246,6281306,3968637,156396246,14.2,7.7,18.15,3.98,27.15,71.17999999999998,31.3,15.78,31.45,78.53,1.64,3.02,1.06,5.7200000000000015,156.4,9.08,4.92,11.61,2.54,17.36,20.01,10.09,20.11,1.05,1.93,0.68,45.51,50.21,3.66,100.0,2016,2025-08-15 15:18:49,CIN,72.15M,78.53M,18,-,53,26.5,121320842,31106767
crd,ARIARI,155855865,3112551,13722653,155855865,21.12,5.17,25.81,6.23,21.67,80.0,26.49,18.04,28.72,73.25,0.6,1.37,0.64,2.6100000000000003,155.86,13.55,3.32,16.56,4.0,13.9,17.0,11.57,18.43,0.38,0.88,0.41,51.33,47.0,1.67,100.0,2016,2025-08-15 15:18:49,ARI,79.69M,73.26M,29,-,53,26.0,111290277,30760135
tam,TBTB,155725098,5413268,6310844,155725098,8.19,10.54,22.18,5.31,28.73,74.95,32.71,16.34,28.47,77.52,0.74,1.75,0.6,3.0900000000000003,155.73,5.26,6.77,14.24,3.41,18.45,21.0,10.49,18.28,0.48,1.12,0.39,48.13,49.78,1.98,100.0,2016,2025-08-15 15:18:49,TB,74.09M,77.52M,22,-,54,25.9,120636046,28750608
nyg,NYGNYG,154901229,12418930,15250316,154901229,25.6,9.78,13.78,3.07,20.69,72.92,33.9,15.96,25.59,75.45,1.93,1.98,1.13,5.04,154.9,16.53,6.31,8.9,1.98,13.36,21.88,10.3,16.52,1.25,1.28,0.73,47.08,48.71,3.25,100.0,2016,2025-08-15 15:18:49,NYG,74.31M,75.45M,8,-,53,26.4,127295586,12355327
gnb,GBGB,154207025,9232264,4663529,154207025,20.06,5.14,20.56,3.92,22.35,72.03,27.64,22.31,27.57,77.52000000000002,2.4,0.87,0.6,3.87,154.21,13.01,3.33,13.33,2.54,14.49,17.92,14.47,17.88,1.56,0.56,0.39,46.71,50.27,2.51,100.0,2016,2025-08-15 15:18:49,GB,71.34M,77.52M,12,-,51,25.7,134428984,15114512
atl,ATLATL,153820903,4980768,26026281,153820903,25.63,2.26,26.59,5.59,32.13,92.20000000000002,26.89,9.52,17.54,53.95,3.19,2.73,0.86,6.78,153.82,16.66,1.47,17.29,3.63,20.89,17.48,6.19,11.4,2.07,1.77,0.56,59.94,35.07,4.41,100.0,2016,2025-08-15 15:18:49,ATL,92.36M,53.94M,25,-,52,27.1,112615074,15158848
dal,DALDAL,152736923,6524260,3235487,152736923,24.28,9.85,20.14,9.65,21.39,85.31,14.55,16.96,29.4,60.91,3.3,1.45,1.17,5.92,152.74,15.9,6.45,13.19,6.32,14.0,9.53,11.1,19.25,2.16,0.95,0.77,55.85,39.88,3.88,100.0,2016,2025-08-15 15:18:49,DAL,85.73M,60.91M,17,-,51,26.7,139363235,10138201
