PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
clt,INDIND,231385518,8513188,17354055,231385518,56.55,5.95,20.72,10.98,51.47,145.67000000000004,51.66,7.97,22.31,81.94,0.7,2.16,0.91,3.770000000000001,231.39,24.44,2.57,8.95,4.75,22.24,22.33,3.44,9.64,0.3,0.93,0.39,62.96,35.41,1.63,100.0,2020,2025-08-15 15:24:23,IND,12,11-5-0,53,25.8,187851538,26052725
buf,BUFBUF,218228694,2648254,12669540,218228694,8.79,5.54,37.43,10.23,43.35,105.34,52.86,17.38,38.2,108.44,1.54,0.75,0.98,3.27,218.23,4.03,2.54,17.15,4.69,19.86,24.22,7.96,17.5,0.71,0.34,0.45,48.27,49.69,1.5,100.0,2020,2025-08-15 15:24:23,BUF,28,13-3-0,52,26.7,200165512,5333642
kan,KCKC,216749367,4193094,18090810,216749367,8.22,4.63,37.73,13.5,38.81,102.89,45.74,22.84,38.85,107.43,3.2,1.32,1.02,5.540000000000001,216.75,3.79,2.14,17.41,6.23,17.91,21.1,10.54,17.92,1.48,0.61,0.47,47.47,49.56,2.56,100.0,2020,2025-08-15 15:24:23,KC,23,14-2-0,51,26.1,182730257,15557500
rai,LVLV,214145655,5860656,11226368,214145655,31.66,8.1,18.84,15.82,53.46,127.88,33.41,18.56,31.18,83.15,0.9,0.78,0.75,2.43,214.15,14.78,3.78,8.8,7.39,24.96,15.6,8.67,14.56,0.42,0.36,0.35,59.72,38.83,1.13,100.0,2020,2025-08-15 15:24:23,LV,19,8-8-0,53,26.3,165917480,37001807
chi,CHICHI,204713154,7811988,17053964,204713154,16.48,6.47,28.56,15.81,31.53,98.85,23.99,45.67,30.69,100.35,2.77,1.85,0.89,5.51,204.71,8.05,3.16,13.95,7.72,15.4,11.72,22.31,14.99,1.35,0.9,0.43,48.29,49.02,2.69,100.0,2020,2025-08-15 15:24:23,CHI,13,8-8-0,53,26.9,163818846,23387944
car,CARCAR,204039300,4433177,54072638,204039300,17.52,12.54,21.3,6.99,55.65,114.0,38.32,22.19,23.44,83.95,2.36,1.71,1.19,5.26,204.04,8.59,6.15,10.44,3.43,27.27,18.78,10.88,11.49,1.16,0.84,0.58,55.87,41.14,2.58,100.0,2020,2025-08-15 15:24:23,CAR,21,5-11-0,53,26.0,119293249,30555813
mia,MIAMIA,202755153,14969340,39015271,202755153,18.72,11.83,14.89,4.61,25.95,76.0,29.85,24.04,68.52,122.41,0.77,2.13,0.79,3.69,202.76,9.23,5.83,7.34,2.27,12.8,14.72,11.86,33.79,0.38,1.05,0.39,37.48,60.37,1.82,100.0,2020,2025-08-15 15:24:23,MIA,9,10-6-0,53,25.4,156504710,7149972
sfo,SFSF,202659073,4030878,16677649,202659073,28.16,12.64,13.34,8.93,37.38,100.45,39.9,10.04,37.81,87.75,5.01,0.87,1.72,7.6,202.66,13.9,6.24,6.58,4.41,18.44,19.69,4.95,18.66,2.47,0.43,0.85,49.57,43.3,3.75,100.0,2020,2025-08-15 15:24:23,SF,25,6-10-0,55,26.4,101109577,84851447
det,DETDET,201274115,13034055,29102142,201274115,23.87,5.27,19.51,11.03,30.0,89.68,40.65,18.32,44.95,103.92,3.9,1.32,1.0,6.22,201.27,11.86,2.62,9.69,5.48,14.91,20.2,9.1,22.33,1.94,0.66,0.5,44.56,51.63,3.09,100.0,2020,2025-08-15 15:24:23,DET,10,5-11-0,52,26.8,136316057,35530716
sea,SEASEA,200893810,-1255714,16453168,200893810,32.07,10.08,18.37,14.89,31.98,107.39,32.42,30.03,24.26,86.71000000000002,3.6,0.82,1.04,5.46,200.89,15.96,5.02,9.14,7.41,15.92,16.14,14.95,12.08,1.79,0.41,0.52,53.46,43.16,2.72,100.0,2020,2025-08-15 15:24:23,SEA,32,12-4-0,52,26.6,166465242,17939400
