Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Year,Scraped_Date
NYJ,nyj,5.31,8.15,21.61,4.27,33.75,73.09,18.19,17.11,40.75,76.05,1.77,0.62,0.88,3.27,153.01,2015,2025-08-15 15:18:42
PHI,phi,17.68,15.05,11.55,6.91,28.22,79.41,18.61,20.95,27.36,66.92,0.85,2.08,1.07,4.0,150.33,2015,2025-08-15 15:18:42
SEA,sea,8.56,10.39,17.89,10.65,15.58,63.07,29.18,13.86,34.29,77.33,3.33,1.5,0.85,5.68,147.36,2015,2025-08-15 15:18:42
MIN,min,5.27,16.96,22.3,8.96,29.94,83.43,26.54,12.12,20.58,59.239999999999995,2.24,0.63,0.89,3.7600000000000002,147.02,2015,2025-08-15 15:18:42
CAR,car,15.43,14.33,13.08,9.18,21.78,73.8,31.53,17.94,13.73,63.2,3.1,0.68,1.03,4.8100000000000005,145.23,2015,2025-08-15 15:18:42
DEN,den,19.16,2.53,23.1,8.38,26.77,79.94000000000001,10.21,24.55,25.19,59.95,1.32,2.35,0.85,4.52,145.1,2015,2025-08-15 15:18:42
MIA,mia,7.5,3.52,18.88,6.48,24.93,61.309999999999995,34.53,17.87,28.2,80.60000000000001,0.47,1.31,1.18,2.96,144.88,2015,2025-08-15 15:18:42
ARI,crd,11.86,2.81,18.6,5.46,32.84,71.57000000000001,29.36,14.47,27.01,70.84,0.51,1.13,0.67,2.31,144.71,2015,2025-08-15 15:18:42
CIN,cin,10.41,4.07,19.37,3.46,26.2,63.510000000000005,26.68,21.97,25.52,74.17,1.95,2.77,0.9,5.62,143.91,2015,2025-08-15 15:18:42
IND,clt,11.26,6.29,13.84,4.16,19.33,54.879999999999995,16.49,32.99,31.78,81.26,2.75,3.2,1.3,7.25,143.4,2015,2025-08-15 15:18:42
DET,det,18.68,9.17,26.11,7.77,11.27,73.0,34.86,13.71,18.39,66.96000000000001,1.48,0.63,0.67,2.78,143.22,2015,2025-08-15 15:18:42
NO,nor,25.36,6.3,10.31,13.07,24.8,79.84,12.76,22.39,22.29,57.44,0.59,3.47,0.88,4.94,143.21,2015,2025-08-15 15:18:42
HOU,htx,9.87,10.93,14.4,5.5,25.3,66.0,21.36,21.89,28.94,72.19,0.64,2.08,0.94,3.66,142.4,2015,2025-08-15 15:18:42
GB,gnb,19.94,4.09,12.58,3.35,21.19,61.150000000000006,24.35,25.18,24.17,73.7,3.55,1.34,1.03,5.92,141.86,2015,2025-08-15 15:18:42
CHI,chi,17.84,11.81,18.62,7.53,17.74,73.53999999999999,18.7,23.08,20.91,62.69,3.6,0.57,1.11,5.28,141.51,2015,2025-08-15 15:18:42
KC,kan,21.48,9.74,16.03,4.53,16.94,68.72,13.51,23.05,28.91,65.47,1.53,3.8,0.44,5.7700000000000005,141.44,2015,2025-08-15 15:18:42
