Team,PFR_Team,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,OFF,DEF,Year,Scraped_Date
CAR,car,23.02,11.37,10.4,15.96,26.73,87.48,36.26,27.88,14.92,79.06,4.65,2.4,1.04,8.09,175.45,86.91M,79.06M,2017,2025-08-15 15:19:00
WAS,was,27.62,5.15,12.46,11.84,36.03,93.10000000000001,16.32,25.07,36.88,78.27000000000001,0.88,1.5,1.05,3.4299999999999997,174.81,92.07M,78.27M,2017,2025-08-15 15:19:00
PHI,phi,19.96,8.79,20.91,10.0,35.14,94.8,37.35,15.59,21.34,74.28,1.49,1.38,0.63,3.5,172.57,94.02M,74.28M,2017,2025-08-15 15:19:00
MIA,mia,33.19,3.76,10.13,9.68,26.82,83.58,44.29,14.49,27.74,86.52,0.69,0.47,0.7,1.8599999999999999,171.95,82.38M,86.51M,2017,2025-08-15 15:19:00
JAX,jax,10.18,14.12,14.25,10.88,25.35,74.78,46.64,13.13,31.83,91.6,0.62,1.9,1.58,4.1,171.29,75.02M,91.59M,2017,2025-08-15 15:19:00
ARI,crd,29.43,4.3,21.99,6.21,29.48,91.41,12.2,24.52,36.37,73.09,2.5,1.41,0.87,4.78,169.35,90.90M,73.09M,2017,2025-08-15 15:19:00
GB,gnb,21.45,3.17,31.72,6.94,29.1,92.38,17.02,28.63,23.55,69.2,3.6,1.09,1.37,6.0600000000000005,168.49,91.22M,69.20M,2017,2025-08-15 15:19:00
KC,kan,21.42,4.43,7.99,7.56,26.94,68.34,24.24,42.91,22.45,89.6,2.18,4.9,0.73,7.8100000000000005,167.78,70.09M,89.60M,2017,2025-08-15 15:19:00
CHI,chi,23.18,2.91,17.32,10.04,32.55,86.0,16.48,33.62,26.47,76.57,2.49,0.72,1.31,4.52,167.72,84.60M,76.57M,2017,2025-08-15 15:19:00
NYG,nyg,21.56,6.93,17.33,5.1,22.94,73.86,40.6,14.96,33.66,89.22,0.72,1.8,1.3,3.8200000000000003,167.43,73.30M,89.22M,2017,2025-08-15 15:19:00
SEA,sea,15.45,6.68,9.65,12.72,22.73,67.23,32.36,19.34,45.23,96.93,1.03,1.6,0.54,3.17,167.37,64.67M,96.93M,2017,2025-08-15 15:19:00
ATL,atl,27.32,6.13,28.24,4.0,26.36,92.05,38.52,5.19,23.18,66.89,3.1,2.7,0.88,6.680000000000001,166.31,91.93M,66.20M,2017,2025-08-15 15:19:00
OAK,rai,17.07,3.98,21.68,7.89,44.62,95.24000000000001,14.26,11.75,34.28,60.29,3.88,2.55,0.7,7.13,164.44,95.81M,60.29M,2017,2025-08-15 15:19:00
NE,nwe,15.36,11.09,19.87,13.09,23.06,82.47,13.92,18.72,40.15,72.78999999999999,4.5,1.9,0.69,7.09,163.71,80.58M,72.79M,2017,2025-08-15 15:19:00
PIT,pit,21.01,13.48,18.08,8.34,39.45,100.36,15.96,17.3,25.05,58.31,2.82,0.62,0.65,4.09,163.38,100.20M,58.31M,2017,2025-08-15 15:19:00
NO,nor,20.98,11.31,8.36,13.5,34.41,88.56,25.28,16.06,24.9,66.24000000000001,0.54,4.7,,5.24,161.72,89.83M,66.24M,2017,2025-08-15 15:19:00
CIN,cin,16.8,7.77,24.5,7.18,17.74,73.99,27.88,18.79,33.66,80.33,0.89,3.17,1.05,5.109999999999999,161.69,76.20M,80.32M,2017,2025-08-15 15:19:00
TEN,oti,10.3,9.63,21.29,7.53,17.78,66.53,24.19,32.39,30.08,86.66,2.82,3.3,1.31,7.43,161.25,67.02M,86.66M,2017,2025-08-15 15:19:00
DET,det,17.27,5.55,19.42,5.91,25.32,73.47,30.99,16.09,30.57,77.65,5.23,3.9,0.75,9.88,161.08,70.25M,77.64M,2017,2025-08-15 15:19:00
HOU,htx,12.96,9.35,23.26,10.8,21.76,78.13000000000001,19.18,24.72,32.54,76.44,0.72,2.0,0.95,3.67,159.95,79.19M,76.44M,2017,2025-08-15 15:19:00
DAL,dal,13.45,9.32,26.28,16.67,26.31,92.03,25.86,15.67,18.62,60.150000000000006,4.18,1.55,1.22,6.949999999999999,159.81,92.68M,60.14M,2017,2025-08-15 15:19:00
BAL,rav,26.67,6.31,17.51,7.62,31.74,89.85000000000001,8.99,20.23,32.47,61.69,3.11,3.1,1.04,7.25,158.87,88.15M,61.69M,2017,2025-08-15 15:19:00
LAC,sdg,19.62,5.24,22.77,8.46,30.0,86.09,23.23,23.93,21.23,68.39,0.95,0.58,1.06,2.59,157.64,85.55M,68.39M,2017,2025-08-15 15:19:00
LAR,ram,8.86,6.76,25.69,3.36,24.46,69.13,19.25,34.25,29.62,83.12,1.68,1.42,0.88,3.9799999999999995,156.89,68.99M,83.12M,2017,2025-08-15 15:19:00
