Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct
1,INDIND,clt,7-9-0,53,25.7,196100572,41745481,142403804,29183425,24497343,104.2,22.18,75.67,15.51,13.02
2,CLECLE,cle,6-10-0,53,25.2,212753859,32328127,156151812,24322553,32279494,113.05,17.18,82.97,12.92,17.15
3,PHIPHI,phi,9-7-0,52,25.9,170362399,28538697,118556337,30019958,21682104,90.52,15.16,62.99,15.95,11.52
4,BUFBUF,buf,10-6-0,53,26.9,174804987,25621283,152820449,5049084,16935454,92.88,13.61,81.2,2.68,9.0
5,KCKC,kan,12-4-0,53,26.7,166507002,23408500,135179512,10374764,20952726,88.47,12.44,71.83,5.51,11.13
6,MIAMIA,mia,5-11-0,54,25.4,175757955,21380539,60872168,47954138,66915649,93.39,11.36,32.34,25.48,35.56
7,TENTEN,oti,9-7-0,52,26.1,197086185,20789952,152774763,30452561,13858861,104.72,11.05,81.18,16.18,7.36
8,OAKOAK,rai,7-9-0,51,25.6,173145802,19778721,119270203,30142965,23644634,92.0,10.51,63.37,16.02,12.56
9,DALDAL,dal,8-8-0,52,26.6,182367508,18360084,148849800,23186160,10331548,96.9,9.76,79.09,12.32,5.49
10,DETDET,det,3-12-1,53,25.8,176627499,17783369,93511403,67955813,15128283,93.85,9.45,49.69,36.11,8.04
11,HOUHOU,htx,10-6-0,53,26.6,198106556,16210695,145821737,24906380,27378439,105.26,8.61,77.48,13.23,14.55
12,NYJNYJ,nyj,7-9-0,53,26.0,188464903,14024951,96678757,64158771,27627375,100.14,7.45,51.37,34.09,14.68
13,WASWAS,was,3-13-0,53,26.0,180627946,12923089,78588363,88601102,13310481,95.98,6.87,41.76,47.08,7.07
14,DENDEN,den,7-9-0,52,25.3,182229585,12726531,105297174,45018931,31913480,96.83,6.76,55.95,23.92,16.96
15,CHICHI,chi,8-8-0,53,26.2,182861976,12031237,140944391,31416571,10501014,97.16,6.39,74.89,16.69,5.58
16,SEASEA,sea,11-5-0,51,26.2,184894364,11890797,131014550,27463885,26351929,98.24,6.32,69.61,14.59,14.0
17,CINCIN,cin,2-14-0,52,25.9,184954951,11228791,132358691,38881625,13714635,98.28,5.97,70.33,20.66,7.29
18,JAXJAX,jax,6-10-0,53,25.3,190540169,10868564,122743628,31085587,36694954,101.24,5.78,65.22,16.52,19.5
19,SFSF,sfo,13-3-0,53,26.1,220650341,10581233,166552577,28507344,25590420,117.24,5.62,88.5,15.15,13.6
20,TBTB,tam,7-9-0,53,26.0,184939978,10019020,150155466,23734882,10905630,98.27,5.32,79.79,12.61,5.79
21,CARCAR,car,5-11-0,54,26.5,183741575,8605564,117512675,51486083,14622817,97.63,4.57,62.44,27.36,7.77
22,LARLAR,ram,9-7-0,53,25.6,180977365,8439201,162333485,4903862,13604018,96.16,4.48,86.26,2.61,7.23
23,NENE,nwe,12-4-0,53,27.6,194988547,5384876,156633955,12609412,25721180,103.61,2.86,83.23,6.7,13.67
24,GBGB,gnb,13-3-0,53,26.2,191756597,5328829,163872581,9422115,18461901,101.89,2.83,87.07,5.01,9.81
25,LACLAC,sdg,5-11-0,53,26.4,184097522,2968982,155395193,19686640,9015689,97.82,1.58,82.57,10.46,4.79
26,NONO,nor,13-3-0,52,26.7,187888357,2116308,153202407,12640339,22045611,99.83,1.12,81.4,6.72,11.71
27,ARIARI,crd,5-10-1,53,25.8,192019927,1585204,118348287,22637474,50898166,102.03,0.84,62.88,12.03,27.04
28,NYGNYG,nyg,4-12-0,53,25.7,194612924,1492067,125098384,14358124,55156416,103.41,0.79,66.47,7.63,29.31
29,MINMIN,min,10-6-0,51,26.1,191016955,805215,177166406,5438754,8379795,101.5,0.43,94.14,2.89,4.45
30,PITPIT,pit,8-8-0,53,25.7,206404929,493991,129754417,42210117,34440395,109.67,0.26,68.94,22.43,18.3
31,BALBAL,rav,14-2-0,53,26.8,190028527,-2323572,139521776,20153020,30289731,100.97,-1.23,74.13,10.71,16.09
32,ATLATL,atl,7-9-0,84,26.4,216837961,-27098170,150100357,38114183,28319421,115.22,-14.4,79.76,20.25,15.05
