Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,Column_27
1983,1,1,BAL,John ElwayHOF,QB,23,1998,0,9,16,140,,234,4123,7250,51475,300,226,774,3407,33,3,61,1,,,Stanford,College Stats
1983,1,2,RAM,Eric DickersonHOF,RB,23,1993,5,6,10,92,48,146,1,2,15,1,1,2996,13259,90,281,2137,6,,,SMU,College Stats
1983,1,3,SEA,Curt Warner,RB,22,1990,0,3,6,60,60,100,0,0,0,0,0,1698,6844,56,193,1467,7,,,Penn St.,College Stats
1983,1,4,DEN,Chris Hinton,T,22,1995,1,7,11,79,,177,0,0,0,0,0,0,0,0,3,-9,0,,,Northwestern,College Stats
1983,1,5,SDG,Billy Ray Smith,LB,22,1992,0,0,7,46,46,126,0,1,0,0,1,0,0,0,0,0,0,15,26.5,Arkansas,
1983,1,6,CHI,Jimbo CovertHOF,T,23,1990,2,2,7,57,57,111,0,0,0,0,0,0,0,0,0,0,0,,,Pittsburgh,College Stats
1983,1,7,KAN,Todd Blackledge,QB,22,1989,0,0,0,12,9,46,424,881,5286,29,38,81,325,2,0,0,0,,,Penn St.,College Stats
1983,1,8,PHI,Michael Haddix,RB,21,1990,0,0,3,19,15,120,0,0,0,0,0,543,1635,3,172,1310,3,,,Mississippi St.,College Stats
1983,1,9,HOU,Bruce MatthewsHOF,G,22,2001,7,14,19,138,138,296,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats
1983,1,10,NYG,Terry Kinard,DB,23,1990,0,1,8,49,42,121,0,0,0,0,0,0,0,0,0,0,0,31,3.0,Clemson,College Stats
1983,1,11,GNB,Tim Lewis,DB,21,1986,0,0,2,21,21,51,0,0,0,0,0,0,0,0,0,0,0,16,,Pittsburgh,College Stats
1983,1,12,BUF,Tony Hunter,TE,23,1986,0,0,2,11,5,47,0,0,0,0,0,4,28,0,134,1501,9,,,Notre Dame,College Stats
1983,1,13,DET,James Jones,FB,22,1992,0,0,6,42,39,135,3,10,62,1,1,1010,3626,26,318,2641,10,,,Florida,College Stats
1983,1,14,BUF,Jim KellyHOF,QB,23,1996,1,5,11,103,103,160,2874,4779,35467,237,175,304,1049,7,2,40,0,,,Miami (FL),College Stats
1983,1,15,NWE,Tony Eason,QB,23,1990,0,0,3,36,34,90,911,1564,11142,61,51,134,503,6,0,0,0,,,Illinois,College Stats
1983,1,16,ATL,Mike Pitts,DT,22,1994,0,0,7,53,11,169,0,0,0,0,0,0,0,0,0,0,0,1,48.5,Alabama,College Stats
1983,1,17,STL,Leonard Smith,DB,23,1991,0,0,8,42,23,138,0,0,0,0,0,0,0,0,0,0,0,14,14.0,McNeese St.,
1983,1,18,CHI,Willie Gault,WR,23,1993,0,0,9,56,32,170,0,0,0,0,0,21,154,0,333,6635,44,,,Tennessee,College Stats
1983,1,19,MIN,Joey Browner,DB,23,1992,3,6,7,74,74,145,0,0,0,0,0,0,0,0,0,0,0,37,9.5,USC,College Stats
1983,1,20,SDG,Gary Anderson,RB,22,1993,0,1,4,42,29,111,1,1,4,1,0,869,3409,16,302,2999,15,,,Arkansas,College Stats
1983,1,21,PIT,Gabe Rivera,NT,22,1983,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,,2.0,Texas Tech,
1983,1,22,SDG,Gill Byrd,DB,22,1992,0,2,10,58,58,149,0,0,0,0,0,0,0,0,0,0,0,42,,San Jose St.,College Stats
1983,1,23,DAL,Jim Jeffcoat,DE,22,1997,0,0,8,57,56,227,0,0,0,0,0,0,0,0,0,0,0,2,102.5,Arizona St.,
1983,1,24,NYJ,Ken O'Brien,QB,22,1993,0,2,7,73,72,129,2110,3602,25094,128,98,174,394,0,1,27,0,,,UC Davis,
1983,1,25,CIN,Dave Rimington,C,23,1989,0,0,6,39,33,86,0,0,0,0,0,0,0,0,0,0,0,,,Nebraska,College Stats
1983,1,26,RAI,Don Mosebar,C,21,1994,0,3,11,60,60,173,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats
1983,1,27,MIA,Dan MarinoHOF,QB,21,1999,3,9,16,145,145,242,4967,8358,61361,420,252,301,87,9,1,-6,0,,,Pittsburgh,College Stats
1983,1,28,WAS,Darrell GreenHOF,DB,23,2002,1,7,15,103,103,295,0,0,0,0,0,1,6,0,0,0,0,54,1.0,Texas A&M-Kingsville,
1983,2,29,BAL,Vernon Maxwell,LB,21,1989,0,0,3,26,13,77,0,0,0,0,0,0,0,0,0,0,0,1,21.5,Arizona St.,College Stats
1983,2,30,HOU,Harvey Salem,T,22,1992,0,0,8,40,16,126,0,0,0,0,0,0,0,0,0,0,0,,,California,
1983,2,31,DEN,Mark Cooper,G,23,1989,0,0,0,10,7,78,0,0,0,0,0,0,0,0,1,13,0,,,Miami (FL),College Stats
1983,2,32,RAM,Henry Ellard,WR,22,1998,2,3,14,97,70,228,0,0,0,0,0,19,50,0,814,13777,65,,,Fresno St.,College Stats
1983,2,33,CHI,Mike Richardson,DB,22,1989,0,0,6,39,39,91,0,0,0,0,0,0,0,0,0,0,0,20,,Arizona St.,College Stats
1983,2,34,KAN,Dave Lutz,T,23,1995,0,0,11,66,46,187,0,0,0,0,0,0,0,0,0,0,0,,,Georgia Tech,
1983,2,35,PHI,Wes Hopkins,DB,21,1993,1,1,8,55,55,137,0,0,0,0,0,0,0,0,0,0,0,30,12.0,SMU,College Stats
1983,2,36,RAM,Mike Wilcher,LB,23,1991,0,0,6,42,42,124,0,0,0,0,0,0,0,0,0,0,0,4,38.5,North Carolina,College Stats
1983,2,37,NYG,Leonard Marshall,DE,21,1994,0,2,9,70,64,177,0,0,0,0,0,0,0,0,0,0,0,2,83.5,LSU,
1983,2,38,NOR,Steve Korte,C,23,1989,0,0,4,28,28,83,0,0,0,0,0,0,0,0,0,0,0,,,Arkansas,College Stats
1983,2,39,BUF,Darryl Talley,LB,23,1996,0,2,12,73,67,216,0,0,0,0,0,0,0,0,0,0,0,12,38.5,West Virginia,College Stats
1983,2,40,DET,Rich Strenger,T,23,1987,0,0,1,17,17,49,0,0,0,0,0,0,0,0,0,0,0,,,Michigan,
1983,2,41,CLE,Ron Brown,WR,22,1991,1,1,3,20,,100,0,0,0,0,0,21,127,0,98,1791,13,,,Arizona St.,College Stats
1983,2,42,HOU,Keith Bostic,DB,22,1990,0,1,6,34,34,96,0,0,0,0,0,0,0,0,0,0,0,13,17.0,Michigan,College Stats
1983,2,43,ATL,James Britt,DB,22,1987,0,0,2,13,13,60,0,0,0,0,0,0,0,0,0,0,0,3,,LSU,College Stats
1983,2,44,STL,Cedric Mack,DB,22,1993,0,0,6,33,31,140,0,0,0,0,0,0,0,0,6,77,0,20,3.0,Baylor,College Stats
1983,2,45,TAM,Randy Grimes,C,23,1992,0,0,7,38,38,118,0,0,0,0,0,0,0,0,0,0,0,,,Baylor,
1983,2,46,PHI,Jody Schulz,LB,23,1987,0,0,0,6,6,44,0,0,0,0,0,0,0,0,0,0,0,1,1.5,East Carolina,
1983,2,47,NWE,Darryal Wilson,WR,22,1983,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,Tennessee,College Stats
1983,2,48,GNB,Dave Drechsler,G,23,1984,0,0,1,10,10,32,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina,
1983,2,49,SFO,Roger Craig,RB,23,1993,1,4,9,95,87,165,0,0,0,0,0,1991,8189,56,566,4911,17,,,Nebraska,College Stats
1983,2,50,DAL,Mike Walter,LB,22,1993,0,0,7,46,1,149,0,0,0,0,0,0,0,0,0,0,0,2,8.0,Oregon,College Stats
1983,2,51,NYJ,Johnny Hector,RB,22,1992,0,0,1,39,39,126,0,1,0,0,0,1051,4280,41,188,1661,3,,,Texas A&M,College Stats
1983,2,52,PIT,Wayne Capers,WR,22,1986,0,0,1,8,3,47,0,0,0,0,0,5,26,1,51,822,5,,,Kansas,College Stats
1983,2,53,CIN,Ray Horton,DB,23,1992,0,0,6,38,16,147,0,0,0,0,0,0,0,0,0,0,0,19,3.0,Washington,College Stats
1983,2,54,RAI,Bill Pickel,NT,23,1994,1,0,4,49,43,174,0,0,0,0,0,0,0,0,0,0,0,,56.0,Rutgers,College Stats
1983,2,55,MIA,Mike Charles,NT,20,1991,0,0,3,27,14,101,0,0,0,0,0,0,0,0,0,0,0,1,14.0,Syracuse,
1983,2,56,WAS,Richard Williams,RB,23,1984,0,0,0,0,,22,0,0,0,0,0,1,5,0,0,0,0,,,Memphis,College Stats
1983,3,57,BAL,George Achica,DT,22,1985,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats
1983,3,58,HOU,Tim Joiner,LB,22,1987,0,0,0,3,2,29,0,0,0,0,0,0,0,0,0,0,0,,,LSU,
1983,3,59,SFO,Blanchard Montgomery,LB,22,1984,0,0,0,3,3,27,0,0,0,0,0,0,0,0,0,0,0,,,UCLA,College Stats
