Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
1995,1,1,CIN,Ki-Jana Carter,RB,21,2004,0,0,0,11,9,59,0,1,0,0,0,319,1144,20,66,469,1,1,,,Penn St.,College Stats
1995,1,2,JAX,Tony BoselliHOF,T,23,2001,3,5,6,66,66,91,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,College Stats
1995,1,3,HOU,Steve McNair,QB,22,2007,0,3,10,99,93,161,2733,4544,31304,174,119,669,3590,37,1,4,0,,,,Alcorn St.,College Stats
1995,1,4,WAS,Michael Westbrook,WR,23,2002,0,0,6,38,38,89,0,0,0,0,0,22,160,1,285,4374,26,,,,Colorado,College Stats
1995,1,5,CAR,Kerry Collins,QB,22,2011,0,2,11,83,14,198,3487,6261,40922,208,196,374,686,10,2,-13,0,1,,,Penn St.,College Stats
1995,1,6,STL,Kevin Carter,DE,21,2008,1,2,14,86,44,224,0,0,0,0,0,0,0,0,0,0,0,455,,104.5,Florida,College Stats
1995,1,7,PHI,Mike Mamula,DE,22,2000,0,0,4,31,31,77,0,0,0,0,0,0,0,0,0,0,0,156,1,31.5,Boston Col.,
1995,1,8,SEA,Joey Galloway,WR,23,2010,0,0,11,78,42,198,1,1,-1,0,0,63,496,1,701,10950,77,,,,Ohio St.,College Stats
1995,1,9,NYJ,Kyle Brady,TE,23,2007,0,0,13,26,6,197,0,0,0,0,0,0,0,0,343,3519,25,1,,,Penn St.,College Stats
1995,1,10,SFO,J.J. Stokes,WR,22,2003,0,0,3,40,40,118,0,0,0,0,0,1,6,0,342,4293,30,,,,UCLA,College Stats
1995,1,11,MIN,Derrick Alexander,DE,21,1999,0,0,5,27,23,73,0,0,0,0,0,0,0,0,0,0,0,164,,20.0,Florida St.,College Stats
1995,1,12,TAM,Warren SappHOF,DT,22,2007,4,7,13,117,104,198,0,0,0,0,0,0,0,0,4,39,2,440,4,96.5,Miami (FL),College Stats
1995,1,13,NOR,Mark Fields,LB,22,2004,0,2,8,53,34,136,0,0,0,0,0,0,0,0,0,0,0,586,5,34.5,Washington St.,College Stats
1995,1,14,BUF,Ruben Brown,G,23,2007,0,9,13,78,66,181,0,0,0,0,0,0,0,0,1,-6,0,,,,Pittsburgh,College Stats
1995,1,15,IND,Ellis Johnson,DT,21,2004,0,0,5,35,30,149,0,0,0,0,0,0,0,0,0,0,0,262,3,51.0,Florida,
1995,1,16,NYJ,Hugh Douglas,DE,24,2004,1,3,7,68,12,138,0,0,0,0,0,0,0,0,0,0,0,292,1,80.0,Central State (OH),
1995,1,17,NYG,Tyrone Wheatley,RB,23,2004,0,0,4,39,8,124,1,1,24,1,0,1270,4962,40,125,900,7,,,,Michigan,College Stats
1995,1,18,OAK,Napoleon Kaufman,RB,22,2000,0,0,3,39,39,91,0,1,0,0,0,978,4792,12,127,1107,5,,,,Washington,College Stats
1995,1,19,JAX,James Stewart,RB,23,2002,0,0,6,46,23,101,0,1,0,0,0,1478,5841,48,220,1715,9,2,,,Tennessee,College Stats
1995,1,20,DET,Luther Elliss,DT,22,2004,0,2,8,51,51,134,0,0,0,0,0,0,0,0,0,0,0,214,,29.0,Utah,College Stats
1995,1,21,CHI,Rashaan Salaam,RB,20,1999,0,0,1,13,13,33,0,0,0,0,0,471,1684,13,16,120,1,,,,Colorado,College Stats
1995,1,22,CAR,Tyrone Poole,DB,23,2008,0,0,7,43,22,144,0,0,0,0,0,0,0,0,0,0,0,409,18,6.0,Fort Valley St.,
1995,1,23,NWE,Ty LawHOF,DB,21,2009,2,5,12,88,70,203,0,0,0,0,0,0,0,0,0,0,0,708,53,5.0,Michigan,College Stats
1995,1,24,MIN,Korey Stringer,T,21,2000,0,1,6,45,45,93,0,0,0,0,0,0,0,0,1,-1,0,,,,Ohio St.,College Stats
1995,1,25,MIA,Billy Milner,T,23,1996,0,0,1,7,6,30,0,0,0,0,0,0,0,0,0,0,0,,,,Houston,
1995,1,26,ATL,Devin Bush Sr.,DB,22,2002,0,0,4,27,12,116,0,0,0,0,0,0,0,0,0,0,0,336,7,1.0,Florida St.,College Stats
1995,1,27,PIT,Mark Bruener,TE,22,2008,0,0,10,10,9,188,0,0,0,0,0,0,0,0,152,1333,18,,,,Washington,College Stats
1995,1,28,TAM,Derrick BrooksHOF,LB,22,2008,5,11,14,142,142,224,0,0,0,0,0,0,0,0,0,0,0,1300,25,13.5,Florida St.,College Stats
1995,1,29,CAR,Blake Brockermeyer,T,22,2003,0,0,7,40,21,136,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,
1995,1,30,CLE,Craig Powell,LB,23,1998,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,,,Ohio St.,
1995,1,31,KAN,Trezelle Jenkins,T,22,1997,0,0,0,1,1,9,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,
1995,1,32,GNB,Craig Newsome,DB,24,1999,0,0,3,18,17,53,0,0,0,0,0,0,0,0,0,0,0,177,4,,Arizona St.,
1995,2,33,NYJ,Matt O'Dwyer,G,23,2004,0,0,7,41,24,122,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern,
1995,2,34,SDG,Terrance Shaw,DB,21,2004,0,0,5,32,22,140,0,0,0,0,0,0,0,0,0,0,0,410,11,,S.F. Austin,
1995,2,35,HOU,Anthony Cook,DE,23,1999,0,0,2,20,17,67,0,0,0,0,0,0,0,0,0,0,0,96,,17.0,South Carolina St.,
1995,2,36,CAR,Shawn King,DE,23,1999,0,0,1,10,6,48,0,0,0,0,0,0,0,0,0,0,0,57,1,8.5,La-Monroe,College Stats
1995,2,37,WAS,Cory Raymer,C,22,2005,0,0,4,35,32,98,0,0,0,0,0,0,0,0,0,0,0,1,,,Wisconsin,College Stats
1995,2,38,STL,Zach Wiegert,G,23,2006,0,0,10,49,16,145,0,0,0,0,0,0,0,0,2,-2,0,,,,Nebraska,College Stats
1995,2,39,SEA,Christian Fauria,TE,23,2007,0,0,9,17,13,191,0,0,0,0,0,0,0,0,252,2529,22,2,,,Colorado,College Stats
1995,2,40,JAX,Brian DeMarco,G,23,1999,0,0,3,22,20,63,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.,
1995,2,41,ATL,Ron Davis,DB,23,1995,0,0,0,2,2,12,0,0,0,0,0,0,0,0,0,0,0,25,,,Tennessee,College Stats
1995,2,42,MIN,Orlando Thomas,DB,22,2001,0,0,7,32,32,98,0,0,0,0,0,0,0,0,0,0,0,351,22,1.5,Louisiana,
1995,2,43,TAM,Melvin Johnson,DB,23,1998,0,0,1,13,13,50,0,0,0,0,0,0,0,0,0,0,0,128,4,1.0,Kentucky,College Stats
1995,2,44,NOR,Ray Zellars,RB,22,1998,0,0,1,10,10,48,0,0,0,0,0,382,1351,11,57,391,0,,,,Notre Dame,College Stats
1995,2,45,BUF,Todd Collins,QB,23,2010,0,0,1,11,9,49,391,701,4547,22,24,83,152,0,0,0,0,,,,Michigan,College Stats
1995,2,46,DAL,Sherman Williams,RB,22,1999,0,0,0,10,10,60,0,1,0,0,0,302,1162,4,40,332,0,,,,Alabama,College Stats
1995,2,47,ARI,Frank Sanders,WR,22,2003,0,0,8,44,43,136,1,3,26,0,0,11,4,0,507,6749,24,,,,Auburn,College Stats
1995,2,48,IND,Ken Dilger,TE,24,2004,0,1,10,35,30,156,1,1,39,1,0,0,0,0,356,4099,24,,,,Illinois,College Stats
1995,2,49,OAK,Barret Robbins,C,22,2003,1,1,7,54,54,121,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,
1995,2,50,PHI,Bobby Taylor,DB,21,2004,0,1,7,52,51,129,0,0,0,0,0,0,0,0,0,0,0,329,19,4.0,Notre Dame,College Stats
1995,2,51,SDG,Terrell Fletcher,RB,21,2002,0,0,0,22,22,111,1,1,23,1,0,526,1871,10,259,1943,3,8,,,Wisconsin,College Stats
1995,2,52,CHI,Pat Riley,DE,23,1995,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),
