Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
ATL,1971,52,Ron Acks,27,LLB,14,10,214,6-2,Illinois,10/3/1944,3,5,"Minnesota Vikings / 4th / 57th pick /1966, New York Jets / 16th / 141st pick /1966"
ATL,1971,54,Grady Allen,25,LB,3,0,225,6-3,Texas A&M,1/1/1946,3,1,
ATL,1971,37,Bill Bell,24,K,14,0,192,6-0,Kansas,12/9/1947,1,2,Atlanta Falcons / 17th / 428th pick /1970
ATL,1971,28,Willie Belton,23,RB,14,0,207,5-11,MD-Eastern Shore,12/12/1948,Rook,2,
ATL,1971,17,Bob Berry,29,QB,11,10,185,5-11,Oregon,3/10/1942,6,10,"Philadelphia Eagles / 11th / 142nd pick /1964, Denver Broncos / 26th / 201st pick /1964"
ATL,1971,62,John Bramlett,30,LB,7,0,220,6-1,Memphis,7/7/1941,6,2,
ATL,1971,50,Greg Brezina,25,RLB,14,14,226,6-0,Houston,1/7/1946,3,7,Atlanta Falcons / 11th / 275th pick /1968
ATL,1971,34,Ray Brown,22,FS,10,9,208,6-1,West Texas A&M,1/12/1949,Rook,4,Atlanta Falcons / 6th / 148th pick /1971
ATL,1971,82,Ken Burrow,23,WR,14,14,190,6-0,"Utah St.,San Diego St.",3/29/1948,Rook,9,Atlanta Falcons / 2nd / 33rd pick /1971
ATL,1971,33,Cannonball Butler,28,RB,13,13,194,5-9,Edward Waters,5/4/1943,6,7,Pittsburgh Steelers / 14th / 186th pick /1965
ATL,1971,45,Sonny Campbell,23,RB,14,1,192,5-11,Northern Arizona,3/5/1948,1,1,
ATL,1971,81,Wes Chesson,22,WR,14,14,195,6-2,Duke,1/15/1949,Rook,3,Atlanta Falcons / 7th / 163rd pick /1971
ATL,1971,88,Glen Condren,29,RDT,12,12,251,6-4,Oklahoma,6/10/1942,6,5,"New York Jets / 19th / 147th pick /1964, New York Giants / 11th / 152nd pick /1964"
ATL,1971,84,Mike Donohoe,26,TE,9,0,225,6-3,San Francisco,5/6/1945,3,0,Minnesota Vikings / 9th / 225th pick /1968
ATL,1971,63,Dick Enderle,24,G,14,4,250,6-2,Minnesota,11/6/1947,2,3,Atlanta Falcons / 7th / 158th pick /1969
ATL,1971,58,Don Hansen,27,MLB/LLB,14,14,235,6-2,Illinois,8/20/1944,5,8,"Minnesota Vikings / 3rd / 42nd pick /1966, Miami Dolphins / 7th / 51st pick /1966"
ATL,1971,10,Leo Hart,22,QB,1,0,203,6-3,Duke,3/3/1949,Rook,0,Atlanta Falcons / 3rd / 59th pick /1971
ATL,1971,27,Tom Hayes,25,RCB,14,14,199,6-1,San Diego St.,4/18/1946,Rook,6,Atlanta Falcons / 6th / 137th pick /1971
ATL,1971,87,Claude Humphrey,27,LDE,14,14,252,6-4,Tennessee St.,6/29/1944,3,8,Atlanta Falcons / 1st / 3rd pick /1968
ATL,1971,46,Ray Jarvis,22,WR,2,0,200,6-0,Norfolk St.,2/2/1949,Rook,0,Atlanta Falcons / 5th / 111th pick /1971
ATL,1971,59,Rudy Kuechenberg,28,LB,3,0,215,6-0,Indiana,2/7/1943,4,1,
ATL,1971,75,George Kunz,24,RT,14,14,257,6-5,Notre Dame,7/5/1947,2,10,Atlanta Falcons / 1st / 2nd pick /1969
ATL,1971,72,Greg Lens,26,DT,7,4,261,6-5,Trinity (TX),3/11/1945,1,2,St. Louis Cardinals / 4th / 86th pick /1970
ATL,1971,69,Mike Lewis,22,DE,9,0,261,6-4,"Wiley,Ark-Pine Bluff",7/14/1949,Rook,3,
ATL,1971,26,Billy Lothridge,29,P,9,0,194,6-1,Georgia Tech,1/1/1942,7,1,"Dallas Cowboys / 6th / 73rd pick /1964, Oakland Raiders / 12th / 95th pick /1964"
ATL,1971,22,John Mallory,25,SS,14,11,184,6-0,West Virginia,7/24/1946,3,5,Philadelphia Eagles / 10th / 258th pick /1968
ATL,1971,25,Art Malone,23,FB,13,13,211,5-11,Arizona St.,3/20/1948,1,9,Atlanta Falcons / 2nd / 39th pick /1970
ATL,1971,89,Randy Marshall,25,DE,6,0,237,6-5,Linfield,12/14/1946,1,2,Atlanta Falcons / 6th / 152nd pick /1970
ATL,1971,53,John Matlock,27,C,12,0,249,6-4,Miami (FL),10/19/1944,4,4,
ATL,1971,64,Andy Maurer,23,LG,14,12,265,6-3,Oregon,9/30/1948,1,7,Atlanta Falcons / 3rd / 64th pick /1970
ATL,1971,20,Tom McCauley,24,DB,4,4,193,6-3,Wisconsin,5/3/1947,2,2,Minnesota Vikings / 10th / 253rd pick /1969
ATL,1971,55,Jim Miller,22,G,14,0,240,6-3,Iowa,7/24/1949,Rook,4,
ATL,1971,86,Jim Mitchell,24,TE,13,13,234,6-1,Prairie View A&M,10/19/1947,2,8,Atlanta Falcons / 4th / 81st pick /1969
ATL,1971,60,Tommy Nobis,28,LB,4,4,240,6-2,Texas,9/20/1943,5,2,"Atlanta Falcons / 1st / 1st pick /1966, Houston Oilers / 1st / 5th pick /1966"
ATL,1971,35,Tony Plummer,24,DB,7,0,188,5-11,Pacific,1/21/1947,1,2,St. Louis Cardinals / 10th / 242nd pick /1970
ATL,1971,85,Ray Poage,31,TE,4,1,208,6-4,Texas,11/14/1940,8,1,"Denver Broncos / 2nd / 11th pick /1963, Minnesota Vikings / 3rd / 31st pick /1963"
ATL,1971,23,Joe Profit,22,RB,4,0,213,6-0,La-Monroe,8/13/1949,Rook,0,Atlanta Falcons / 1st / 7th pick /1971
ATL,1971,36,Ken Reaves,27,LCB,14,14,210,6-3,Norfolk St.,10/29/1944,5,6,Atlanta Falcons / 4th / 49th pick /1966
ATL,1971,47,Rudy Redmond,24,DB,8,4,196,6-1,Pacific,8/25/1947,2,2,Chicago Bears / 4th / 91st pick /1969
ATL,1971,61,Bill Sandeman,29,LT,14,14,252,6-6,"Delta College,Pacific",11/30/1942,5,8,
ATL,1971,30,Larry Shears,22,DB,9,0,185,5-10,Lincoln (MO),8/1/1949,Rook,2,Atlanta Falcons / 11th / 267th pick /1971
ATL,1971,11,Dick Shiner,29,QB,10,4,201,6-0,Maryland,7/18/1942,7,2,"Washington Redskins / 7th / 87th pick /1964, New York Jets / 20th / 155th pick /1964"
ATL,1971,66,John Small,25,LDT,14,12,269,6-4,The Citadel,11/20/1946,1,6,Atlanta Falcons / 1st / 12th pick /1970
ATL,1971,67,Mal Snider,24,RG,13,12,251,6-4,Stanford,4/5/1947,2,7,Atlanta Falcons / 3rd / 54th pick /1969
ATL,1971,80,Todd Snyder,23,WR,4,0,187,6-1,Ohio,10/22/1948,1,0,Atlanta Falcons / 3rd / 65th pick /1970
ATL,1971,57,Jeff Van Note,25,C,14,14,247,6-2,Kentucky,2/7/1946,2,8,Atlanta Falcons / 11th / 262nd pick /1969
ATL,1971,5,Harmon Wages,25,RB,14,1,215,6-1,Florida,5/18/1946,3,5,
ATL,1971,51,Cleo Walker,23,LB,11,0,219,6-3,Louisville,2/7/1948,1,3,Green Bay Packers / 7th / 172nd pick /1970
ATL,1971,71,John Zook,24,RDE,14,14,243,6-4,Kansas,9/24/1947,2,6,Los Angeles Rams / 4th / 99th pick /1969
