Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
BUF,1987,41,Ira Albright,28,NT,3,0,285,6-0,NE State (OK),1/2/1959,Rook,0,
BUF,1987,20,John Armstrong,24,DB,3,2,190,5-9,Richmond,7/7/1963,Rook,1,Minnesota Vikings / 11th / 286th pick /1986
BUF,1987,84,Veno Belk,24,TE,2,2,233,6-3,Michigan St.,3/7/1963,Rook,0,
BUF,1987,28,Greg Bell,25,RB,2,2,210,5-10,Notre Dame,8/1/1962,3,1,Buffalo Bills / 1st / 26th pick /1984
BUF,1987,55,Cornelius Bennett,22,LOLB,8,7,237,6-2,Alabama,8/25/1965,Rook,4,Indianapolis Colts / 1st / 2nd pick /1987
BUF,1987,50,Ray Bentley,27,LB,9,4,240,6-2,Central Michigan,11/25/1960,1,2,
BUF,1987,21,Gerald Bess,29,DB,2,1,188,6-0,Tuskegee,5/24/1958,Rook,0,
BUF,1987,62,Joe Bock,28,C,1,0,256,6-4,Virginia,7/21/1959,Rook,0,
BUF,1987,91,Jack Bravyak,28,DE,1,0,255,6-3,Temple,9/10/1959,Rook,0,
BUF,1987,81,Walter Broughton,25,WR,9,0,180,5-10,Jacksonville St.,10/20/1962,1,1,
BUF,1987,86,Marc Brown,26,WR,3,0,195,6-2,Towson,5/7/1961,Rook,1,
BUF,1987,68,Tony Brown,23,T,2,2,285,6-5,Pittsburgh,7/11/1964,Rook,1,
BUF,1987,85,Chris Burkett,25,WR,12,12,205,6-4,Jackson St.,8/21/1962,2,6,Buffalo Bills / 2nd / 42nd pick /1985
BUF,1987,29,Derrick Burroughs,25,LCB,12,12,180,6-1,Memphis,5/18/1962,2,4,Buffalo Bills / 1st / 14th pick /1985
BUF,1987,61,Leonard Burton,23,C,12,3,275,6-3,"Northwest Mississippi CC,South Carolina",6/18/1964,1,2,Buffalo Bills / 3rd / 77th pick /1986
BUF,1987,88,Reggie Bynum,23,WR,1,1,185,6-1,Oregon St.,2/10/1964,Rook,0,Buffalo Bills / 9th / 222nd pick /1986
BUF,1987,35,Carl Byrum,24,FB,13,8,232,6-0,Miss. Valley St.,6/29/1963,1,2,Buffalo Bills / 5th / 111th pick /1986
BUF,1987,25,Bill Callahan,23,DB,1,1,200,6-0,Pittsburgh,4/11/1964,Rook,0,Pittsburgh Steelers / 4th / 94th pick /1986
BUF,1987,90,Arnold Campbell,25,DE,3,0,260,6-3,Alcorn St.,11/13/1962,Rook,0,
BUF,1987,46,Joe Chetti,24,RB,2,0,205,5-9,C.W. Post,11/19/1963,Rook,0,
BUF,1987,36,Steve Clark,25,DB,3,1,190,6-2,Liberty,12/14/1962,Rook,1,
BUF,1987,92,Will Cokeley,27,LB,3,3,220,6-2,Kansas St.,12/6/1960,Rook,2,
BUF,1987,58,Shane Conlan,23,LILB/LOLB,12,12,235,6-3,Penn St.,4/3/1964,Rook,11,Buffalo Bills / 1st / 8th pick /1987
BUF,1987,21,Wayne Davis,24,DB,10,0,175,5-11,Indiana St.,7/17/1963,2,1,San Diego Chargers / 2nd / 39th pick /1985
BUF,1987,70,Joe Devlin,33,RT,12,12,261,6-5,Iowa,2/23/1954,11,5,Buffalo Bills / 2nd / 52nd pick /1976
BUF,1987,71,Sean Dowling,24,G,3,3,280,6-4,C.W. Post,2/19/1963,Rook,1,
BUF,1987,45,Dwight Drane,25,SS,11,6,200,6-1,Oklahoma,5/6/1962,1,2,Buffalo Bills / 1st / 14th pick /1984Supp
BUF,1987,77,Mike Estep,24,G,2,0,270,6-4,Bowling Green,12/29/1963,Rook,0,
BUF,1987,59,Mitch Frerotte,22,G,12,0,281,6-3,Penn St.,3/30/1965,Rook,1,
BUF,1987,39,Larry Friday,29,DB,1,0,215,6-4,"Alcorn St.,Mississippi St.",1/23/1958,Rook,0,Cleveland Browns / 11th / 298th pick /1981
BUF,1987,53,Tony Furjanic,23,LB,8,0,228,6-1,Notre Dame,2/26/1964,1,1,Buffalo Bills / 8th / 202nd pick /1986
BUF,1987,82,Sheldon Gaines,23,WR,3,3,155,5-9,Long Beach St.,4/22/1964,Rook,1,
BUF,1987,69,Scott Garnett,25,DE,3,2,271,6-2,Washington,12/3/1962,3,1,Denver Broncos / 8th / 218th pick /1984
BUF,1987,53,Will Grant,33,C,1,1,254,6-3,"Idaho St.,Kentucky",3/7/1954,9,0,Buffalo Bills / 10th / 255th pick /1978
BUF,1987,85,Kris Haines,30,WR,1,0,183,5-11,Notre Dame,7/23/1957,8,0,Washington Redskins / 9th / 233rd pick /1979
BUF,1987,33,Ronnie Harmon,23,RB,12,10,200,5-11,Iowa,5/7/1964,1,7,Buffalo Bills / 1st / 16th pick /1986
BUF,1987,93,Scott Hernandez,28,NT,2,2,250,6-0,Kent St.,10/17/1959,Rook,1,
BUF,1987,67,Kent Hull,26,C,12,12,284,6-5,Mississippi St.,1/13/1961,1,5,
BUF,1987,48,Lawrence Johnson,30,DB,6,3,204,5-11,Wisconsin,9/11/1957,8,1,Cleveland Browns / 2nd / 40th pick /1979
BUF,1987,86,Trumaine Johnson,27,WR,12,0,196,6-1,Grambling St.,11/16/1960,2,2,San Diego Chargers / 6th / 141st pick /1983
BUF,1987,57,Mike Jones,23,LB,1,0,224,6-4,Brockport St.,8/19/1964,Rook,0,
