No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
41,Eli Apple,25,DB,2,0,203,6-1,Ohio St.,8/9/1995,4,0,New York Giants / 1st / 10th pick /2016,"$2,000,000",CAR,2020,2025-08-15 13:44:59
40,Alex Armah,26,FB,16,1,255,6-1,West Georgia,5/17/1994,3,0,Carolina Panthers / 6th / 192nd pick /2017,"$825,000",CAR,2020,2025-08-15 13:44:59
39,Reggie Bonnafon,24,RB,2,0,215,6-0,Louisville,1/4/1996,1,1,,"$675,000",CAR,2020,2025-08-15 13:44:59
33,Tre Boston,28,FS,16,16,205,6-1,North Carolina,6/25/1992,6,6,Carolina Panthers / 4th / 128th pick /2014,"$1,160,000",CAR,2020,2025-08-15 13:44:59
5,Teddy Bridgewater,28,QB,15,15,210,6-2,Louisville,11/10/1992,6,13,Minnesota Vikings / 1st / 32nd pick /2014,"$8,000,000",CAR,2020,2025-08-15 13:44:59
95,Derrick Brown,22,RDT/LDT,16,15,320,6-5,Auburn,4/15/1998,Rook,6,Carolina Panthers / 1st / 7th pick /2020,"$610,000",CAR,2020,2025-08-15 13:44:59
53,Brian Burns,22,LDE,15,14,250,6-5,Florida St.,4/23/1998,1,6,Carolina Panthers / 1st / 16th pick /2019,"$1,110,463",CAR,2020,2025-08-15 13:44:59
31,Juston Burris,27,SS,13,12,210,6-0,North Carolina St.,8/4/1993,4,4,New York Jets / 4th / 118th pick /2016,"$910,000",CAR,2020,2025-08-15 13:44:59
36,Trenton Cannon,26,RB,14,0,185,5-11,Virginia St.,7/23/1994,2,0,New York Jets / 6th / 204th pick /2018,"$750,000",CAR,2020,2025-08-15 13:44:59
56,Jermaine Carter Jr.,25,MLB,16,7,225,6-1,Maryland,1/14/1995,2,4,Carolina Panthers / 5th / 161st pick /2018,"$750,000",CAR,2020,2025-08-15 13:44:59
3,Joseph Charlton,23,P,16,0,190,6-5,South Carolina,4/7/1997,Rook,2,,,CAR,2020,2025-08-15 13:44:59
21,Jeremy Chinn,22,RLB,15,15,220,6-3,Southern Illinois,2/26/1998,Rook,14,Carolina Panthers / 2nd / 64th pick /2020,"$610,000",CAR,2020,2025-08-15 13:44:59
