Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
CHI,1995,72,Scott Adams,29,T,4,0,301,6-5,Georgia,9/28/1966,3,0,
CHI,1995,70,Troy Auzenne,26,T,11,0,293,6-7,California,6/26/1969,3,1,Chicago Bears / 2nd / 49th pick /1992
CHI,1995,91,Myron Baker,24,LB,16,0,232,6-1,Louisiana Tech,1/6/1971,2,1,Chicago Bears / 4th / 100th pick /1993
CHI,1995,52,Robert Bass,25,LB,2,0,239,6-1,Miami (FL),11/10/1970,Rook,0,
CHI,1995,88,Fabien Bownes,23,WR,1,0,185,5-11,Western Illinois,2/29/1972,Rook,0,
CHI,1995,63,Todd Burger,25,G,16,1,303,6-3,Penn St.,3/20/1970,1,2,
CHI,1995,35,James Burton,24,DB,11,2,184,5-9,"Hawaii,Fresno St.",4/27/1971,1,1,Kansas City Chiefs / 5th / 151st pick /1994
CHI,1995,6,Kevin Butler,33,K,16,0,215,6-0,Georgia,7/24/1962,10,2,Chicago Bears / 4th / 105th pick /1985
CHI,1995,59,Joe Cain,30,MLB,16,16,242,6-1,"Stanford,Oregon Tech",6/11/1965,6,7,Minnesota Vikings / 8th / 210th pick /1988
CHI,1995,20,Mark Carrier,27,FS,16,15,192,6-1,USC,4/28/1968,5,5,Chicago Bears / 1st / 6th pick /1990
CHI,1995,23,Marty Carter,26,SS,16,16,209,6-1,Middle Tenn. St.,12/17/1969,4,6,Tampa Bay Buccaneers / 8th / 207th pick /1991
CHI,1995,30,Tony Carter,23,FB,16,11,230,6-0,Minnesota,8/23/1972,1,4,
CHI,1995,80,Curtis Conway,24,WR,16,16,196,6-1,USC,1/13/1971,2,12,Chicago Bears / 1st / 7th pick /1993
CHI,1995,54,Ron Cox,27,RLB,16,13,235,6-2,Fresno St.,3/29/1968,5,6,Chicago Bears / 2nd / 33rd pick /1990
CHI,1995,95,Richard Dent,35,DE,3,1,265,6-5,Tennessee St.,12/13/1960,12,1,Chicago Bears / 8th / 203rd pick /1983
CHI,1995,38,Mike Dulaney,25,RB,5,1,245,6-0,North Carolina,9/9/1970,1,0,
CHI,1995,25,Pat Eilers,29,DB,9,0,197,5-11,"Yale,Notre Dame",9/3/1966,5,1,
CHI,1995,99,Jim Flanigan,24,LDT,16,12,290,6-2,Notre Dame,8/27/1971,1,7,Chicago Bears / 3rd / 74th pick /1994
CHI,1995,96,Albert Fontenot,25,RDE,13,5,287,6-4,Baylor,9/17/1970,2,3,Chicago Bears / 4th / 112th pick /1993
CHI,1995,67,Jerry Fontenot,29,C,16,16,300,6-3,Texas A&M,11/21/1966,6,10,Chicago Bears / 3rd / 65th pick /1989
CHI,1995,84,Chris Gedney,25,TE,14,1,258,6-5,Syracuse,8/9/1970,2,1,Chicago Bears / 3rd / 61st pick /1993
CHI,1995,81,Jeff Graham,26,WR,16,16,200,6-2,Ohio St.,2/14/1969,4,14,Pittsburgh Steelers / 2nd / 46th pick /1991
CHI,1995,22,Robert Green,25,RB,12,3,212,5-8,William & Mary,9/10/1970,3,7,
CHI,1995,29,Raymont Harris,25,RB,1,1,226,6-0,Ohio St.,12/23/1970,1,0,Chicago Bears / 4th / 114th pick /1994
CHI,1995,57,Sean Harris,23,LB,11,0,250,6-3,Arizona,2/25/1972,Rook,1,Chicago Bears / 3rd / 83rd pick /1995
CHI,1995,74,Garland Hawkins,25,DE,1,0,253,6-3,Syracuse,2/19/1970,Rook,0,
CHI,1995,64,Andy Heck,28,LT,16,16,298,6-6,Notre Dame,1/1/1967,6,10,Seattle Seahawks / 1st / 15th pick /1989
CHI,1995,52,Darwin Ireland,24,LB,1,0,240,5-11,Arkansas,5/26/1971,1,0,
CHI,1995,85,Keith Jennings,29,TE,16,16,262,6-4,Clemson,5/19/1966,6,2,Dallas Cowboys / 5th / 113th pick /1989
CHI,1995,25,Anthony Johnson,28,RB,8,0,225,6-0,Notre Dame,10/25/1967,5,1,Indianapolis Colts / 2nd / 36th pick /1990
CHI,1995,37,Keshon Johnson,25,DB,12,0,180,5-10,Arizona,7/17/1970,2,1,Chicago Bears / 7th / 173rd pick /1993
CHI,1995,32,Dwayne Joseph,23,DB,16,1,180,5-9,Syracuse,6/2/1972,Rook,2,
CHI,1995,12,Erik Kramer,31,QB,16,16,200,6-1,North Carolina St.,11/6/1964,8,15,
CHI,1995,58,Jay Leeuwenburg,26,RG,16,16,294,6-3,Colorado,6/18/1969,3,10,Kansas City Chiefs / 9th / 244th pick /1992
CHI,1995,82,Nate Lewis,29,WR,11,0,198,5-11,"Georgia,Oregon Tech",10/19/1966,5,0,San Diego Chargers / 7th / 187th pick /1990
CHI,1995,39,Jeremy Lincoln,26,RCB,16,14,180,5-10,Tennessee,4/7/1969,2,5,Chicago Bears / 3rd / 80th pick /1992
CHI,1995,43,Dennis Lundy,23,RB,2,0,187,5-8,Northwestern,7/6/1972,Rook,0,
CHI,1995,26,John Mangum,28,DB,11,1,187,5-10,Alabama,3/16/1967,5,1,Chicago Bears / 6th / 144th pick /1990
CHI,1995,36,Anthony Marshall,25,DB,16,2,212,6-1,LSU,9/16/1970,1,2,
CHI,1995,24,Kevin Miniefield,25,LCB,15,7,182,5-9,Arizona St.,3/2/1970,2,4,Detroit Lions / 8th / 201st pick /1993
CHI,1995,92,Barry Minter,25,LB,16,3,242,6-2,Tulsa,1/28/1970,2,3,Dallas Cowboys / 6th / 168th pick /1993
CHI,1995,8,Pat O'Neill,24,P,1,0,200,6-1,Syracuse,2/9/1971,1,0,New England Patriots / 5th / 135th pick /1994
CHI,1995,75,Todd Perry,25,LG,15,15,310,6-5,Kentucky,11/28/1970,2,10,Chicago Bears / 4th / 97th pick /1993
CHI,1995,87,Andre President,24,TE,2,0,255,6-3,Angelo State (TX),6/16/1971,Rook,0,
CHI,1995,87,Greg Primus,25,WR,4,0,190,5-11,Colorado St.,10/20/1970,1,0,
CHI,1995,78,Pat Riley,23,DE,1,0,286,6-5,Miami (FL),3/8/1972,Rook,0,Chicago Bears / 2nd / 52nd pick /1995
CHI,1995,31,Rashaan Salaam,21,RB,16,11,224,6-1,Colorado,10/8/1974,Rook,8,Chicago Bears / 1st / 21st pick /1995
CHI,1995,16,Todd Sauerbrun,22,P,15,0,215,5-10,West Virginia,1/4/1973,Rook,1,Chicago Bears / 2nd / 56th pick /1995
CHI,1995,98,Carl Simpson,25,LDT,16,8,292,6-2,Florida St.,4/18/1970,2,4,Chicago Bears / 2nd / 35th pick /1993
CHI,1995,55,Vinson Smith,30,LLB,16,13,243,6-2,East Carolina,7/3/1965,7,6,
CHI,1995,90,Alonzo Spellman,24,LDE,16,16,287,6-4,Ohio St.,9/27/1971,3,8,Chicago Bears / 1st / 22nd pick /1992
CHI,1995,94,John Thierry,24,RDE,16,7,265,6-4,Alcorn St.,9/4/1971,1,5,Chicago Bears / 1st / 11th pick /1994
