Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
CIN,1979,40,Charles Alexander,22,RB,16,3,224,6-1,LSU,7/28/1957,Rook,3,Cincinnati Bengals / 1st / 12th pick /1979
CIN,1979,14,Ken Anderson,30,QB,15,15,212,6-2,Augustana (IL),2/15/1949,8,11,Cincinnati Bengals / 3rd / 67th pick /1971
CIN,1979,10,Chris Bahr,26,K,16,0,170,5-10,Penn St.,2/3/1953,3,3,Cincinnati Bengals / 2nd / 51st pick /1976
CIN,1979,84,Don Bass,23,WR,16,13,219,6-2,Houston,3/11/1956,1,8,Cincinnati Bengals / 3rd / 83rd pick /1978
CIN,1979,34,Louis Breeden,26,LCB,10,10,185,5-11,North Carolina Central,10/26/1953,1,3,Cincinnati Bengals / 7th / 187th pick /1977
CIN,1979,82,Billy Brooks,26,WR,4,4,204,6-3,Oklahoma,7/22/1953,3,2,Cincinnati Bengals / 1st / 11th pick /1976
CIN,1979,21,Jim Browner,24,DB,16,6,209,6-1,Notre Dame,12/4/1955,Rook,3,Cincinnati Bengals / 12th / 304th pick /1979
CIN,1979,79,Ross Browner,25,RDE,16,16,262,6-3,Notre Dame,3/22/1954,1,6,Cincinnati Bengals / 1st / 8th pick /1978
CIN,1979,74,Glenn Bujnoch,26,LG,15,15,260,6-5,Texas A&M,12/20/1953,3,7,Cincinnati Bengals / 2nd / 38th pick /1976
CIN,1979,28,Scott Burk,23,DB,16,0,193,6-2,Oklahoma St.,8/2/1956,Rook,2,Cincinnati Bengals / 9th / 223rd pick /1979
CIN,1979,67,Gary Burley,27,LDE,16,16,272,6-3,Pittsburgh,12/8/1952,3,6,Cincinnati Bengals / 3rd / 55th pick /1975
CIN,1979,58,Blair Bush,23,C,12,12,268,6-3,Washington,11/25/1956,1,6,Cincinnati Bengals / 1st / 16th pick /1978
CIN,1979,50,Glenn Cameron,26,LB,15,4,225,6-2,Florida,2/21/1953,4,2,Cincinnati Bengals / 1st / 14th pick /1975
CIN,1979,24,Marvin Cobb,26,SS,14,13,189,6-0,USC,8/6/1953,4,4,Cincinnati Bengals / 11th / 276th pick /1975
CIN,1979,81,Jim Corbett,24,TE,10,1,218,6-4,Pittsburgh,2/22/1955,2,0,Cincinnati Bengals / 7th / 194th pick /1977
