Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
CLE,1987,61,Mike Baab,28,C,12,12,270,6-4,Texas,12/6/1959,5,8,Cleveland Browns / 5th / 115th pick /1982
CLE,1987,9,Matt Bahr,31,K,3,0,175,5-10,Penn St.,7/6/1956,8,0,Pittsburgh Steelers / 6th / 165th pick /1979
CLE,1987,60,Al Baker,31,DE,12,1,265,6-6,Colorado St.,12/9/1956,9,2,Detroit Lions / 2nd / 40th pick /1978
CLE,1987,25,Vincent Barnett,22,DB,3,0,200,6-0,Arkansas St.,2/19/1965,Rook,0,
CLE,1987,87,Clayton Beauford,24,WR,1,0,190,5-11,Auburn,3/1/1963,Rook,0,Detroit Lions / 10th / 258th pick /1985
CLE,1987,77,Rickey Bolden,26,LT,5,5,274,6-6,SMU,9/8/1961,3,3,Cleveland Browns / 4th / 96th pick /1984
CLE,1987,73,Keith Bosley,24,T,3,2,320,6-5,Eastern Kentucky,6/19/1963,Rook,2,
CLE,1987,36,Stephen Braggs,22,DB,12,0,178,5-9,Texas,8/29/1965,Rook,1,Cleveland Browns / 6th / 165th pick /1987
CLE,1987,94,Robert Brannon,26,DE,1,0,245,6-7,"Kent St.,Arkansas",3/26/1961,Rook,0,
CLE,1987,86,Brian Brennan,25,WR,13,1,178,5-9,Boston Col.,2/15/1962,3,7,Cleveland Browns / 4th / 104th pick /1984
CLE,1987,92,Dave Butler,22,LB,1,0,225,6-4,Notre Dame,7/17/1965,Rook,0,
CLE,1987,44,Earnest Byner,25,RB,12,12,215,5-10,East Carolina,9/15/1962,3,10,Cleveland Browns / 10th / 280th pick /1984
CLE,1987,96,Reggie Camp,26,LDE,6,5,274,6-4,California,2/28/1961,4,3,Cleveland Browns / 3rd / 68th pick /1983
CLE,1987,59,James Capers,28,LB,3,0,232,6-4,Central Michigan,6/14/1959,Rook,0,
CLE,1987,36,Vince Carreker,24,DB,2,0,183,6-0,"Central State (OH),Cincinnati",8/21/1963,Rook,0,
CLE,1987,75,Alex Carter,24,DE,3,1,255,6-3,Tennessee St.,9/6/1963,Rook,1,
CLE,1987,11,Jeff Christensen,27,QB,3,2,202,6-3,Eastern Illinois,1/8/1960,4,2,Cincinnati Bengals / 5th / 137th pick /1983
CLE,1987,91,Sam Clancy,29,LDE,13,8,288,6-7,Pittsburgh,5/29/1958,4,6,Seattle Seahawks / 11th / 284th pick /1982
CLE,1987,47,Mike Crawford,23,RB,3,0,215,5-10,Arizona St.,1/3/1964,Rook,0,Tampa Bay Buccaneers / 12th / 324th pick /1986
CLE,1987,55,Tim Crawford,25,LB,3,3,245,6-4,Texas Tech,12/17/1962,Rook,2,New York Jets / 3rd / 79th pick /1986
CLE,1987,18,Gary Danielson,36,QB,6,1,195,6-2,Purdue,9/10/1951,11,1,
CLE,1987,38,Johnny Davis,31,RB,1,0,235,6-1,Alabama,7/17/1956,9,0,Tampa Bay Buccaneers / 2nd / 30th pick /1978
