Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
CLT,1987,69,Sid Abramowitz,27,T,3,3,280,6-6,"Air Force,Tulsa",5/21/1960,4,1,Baltimore Colts / 5th / 113th pick /1983
CLT,1987,57,Dave Ahrens,29,LB,12,2,238,6-3,Wisconsin,12/5/1958,6,3,St. Louis Cardinals / 6th / 143rd pick /1981
CLT,1987,79,Harvey Armstrong,28,NT,11,1,265,6-3,SMU,12/29/1959,5,2,Philadelphia Eagles / 7th / 190th pick /1982
CLT,1987,26,Pat Ballage,23,DB,3,1,202,6-1,Notre Dame,4/8/1964,1,1,
CLT,1987,37,Chuck Banks,23,RB,3,1,225,6-2,"Ferrum,West Virginia Tech",1/4/1964,1,2,Houston Oilers / 12th / 310th pick /1986
CLT,1987,86,Roy Banks,22,WR,1,0,190,5-10,Eastern Illinois,11/29/1965,Rook,0,Indianapolis Colts / 5th / 114th pick /1987
CLT,1987,81,Pat Beach,28,TE,12,12,247,6-4,Washington St.,12/28/1959,5,2,Baltimore Colts / 6th / 140th pick /1982
CLT,1987,87,Mark Bellini,23,WR,10,1,185,5-11,BYU,1/19/1964,Rook,1,Indianapolis Colts / 7th / 170th pick /1987
CLT,1987,54,Bill Benjamin,29,LB,2,2,226,6-3,San Jose St.,9/14/1958,Rook,2,
CLT,1987,20,Albert Bentley,27,RB,12,4,200,5-11,Miami (FL),8/15/1960,2,9,Indianapolis Colts / 2nd / 35th pick /1984Supp
CLT,1987,4,Dean Biasucci,25,K,12,0,190,6-0,Western Carolina,7/25/1962,3,6,
CLT,1987,50,Duane Bickett,25,ROLB,12,12,251,6-5,USC,12/1/1962,2,16,Indianapolis Colts / 1st / 5th pick /1985
CLT,1987,60,Mark Boggs,23,T,1,0,301,6-5,Ball St.,5/7/1964,Rook,0,
CLT,1987,85,Matt Bouza,28,WR,12,12,211,6-3,California,4/8/1959,6,6,
CLT,1987,84,Mark Boyer,25,TE,7,6,233,6-4,USC,9/16/1962,2,1,Indianapolis Colts / 9th / 229th pick /1985
