Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
CRD,1977,27,Carl Allen,22,DB,14,4,185,6-0,Southern Miss,12/21/1955,Rook,2,Cincinnati Bengals / 11th / 299th pick /1977
CRD,1977,50,Kurt Allerman,22,LB,14,0,222,6-3,Penn St.,8/30/1955,Rook,2,St. Louis Cardinals / 3rd / 78th pick /1977
CRD,1977,68,Henry Allison,30,T,8,0,255,6-3,"Col. of the Sequoias,San Diego St.",2/11/1947,6,3,Philadelphia Eagles / 2nd / 50th pick /1971
CRD,1977,57,Mark Arneson,28,RLB,14,14,220,6-2,Arizona,9/9/1949,5,6,St. Louis Cardinals / 2nd / 32nd pick /1972
CRD,1977,75,Dan Audick,23,G,2,0,252,6-3,Hawaii,11/15/1954,Rook,1,Pittsburgh Steelers / 4th / 106th pick /1977
CRD,1977,25,Jim Bakken,37,K,14,0,200,5-11,Wisconsin,11/2/1940,15,3,Los Angeles Rams / 7th / 88th pick /1962
CRD,1977,54,Tom Banks,29,C,14,14,245,6-1,Auburn,8/20/1948,6,10,St. Louis Cardinals / 8th / 189th pick /1970
CRD,1977,79,Bob Bell,29,LDE,7,5,250,6-4,Cincinnati,1/25/1948,6,2,Detroit Lions / 1st / 21st pick /1971
CRD,1977,58,Tim Black,22,LB,4,0,215,6-2,Baylor,1/3/1955,Rook,1,Detroit Lions / 7th / 179th pick /1977
CRD,1977,30,Bill Bradley,30,DB,4,1,190,5-11,Texas,1/24/1947,8,0,Philadelphia Eagles / 3rd / 69th pick /1969
CRD,1977,51,Tom Brahaney,26,C,14,0,245,6-2,Oklahoma,10/23/1951,4,3,St. Louis Cardinals / 5th / 109th pick /1973
CRD,1977,88,J.V. Cain,26,TE,13,13,224,6-4,Colorado,7/22/1951,3,4,St. Louis Cardinals / 1st / 7th pick /1974
CRD,1977,12,Duane Carrell,28,P,10,0,185,5-10,Florida St.,10/3/1949,3,1,
CRD,1977,26,Rondy Colbert,23,DB,4,0,185,5-9,Lamar,1/7/1954,2,1,New York Giants / 17th / 417th pick /1975
CRD,1977,76,Charles Davis,26,LDT,14,14,269,6-1,TCU,11/17/1951,3,5,Pittsburgh Steelers / 9th / 229th pick /1974
CRD,1977,73,Mike Dawson,24,RDT,14,14,270,6-4,Arizona,10/16/1953,1,5,St. Louis Cardinals / 1st / 22nd pick /1976
CRD,1977,72,Dan Dierdorf,28,RT,12,11,275,6-3,Michigan,6/29/1949,6,10,St. Louis Cardinals / 2nd / 43rd pick /1971
CRD,1977,66,Conrad Dobler,27,RG,14,14,254,6-3,Wyoming,10/1/1950,5,8,St. Louis Cardinals / 5th / 110th pick /1972
CRD,1977,10,Bill Donckers,26,QB,5,0,205,6-1,San Diego St.,1/8/1951,1,0,
CRD,1977,60,Roger Finnie,32,LT,14,14,245,6-3,Florida A&M,11/6/1945,8,6,New York Jets / 14th / 364th pick /1969
CRD,1977,28,Robert Giblin,25,DB,11,0,205,6-2,Houston,11/18/1952,2,2,New York Giants / 4th / 79th pick /1975
CRD,1977,85,Mel Gray,29,WR,14,14,175,5-9,Missouri,9/28/1948,6,10,St. Louis Cardinals / 6th / 147th pick /1971
CRD,1977,84,Ike Harris,25,WR,14,14,210,6-3,Iowa St.,11/27/1952,2,7,St. Louis Cardinals / 4th / 91st pick /1974
CRD,1977,17,Jim Hart,33,QB,14,14,215,6-1,Southern Illinois,4/29/1944,11,12,
