Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
DAL,1995,8,Troy Aikman,29,QB,16,16,219,6-4,"Oklahoma,UCLA",11/21/1966,6,14,Dallas Cowboys / 1st / 1st pick /1989
DAL,1995,73,Larry Allen,24,RG,16,16,335,6-3,"Butte JC (CA),Sonoma St.",11/27/1971,1,14,Dallas Cowboys / 2nd / 46th pick /1994
DAL,1995,23,Robert Bailey,27,DB,9,0,176,5-9,Miami (FL),9/3/1968,4,1,Los Angeles Rams / 4th / 107th pick /1991
DAL,1995,10,Jon Baker,23,K,3,0,185,6-1,Arizona St.,8/13/1972,Rook,0,
DAL,1995,56,Reggie Barnes,26,LB,7,0,235,6-1,Oklahoma,10/23/1969,2,1,
DAL,1995,40,Bill Bates,34,DB,16,0,204,6-1,Tennessee,6/6/1961,12,1,
DAL,1995,68,Michael Batiste,25,G,2,0,315,6-3,Tulane,12/24/1970,Rook,0,
DAL,1995,91,Darren Benson,21,DT,6,0,308,6-7,Trinity Valley CC (TX),8/25/1974,Rook,0,Dallas Cowboys / 3rd / 1st pick /1995Supp
DAL,1995,86,Eric Bjornson,24,TE,14,1,236,6-4,Washington,12/15/1971,Rook,1,Dallas Cowboys / 4th / 110th pick /1995
DAL,1995,18,Chris Boniol,24,K,16,0,169,5-11,Louisiana Tech,12/9/1971,1,5,
DAL,1995,23,Alundis Brice,25,DB,10,1,178,5-10,Mississippi,5/1/1970,Rook,1,Dallas Cowboys / 4th / 129th pick /1995
DAL,1995,43,Greg Briggs,27,DB,11,0,214,6-3,"Copiah-Lincoln CC,Ark-Pine Bluff,Texas Southern",10/19/1968,Rook,1,Dallas Cowboys / 5th / 120th pick /1992
DAL,1995,24,Larry Brown,26,RCB,16,15,186,5-11,TCU,11/30/1969,4,8,Dallas Cowboys / 12th / 320th pick /1991
DAL,1995,96,Shante Carver,24,DE,16,3,250,6-5,Arizona St.,2/12/1971,1,2,Dallas Cowboys / 1st / 23rd pick /1994
DAL,1995,25,Scott Case,33,DB,16,1,188,6-1,"NE Oklahoma A&M,Oklahoma",5/17/1962,11,1,Atlanta Falcons / 2nd / 32nd pick /1984
DAL,1995,87,Billy Davis,23,WR,16,0,205,6-1,Pittsburgh,7/6/1972,Rook,0,
DAL,1995,53,Ray Donaldson,37,C,12,12,311,6-3,Georgia,5/18/1958,15,8,Baltimore Colts / 2nd / 32nd pick /1980
DAL,1995,58,Dixon Edwards,27,LLB,15,15,230,6-1,Michigan St.,3/25/1968,4,5,Dallas Cowboys / 2nd / 37th pick /1991
DAL,1995,54,Anthony Fieldings,24,LB,4,0,237,6-1,Morningside,7/7/1971,Rook,0,
DAL,1995,82,Cory Fleming,24,WR,16,0,216,6-1,Tennessee,3/19/1971,1,1,San Francisco 49ers / 3rd / 87th pick /1994
DAL,1995,17,Jason Garrett,29,QB,1,0,200,6-2,"Princeton,Columbia",3/28/1966,2,0,
DAL,1995,94,Charles Haley,31,RDE,13,11,252,6-5,James Madison,1/6/1964,9,7,San Francisco 49ers / 4th / 96th pick /1986
DAL,1995,54,Darryl Hardy,27,LB,5,0,230,6-2,Tennessee,11/22/1968,Rook,0,Atlanta Falcons / 10th / 270th pick /1992
DAL,1995,69,George Hegamin,22,T,0,0,331,6-7,North Carolina St.,2/14/1973,1,0,Dallas Cowboys / 3rd / 102nd pick /1994
DAL,1995,70,Dale Hellestrae,33,LS,16,0,282,6-5,SMU,7/11/1962,10,1,Buffalo Bills / 4th / 112th pick /1985
DAL,1995,95,Chad Hennings,30,RDT,16,7,287,6-6,Air Force,10/20/1965,3,4,Dallas Cowboys / 11th / 290th pick /1988
DAL,1995,47,Clayton Holmes,26,LCB,8,6,181,5-10,Carson-Newman,8/23/1969,3,3,Dallas Cowboys / 3rd / 58th pick /1992
DAL,1995,88,Michael Irvin,29,WR,16,16,207,6-2,Miami (FL),3/5/1966,7,19,Dallas Cowboys / 1st / 11th pick /1988
DAL,1995,19,John Jett,27,P,16,0,197,6-0,East Carolina,11/11/1968,2,2,
DAL,1995,48,Daryl Johnston,29,FB,16,16,238,6-2,Syracuse,2/10/1966,6,4,Dallas Cowboys / 2nd / 39th pick /1989
DAL,1995,55,Robert Jones,26,MLB,12,12,244,6-3,East Carolina,9/27/1969,3,5,Dallas Cowboys / 1st / 24th pick /1992
DAL,1995,60,Derek Kennard,33,C,9,4,285,6-3,Nevada,9/9/1962,9,3,St. Louis Cardinals / 2nd / 45th pick /1984Supp
DAL,1995,38,David Lang,27,RB,16,0,213,5-11,Northern Arizona,3/28/1968,4,0,Los Angeles Rams / 12th / 328th pick /1990
DAL,1995,78,Leon Lett,27,RDT,12,12,290,6-6,"Hinds CC,Emporia St.",10/12/1968,4,5,Dallas Cowboys / 7th / 173rd pick /1991
DAL,1995,31,Brock Marion,25,FS,16,16,200,5-11,Nevada,6/11/1970,2,8,Dallas Cowboys / 7th / 196th pick /1993
DAL,1995,67,Russell Maryland,26,LDT,13,13,300,6-1,Miami (FL),3/22/1969,4,5,Dallas Cowboys / 1st / 1st pick /1991
DAL,1995,99,Hurvin McCormack,23,DT,15,2,281,6-5,Indiana,4/6/1972,1,2,
DAL,1995,98,Godfrey Myles,27,RLB,16,11,240,6-1,Florida,9/22/1968,4,5,Dallas Cowboys / 3rd / 62nd pick /1991
DAL,1995,61,Nate Newton,34,LG,16,16,318,6-3,Florida A&M,12/20/1961,9,17,
DAL,1995,84,Jay Novacek,33,TE,15,15,234,6-4,Wyoming,10/24/1962,10,8,St. Louis Cardinals / 6th / 158th pick /1985
DAL,1995,36,Dominique Ross,23,RB,1,0,203,6-0,Valdosta St.,1/12/1972,Rook,0,
DAL,1995,21,Deion Sanders,28,LCB,9,9,195,6-1,Florida St.,8/9/1967,6,5,Atlanta Falcons / 1st / 5th pick /1989
DAL,1995,52,Jim Schwantz,25,LB,16,0,240,6-2,Purdue,1/23/1970,3,1,
DAL,1995,59,Darrin Smith,25,RLB,9,9,236,6-1,Miami (FL),4/15/1970,2,4,Dallas Cowboys / 2nd / 54th pick /1993
DAL,1995,22,Emmitt Smith,26,RB,16,16,221,5-9,Florida,5/15/1969,5,20,Dallas Cowboys / 1st / 17th pick /1990
DAL,1995,26,Kevin Smith,25,DB,1,1,183,5-11,Texas A&M,4/7/1970,3,0,Dallas Cowboys / 1st / 17th pick /1992
DAL,1995,65,Ron Stone,24,G,16,1,325,6-5,Boston Col.,7/20/1971,1,2,Dallas Cowboys / 4th / 96th pick /1993
DAL,1995,90,Oscar Sturgis,24,DE,1,0,280,6-5,North Carolina,1/12/1971,Rook,0,Dallas Cowboys / 7th / 236th pick /1995
DAL,1995,92,Tony Tolbert,28,LDE,16,16,268,6-6,Texas-El Paso,12/29/1967,6,7,Dallas Cowboys / 4th / 85th pick /1989
DAL,1995,27,Greg Tremble,23,DB,7,0,188,5-11,Georgia,4/16/1972,Rook,0,
DAL,1995,71,Mark Tuinei,35,LT,16,16,302,6-5,"UCLA,Hawaii",3/31/1960,12,11,
DAL,1995,83,Kendell Watkins,22,TE,16,0,305,6-1,Mississippi St.,3/8/1973,Rook,0,Dallas Cowboys / 2nd / 59th pick /1995
DAL,1995,42,Charlie Williams,23,DB,16,0,204,6-0,Bowling Green,2/2/1972,Rook,1,Dallas Cowboys / 3rd / 92nd pick /1995
DAL,1995,79,Erik Williams,27,RT,15,15,324,6-6,Central State (OH),9/7/1968,4,8,Dallas Cowboys / 3rd / 70th pick /1991
DAL,1995,85,Kevin Williams,24,WR,16,16,195,5-9,Miami (FL),1/25/1971,2,8,Dallas Cowboys / 2nd / 46th pick /1993
DAL,1995,20,Sherman Williams,22,RB,11,0,198,5-8,Alabama,8/13/1973,Rook,2,Dallas Cowboys / 2nd / 46th pick /1995
DAL,1995,11,Wade Wilson,36,QB,7,0,210,6-3,Texas A&M-Commerce,2/1/1959,14,2,Minnesota Vikings / 8th / 210th pick /1981
DAL,1995,28,Darren Woodson,26,SS,16,16,219,6-1,Arizona St.,4/25/1969,3,14,Dallas Cowboys / 2nd / 37th pick /1992
