Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
DET,1992,6,Jim Arnold,31,P,16,0,215,6-2,Vanderbilt,1/31/1961,9,2,Kansas City Chiefs / 5th / 119th pick /1983
DET,1992,93,Jerry Ball,28,NT,12,12,330,6-1,SMU,12/15/1964,5,6,Detroit Lions / 3rd / 63rd pick /1987
DET,1992,40,Reggie Barrett,23,WR,8,6,214,6-3,Texas-El Paso,8/14/1969,1,1,Detroit Lions / 3rd / 58th pick /1991
DET,1992,36,Bennie Blades,26,FS,16,16,221,6-0,Miami (FL),9/3/1966,4,6,Detroit Lions / 1st / 3rd pick /1988
DET,1992,66,Shawn Bouwens,24,LG,16,16,293,6-5,Nebraska Wesleyan,5/25/1968,1,7,New England Patriots / 9th / 226th pick /1990
DET,1992,75,Lomas Brown,29,LT,16,16,282,6-4,Florida,3/30/1963,7,10,Detroit Lions / 1st / 6th pick /1985
DET,1992,68,Leonard Burton,28,C,2,2,275,6-3,"Northwest Mississippi CC,South Carolina",6/18/1964,6,1,Buffalo Bills / 3rd / 77th pick /1986
DET,1992,87,Jeff Campbell,24,WR,12,2,167,5-8,Colorado,3/26/1968,2,1,Detroit Lions / 5th / 118th pick /1990
DET,1992,50,Toby Caston,27,LB,15,0,235,6-1,LSU,7/17/1965,5,1,Houston Oilers / 6th / 159th pick /1987
DET,1992,32,Willie Clay,22,DB,6,0,193,5-10,Georgia Tech,9/5/1970,Rook,0,Detroit Lions / 8th / 221st pick /1992
DET,1992,55,Mike Cofer,32,ROLB,8,8,245,6-5,Tennessee,4/7/1960,9,3,Detroit Lions / 3rd / 67th pick /1983
DET,1992,21,Harry Colon,23,DB,16,0,203,6-0,Missouri,2/14/1969,1,1,New England Patriots / 8th / 196th pick /1991
DET,1992,76,Scott Conover,24,RT,15,15,276,6-4,Purdue,9/27/1968,1,7,Detroit Lions / 5th / 118th pick /1991
DET,1992,39,Ray Crockett,25,LCB,15,15,185,5-10,Baylor,1/5/1967,3,6,Detroit Lions / 4th / 86th pick /1989
DET,1992,67,Ken Dallafior,33,RG,12,12,276,6-4,Minnesota,8/26/1959,7,6,Pittsburgh Steelers / 5th / 124th pick /1982
DET,1992,52,John Derby,24,LB,1,0,232,6-0,Iowa,3/24/1968,Rook,0,
DET,1992,81,Mike Farr,25,WR,14,9,192,5-10,UCLA,8/8/1967,2,1,
DET,1992,97,Darryl Ford,26,LB,1,0,225,6-1,New Mexico St.,6/22/1966,1,0,
DET,1992,98,Dennis Gibson,28,RILB,16,16,240,6-2,Iowa St.,2/8/1964,5,6,Detroit Lions / 8th / 203rd pick /1987
DET,1992,53,Kevin Glover,29,C,7,7,278,6-2,Maryland,6/17/1963,7,3,Detroit Lions / 2nd / 34th pick /1985
DET,1992,23,Mel Gray,31,KR,15,0,167,5-9,"Coffeyville CC,Purdue",3/16/1961,6,2,New Orleans Saints / 2nd / 42nd pick /1984Supp
DET,1992,86,Willie Green,26,WR,15,13,185,6-4,Mississippi,4/2/1966,1,5,Detroit Lions / 8th / 194th pick /1990
DET,1992,4,Jason Hanson,22,K,16,0,190,6-0,Washington St.,6/17/1970,Rook,5,Detroit Lions / 2nd / 56th pick /1992
DET,1992,99,Tracy Hayworth,25,LB,4,0,260,6-3,Tennessee,12/18/1967,2,0,Detroit Lions / 7th / 174th pick /1990
DET,1992,48,Mike Hinnant,26,TE,15,1,268,6-3,Temple,9/8/1966,4,0,Pittsburgh Steelers / 8th / 211th pick /1988
DET,1992,97,Jeff Hunter,26,DE,4,0,286,6-5,Albany State (GA),4/12/1966,2,0,Phoenix Cardinals / 11th / 291st pick /1989
DET,1992,58,George Jamison,30,LOLB,16,16,232,6-1,Cincinnati,9/30/1962,5,6,Detroit Lions / 2nd / 47th pick /1984Supp
DET,1992,24,Mel Jenkins,30,RCB,16,16,172,5-10,Cincinnati,3/16/1962,5,6,
DET,1992,89,Jimmie Johnson,26,TE,16,5,252,6-2,Howard,10/6/1966,3,0,Washington Redskins / 12th / 316th pick /1989
DET,1992,95,Troy Johnson,28,LB,9,0,236,6-2,Oklahoma,11/10/1964,4,1,Chicago Bears / 5th / 133rd pick /1988
DET,1992,51,Andre Jones,23,LB,6,0,245,6-2,Notre Dame,5/15/1969,Rook,0,Pittsburgh Steelers / 7th / 185th pick /1991
