No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
76,Oday Aboushi,28,G,7,2,308,6-5,Virginia,6/5/1991,5,1,New York Jets / 5th / 141st pick /2013,"$1,000,000",DET,2019,2025-08-15 13:59:09
39,Jamal Agnew,24,DB,13,0,190,5-10,San Diego,4/3/1995,2,3,Detroit Lions / 5th / 165th pick /2017,"$645,000",DET,2019,2025-08-15 13:59:09
80,Danny Amendola,34,WR,15,10,185,5-11,Texas Tech,11/2/1985,10,5,,"$4,250,000",DET,2019,2025-08-15 13:59:09
26,C.J. Anderson,28,RB,2,0,225,5-8,"Laney,California",2/10/1991,6,0,,"$1,000,000",DET,2019,2025-08-15 13:59:09
99,John Atkins,27,DT,12,6,320,6-3,Georgia,12/21/1992,1,3,,"$495,000",DET,2019,2025-08-15 13:59:09
46,Nick Bawden,23,RB,10,2,245,6-2,San Diego St.,6/22/1996,Rook,0,Detroit Lions / 7th / 237th pick /2018,"$495,000",DET,2019,2025-08-15 13:59:09
63,Beau Benzschawel,24,G,2,0,300,6-6,Wisconsin,9/10/1995,Rook,0,,"$495,000",DET,2019,2025-08-15 13:59:09
10,David Blough,24,QB,5,5,207,6-1,Purdue,7/31/1995,Rook,-1,,,DET,2019,2025-08-15 13:59:09
94,Austin Bryant,23,DE,4,0,250,6-5,Clemson,11/12/1996,Rook,0,Detroit Lions / 4th / 117th pick /2019,"$495,000",DET,2019,2025-08-15 13:59:09
53,Jason Cabinda,23,LB,4,0,235,6-1,Penn St.,3/17/1996,1,0,,,DET,2019,2025-08-15 13:59:09
34,Tra Carson,27,RB,1,1,228,5-11,Texas A&M,10/24/1992,1,0,,,DET,2019,2025-08-15 13:59:09
27,Justin Coleman,26,RCB,16,11,190,5-11,Tennessee,3/27/1993,4,4,,"$805,000",DET,2019,2025-08-15 13:59:09
65,Tyrell Crosby,24,RT,16,5,310,6-4,Oregon,9/5/1995,1,3,Detroit Lions / 5th / 153rd pick /2018,"$570,000",DET,2019,2025-08-15 13:59:09
66,Joe Dahl,26,LG,13,13,310,6-4,Washington St.,4/9/1993,3,6,Detroit Lions / 5th / 151st pick /2016,"$720,000",DET,2019,2025-08-15 13:59:09
96,Mike Daniels,30,DT,9,2,310,6-0,Iowa,5/5/1989,7,1,Green Bay Packers / 4th / 132nd pick /2012,"$7,800,000",DET,2019,2025-08-15 13:59:09
40,Jarrad Davis,25,MLB,11,11,238,6-1,Florida,11/16/1994,2,5,Detroit Lions / 1st / 21st pick /2017,"$1,462,198",DET,2019,2025-08-15 13:59:09
68,Taylor Decker,26,LT,15,15,324,6-7,Ohio St.,8/23/1993,3,6,Detroit Lions / 1st / 16th pick /2016,"$1,945,498",DET,2019,2025-08-15 13:59:09
28,Quandre Diggs,26,SS,5,5,197,5-9,Texas,1/22/1993,4,1,Detroit Lions / 6th / 200th pick /2015,"$2,657,000",DET,2019,2025-08-15 13:59:09
2,Jeff Driskel,26,QB,3,3,231,6-4,"Florida,Louisiana Tech",4/23/1993,1,3,San Francisco 49ers / 6th / 207th pick /2016,,DET,2019,2025-08-15 13:59:09
90,Trey Flowers,26,LDE,15,15,265,6-2,Arkansas,8/16/1993,4,7,New England Patriots / 4th / 101st pick /2015,"$805,000",DET,2019,2025-08-15 13:59:09
38,Mike Ford,24,DB,15,2,199,6-0,SE Missouri St.,8/4/1995,1,1,,"$570,000",DET,2019,2025-08-15 13:59:09
14,Travis Fulgham,24,WR,3,0,215,6-2,Old Dominion,9/13/1995,Rook,0,Detroit Lions / 6th / 184th pick /2019,"$495,000",DET,2019,2025-08-15 13:59:09
60,Graham Glasgow,27,RG,15,15,315,6-6,Michigan,7/19/1992,3,6,Detroit Lions / 3rd / 95th pick /2016,"$2,025,000",DET,2019,2025-08-15 13:59:09
19,Kenny Golladay,26,WR,16,16,213,6-4,Northern Illinois,11/3/1993,2,9,Detroit Lions / 3rd / 96th pick /2017,"$676,000",DET,2019,2025-08-15 13:59:09
17,Marvin Hall,26,WR,9,0,190,5-10,Washington,4/10/1993,2,2,,,DET,2019,2025-08-15 13:59:09
93,Da'Shawn Hand,24,DE,3,2,302,6-3,Alabama,11/14/1995,1,1,Detroit Lions / 4th / 114th pick /2018,"$570,000",DET,2019,2025-08-15 13:59:09
