Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
GNB,1984,59,John Anderson,28,LOLB,16,16,226,6-3,Michigan,2/14/1956,6,10,Green Bay Packers / 1st / 26th pick /1978
GNB,1984,93,Robert Brown,24,DE,16,0,268,6-2,"Chowan,Virginia Tech",5/21/1960,2,3,Green Bay Packers / 4th / 98th pick /1982
GNB,1984,19,Rich Campbell,26,QB,3,0,224,6-4,California,12/21/1958,3,1,Green Bay Packers / 1st / 6th pick /1981
GNB,1984,58,Mark Cannon,22,C,16,0,258,6-3,Texas-Arlington,6/14/1962,Rook,1,Green Bay Packers / 11th / 294th pick /1984
GNB,1984,76,Alphonso Carreker,22,LDE,14,14,268,6-6,Florida St.,5/25/1962,Rook,7,Green Bay Packers / 1st / 12th pick /1984
GNB,1984,88,Ron Cassidy,27,WR,15,0,184,6-0,Utah St.,7/23/1957,5,0,Green Bay Packers / 8th / 193rd pick /1979
GNB,1984,89,Henry Childs,33,TE,3,2,223,6-2,Kansas St.,4/16/1951,10,0,Atlanta Falcons / 5th / 109th pick /1974
GNB,1984,33,Jessie Clark,24,FB,11,10,231,6-0,"Arkansas,Louisiana Tech",1/3/1960,1,5,Green Bay Packers / 7th / 188th pick /1983
GNB,1984,82,Paul Coffman,28,TE,14,13,222,6-3,Kansas St.,3/29/1956,6,6,
GNB,1984,21,Ray Crouse,25,RB,16,0,214,5-11,UNLV,3/16/1959,Rook,2,
GNB,1984,52,George Cumby,28,RILB,16,16,220,6-0,Oklahoma,7/5/1956,4,9,Green Bay Packers / 1st / 26th pick /1980
GNB,1984,10,Al Del Greco,22,K,9,0,200,5-10,Auburn,3/2/1962,Rook,3,
GNB,1984,98,Tony DeLuca,24,NT,1,0,250,6-4,Rhode Island,11/16/1960,Rook,0,
GNB,1984,12,Lynn Dickey,35,QB,15,15,214,6-3,Kansas St.,10/19/1949,13,12,Houston Oilers / 3rd / 56th pick /1971
GNB,1984,99,John Dorsey,24,LB,16,0,240,6-2,Connecticut,8/31/1960,Rook,1,Green Bay Packers / 4th / 99th pick /1984
GNB,1984,53,Mike Douglass,29,ROLB,16,16,220,6-0,"Arizona St.,San Diego St.",3/15/1955,6,10,Green Bay Packers / 5th / 116th pick /1978
GNB,1984,61,Dave Drechsler,24,G,16,3,264,6-3,North Carolina,7/18/1960,1,3,Green Bay Packers / 2nd / 48th pick /1983
GNB,1984,31,Gerry Ellis,27,RB/FB,16,16,221,5-11,Missouri,11/12/1957,4,8,Los Angeles Rams / 7th / 192nd pick /1980
GNB,1984,85,Phil Epps,26,WR,16,4,165,5-10,TCU,11/11/1958,2,4,Green Bay Packers / 12th / 321st pick /1982
GNB,1984,41,Tom Flynn,22,FS,15,15,195,6-0,Pittsburgh,3/24/1962,Rook,10,Green Bay Packers / 5th / 126th pick /1984
GNB,1984,11,Eddie Garcia,25,K,7,0,178,5-8,SMU,4/15/1959,1,-1,Green Bay Packers / 10th / 264th pick /1982
GNB,1984,65,Ron Hallstrom,25,RG,16,13,300,6-6,"Iowa Central,Iowa",6/11/1959,2,7,Green Bay Packers / 1st / 22nd pick /1982
GNB,1984,27,Gary Hayes,27,DB,16,0,180,5-10,Fresno St.,8/19/1957,1,1,
GNB,1984,78,Gary Hoffman,23,T,1,0,285,6-7,Santa Clara,9/28/1961,Rook,0,Green Bay Packers / 10th / 267th pick /1984
GNB,1984,38,Estus Hood,29,DB,16,0,183,5-11,Illinois St.,11/14/1955,6,1,Green Bay Packers / 3rd / 62nd pick /1978
GNB,1984,25,Harlan Huckleby,27,RB,16,0,199,6-1,Michigan,12/30/1957,4,2,New Orleans Saints / 5th / 120th pick /1979
GNB,1984,74,Tim Huffman,25,LG,16,15,277,6-5,Notre Dame,8/31/1959,3,8,Green Bay Packers / 9th / 227th pick /1981
GNB,1984,79,Donnie Humphrey,23,RDE,16,16,282,6-3,Auburn,4/20/1961,Rook,8,Green Bay Packers / 3rd / 72nd pick /1984
