Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
KAN,2003,8,Morten Andersen,43,K,16,0,217,6-2,Michigan St.,8/19/1960,21,3,New Orleans Saints / 4th / 86th pick /1982
KAN,2003,45,Bill Baber,24,TE,16,0,255,6-3,Virginia,1/17/1979,2,0,Kansas City Chiefs / 5th / 141st pick /2001
KAN,2003,9,Jason Baker,25,P,16,0,205,6-2,Iowa,5/17/1978,2,1,
KAN,2003,59,Shawn Barber,28,RLB,16,16,240,6-2,Richmond,1/14/1975,5,7,Washington Redskins / 4th / 113th pick /1998
KAN,2003,24,William Bartee,26,DB,11,1,200,6-1,"Butler (KS),Oklahoma",6/25/1977,3,1,Kansas City Chiefs / 2nd / 54th pick /2000
KAN,2003,26,Julian Battle,22,DB,14,0,205,6-2,Tennessee,7/11/1981,Rook,1,Kansas City Chiefs / 3rd / 92nd pick /2003
KAN,2003,56,Monty Beisel,25,LB,12,0,246,6-4,Kansas St.,8/20/1978,2,1,Kansas City Chiefs / 4th / 107th pick /2001
KAN,2003,23,Derrick Blaylock,24,RB,16,0,210,5-9,S.F. Austin,8/23/1979,1,3,Kansas City Chiefs / 5th / 150th pick /2001
KAN,2003,85,Marc Boerigter,25,WR,15,0,220,6-3,Hastings,5/4/1978,1,2,
KAN,2003,93,John Browning,30,LDT,16,16,297,6-4,West Virginia,9/30/1973,7,7,Kansas City Chiefs / 3rd / 68th pick /1996
KAN,2003,52,Quinton Caver,25,LB,12,0,241,6-4,Arkansas,8/22/1978,2,1,Philadelphia Eagles / 2nd / 55th pick /2001
KAN,2003,15,Todd Collins,32,QB,5,0,223,6-4,Michigan,11/5/1971,8,0,Buffalo Bills / 2nd / 45th pick /1995
KAN,2003,92,Eric Downing,25,DT,14,0,315,6-3,Syracuse,9/16/1978,2,1,Kansas City Chiefs / 3rd / 75th pick /2001
KAN,2003,89,Jason Dunn,30,TE,16,4,276,6-6,Eastern Kentucky,11/15/1973,7,0,Philadelphia Eagles / 2nd / 54th pick /1996
KAN,2003,43,Omar Easy,26,FB,15,0,245,6-2,Penn St.,10/29/1977,1,0,Kansas City Chiefs / 4th / 107th pick /2002
KAN,2003,38,Clint Finley,26,DB,3,0,210,6-0,Nebraska,3/27/1977,1,0,
KAN,2003,71,Eddie Freeman,25,DE,5,0,315,6-5,Ala-Birmingham,1/4/1978,1,0,Kansas City Chiefs / 2nd / 43rd pick /2002
KAN,2003,51,Scott Fujita,24,LLB,16,16,250,6-5,California,4/28/1979,1,7,Kansas City Chiefs / 5th / 143rd pick /2002
KAN,2003,83,Kendall Gammon,35,LS,16,0,255,6-4,Pittsburg St.,10/23/1968,11,1,Pittsburgh Steelers / 11th / 291st pick /1992
KAN,2003,88,Tony Gonzalez,27,TE,16,16,247,6-5,California,2/27/1976,6,11,Kansas City Chiefs / 1st / 13th pick /1997
KAN,2003,10,Trent Green,33,QB,16,16,217,6-3,Indiana,7/9/1970,6,18,San Diego Chargers / 8th / 222nd pick /1993
KAN,2003,82,Dante Hall,25,WR,16,2,187,5-8,Texas A&M,9/20/1978,3,10,Kansas City Chiefs / 5th / 153rd pick /2000
KAN,2003,40,Corey Harris,27,DB,3,0,187,5-10,"The Citadel,North Alabama",11/28/1976,4,0,
KAN,2003,42,Shaunard Harts,25,DB,16,0,207,6-0,Boise St.,8/4/1978,2,2,Kansas City Chiefs / 7th / 212th pick /2001
KAN,2003,98,Eric Hicks,27,LDE,16,16,280,6-6,Maryland,6/17/1976,5,7,
KAN,2003,99,Vonnie Holliday,28,RDE,16,16,288,6-5,North Carolina,12/11/1975,5,7,Green Bay Packers / 1st / 19th pick /1998
