Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
MIA,1980,43,Jeff Allen,23,DB,16,0,190,5-11,UC Davis,7/18/1957,Rook,1,Miami Dolphins / 8th / 212th pick /1980
MIA,1980,88,Elmer Bailey,23,WR,14,0,196,6-0,"Lincoln (MO),Minnesota",12/13/1957,Rook,1,Miami Dolphins / 4th / 100th pick /1980
MIA,1980,78,Carl Barisich,29,NT,15,0,258,6-4,Princeton,7/12/1951,7,2,Cleveland Browns / 11th / 281st pick /1973
MIA,1980,70,Bill Barnett,24,DE,16,0,256,6-4,Nebraska,5/10/1956,Rook,1,Miami Dolphins / 3rd / 75th pick /1980
MIA,1980,73,Bob Baumhower,25,NT,16,16,261,6-5,Alabama,8/4/1955,3,9,Miami Dolphins / 2nd / 40th pick /1977
MIA,1980,44,Doug Beaudoin,26,DB,10,0,193,6-1,Minnesota,5/15/1954,4,1,New England Patriots / 9th / 243rd pick /1976
MIA,1980,34,Woody Bennett,25,RB,4,3,227,6-2,Miami (FL),3/24/1955,1,1,
MIA,1980,46,Don Bessillieu,24,FS,16,13,200,6-1,Georgia Tech,5/4/1956,1,7,Miami Dolphins / 5th / 134th pick /1979
MIA,1980,75,Doug Betters,24,RDE,16,16,262,6-7,"Montana,Nevada",6/11/1956,2,8,Miami Dolphins / 6th / 163rd pick /1978
MIA,1980,47,Glenn Blackwood,23,SS,16,15,187,6-0,Texas,2/23/1957,1,8,Miami Dolphins / 8th / 215th pick /1979
MIA,1980,58,Kim Bokamper,26,LOLB,16,16,245,6-6,"Concordia-Moorhead (MN),San Jose St.",9/25/1954,3,9,Miami Dolphins / 1st / 19th pick /1976
MIA,1980,81,Jimmy Cefalo,24,WR,16,4,190,5-11,Penn St.,10/6/1956,2,2,Miami Dolphins / 3rd / 81st pick /1978
MIA,1980,33,William Cesare,25,DB,2,0,190,5-11,"Memphis,Miami (FL)",6/2/1955,2,0,
MIA,1980,51,Rusty Chambers,27,LILB,16,12,218,6-1,Tulane,11/10/1953,5,6,
MIA,1980,83,Vern Den Herder,32,LDE,16,16,250,6-6,Central College (IA),11/28/1948,9,8,Miami Dolphins / 9th / 230th pick /1971
MIA,1980,63,Mark Dennard,25,C,16,16,253,6-1,Texas A&M,11/2/1955,1,7,Miami Dolphins / 10th / 274th pick /1978
MIA,1980,61,Thom Dornbrook,24,G,4,0,240,6-2,Kentucky,12/1/1956,1,0,
MIA,1980,77,A.J. Duhe,25,RILB,16,15,247,6-4,LSU,11/27/1955,3,8,Miami Dolphins / 1st / 13th pick /1977
MIA,1980,25,Tim Foley,32,DB,7,4,194,6-0,Purdue,1/22/1948,10,2,Miami Dolphins / 3rd / 55th pick /1970
MIA,1980,35,Nick Giaquinto,25,RB,16,0,205,5-11,"Bridgeport,Connecticut",4/4/1955,1,2,
MIA,1980,79,Jon Giesler,24,LT,10,10,262,6-5,Michigan,12/23/1956,1,4,Miami Dolphins / 1st / 24th pick /1979
MIA,1980,50,Larry Gordon,26,ROLB,15,14,230,6-4,Arizona St.,7/8/1954,4,8,Miami Dolphins / 1st / 17th pick /1976
MIA,1980,74,Cleveland Green,23,T,12,3,265,6-3,Southern,9/11/1957,1,2,
MIA,1980,12,Bob Griese,35,QB,5,3,190,6-1,Purdue,2/3/1945,13,2,Miami Dolphins / 1st / 4th pick /1967
MIA,1980,84,Bruce Hardy,24,WR,16,12,235,6-5,Arizona St.,6/1/1956,2,1,Miami Dolphins / 9th / 247th pick /1978
MIA,1980,82,Duriel Harris,26,WR,12,3,179,5-11,New Mexico St.,11/27/1954,4,5,Miami Dolphins / 3rd / 80th pick /1976
MIA,1980,36,Steve Howell,24,FB,16,8,227,6-2,Baylor,12/20/1956,1,2,Miami Dolphins / 4th / 107th pick /1979
