Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
MIN,1989,68,John Adickes,25,C,1,0,264,6-3,Baylor,6/29/1964,2,0,Chicago Bears / 6th / 154th pick /1987
MIN,1989,46,Alfred Anderson,28,FB,11,8,219,6-1,Baylor,8/4/1961,5,3,Minnesota Vikings / 3rd / 67th pick /1984
MIN,1989,32,Rick Bayless,25,RB,1,0,202,6-0,Iowa,10/15/1964,Rook,0,
MIN,1989,50,Ray Berry,26,LLB,16,10,227,6-2,Baylor,10/28/1963,2,5,Minnesota Vikings / 2nd / 44th pick /1987
MIN,1989,53,David Braxton,24,LB,3,0,240,6-2,Wake Forest,5/25/1965,Rook,0,Minnesota Vikings / 2nd / 52nd pick /1989
MIN,1989,44,Michael Brim,23,DB,7,0,192,6-0,Virginia Union,1/23/1966,1,0,Phoenix Cardinals / 4th / 95th pick /1988
MIN,1989,47,Joey Browner,29,SS,16,16,221,6-2,USC,5/15/1960,6,13,Minnesota Vikings / 1st / 19th pick /1983
MIN,1989,81,Anthony Carter,29,WR,16,16,168,5-11,Michigan,9/17/1960,4,9,Miami Dolphins / 12th / 334th pick /1983
MIN,1989,33,Jessie Clark,29,RB,3,0,231,6-0,"Arkansas,Louisiana Tech",1/3/1960,6,0,Green Bay Packers / 7th / 188th pick /1983
MIN,1989,71,Ken Clarke,33,NT,11,0,268,6-2,Syracuse,8/28/1956,11,1,
MIN,1989,49,Travis Curtis,24,FS,16,11,180,5-10,West Virginia,9/27/1965,2,5,
MIN,1989,56,Chris Doleman,28,RDE,16,16,289,6-5,Pittsburgh,10/16/1961,4,17,Minnesota Vikings / 1st / 4th pick /1985
MIN,1989,42,D.J. Dozier,24,RB,14,6,200,6-0,Penn St.,9/21/1965,2,3,Minnesota Vikings / 1st / 14th pick /1987
MIN,1989,59,Mark Dusbabek,25,LB,16,1,232,6-3,Minnesota,6/23/1964,Rook,2,Houston Oilers / 4th / 105th pick /1987
MIN,1989,27,Brad Edwards,23,DB,9,1,208,6-2,South Carolina,3/22/1966,1,1,Minnesota Vikings / 2nd / 54th pick /1988
MIN,1989,31,Rick Fenney,25,FB,16,8,235,6-1,Washington,12/7/1964,2,6,Minnesota Vikings / 8th / 211th pick /1987
MIN,1989,62,Chris Foote,33,C,16,0,256,6-3,USC,12/2/1956,9,1,Baltimore Colts / 6th / 144th pick /1980
MIN,1989,29,Darrell Fullington,25,DB,16,2,197,6-1,Miami (FL),4/17/1964,1,2,Minnesota Vikings / 5th / 124th pick /1988
MIN,1989,90,John Galvin,24,LB,11,0,226,6-3,Boston Col.,7/9/1965,1,1,New York Jets / 11th / 287th pick /1988
MIN,1989,16,Rich Gannon,24,QB,0,0,210,6-3,Delaware,12/20/1965,2,0,New England Patriots / 4th / 98th pick /1987
MIN,1989,2,Teddy Garcia,25,K,3,0,187,5-10,La-Monroe,6/4/1964,1,-1,New England Patriots / 4th / 100th pick /1988
MIN,1989,80,Jim Gustafson,28,WR,16,0,177,6-1,St. Thomas,3/16/1961,3,1,
MIN,1989,74,Brian Habib,25,T,16,0,299,6-7,Washington,12/2/1964,Rook,1,Minnesota Vikings / 10th / 264th pick /1988
MIN,1989,82,Carl Hilton,25,TE,1,0,232,6-3,Houston,2/28/1964,3,0,Minnesota Vikings / 7th / 179th pick /1986
MIN,1989,30,Issiac Holt,27,DB,5,1,200,6-2,Alcorn St.,10/4/1962,4,1,Minnesota Vikings / 2nd / 30th pick /1985
MIN,1989,51,David Howard,28,LB,5,3,232,6-2,"Oregon St.,Long Beach St.",12/8/1961,4,1,Minnesota Vikings / 3rd / 67th pick /1984Supp
MIN,1989,72,Dave Huffman,32,G,16,3,280,6-6,Notre Dame,4/4/1957,10,2,Minnesota Vikings / 2nd / 43rd pick /1979
MIN,1989,86,Darryl Ingram,23,TE,16,2,240,6-3,California,5/2/1966,Rook,0,Minnesota Vikings / 4th / 108th pick /1989
MIN,1989,76,Tim Irwin,31,RT,16,16,300,6-7,Tennessee,12/13/1958,8,7,Minnesota Vikings / 3rd / 74th pick /1981
MIN,1989,22,Ken Johnson,23,DB,1,0,203,6-2,Florida A&M,9/14/1966,Rook,0,
MIN,1989,84,Hassan Jones,25,WR,16,13,198,6-0,Florida St.,7/2/1964,3,6,Minnesota Vikings / 5th / 120th pick /1986
MIN,1989,83,Steve Jordan,28,TE,16,15,236,6-3,Brown,1/10/1961,7,4,Minnesota Vikings / 7th / 179th pick /1982
MIN,1989,69,Todd Kalis,24,RG,16,16,296,6-6,Arizona St.,5/10/1965,1,7,Minnesota Vikings / 4th / 108th pick /1988
MIN,1989,3,Rich Karlis,30,K,13,0,180,6-0,Cincinnati,5/23/1959,7,4,
MIN,1989,9,Tommy Kramer,34,QB,8,4,200,6-2,Rice,3/7/1955,12,3,Minnesota Vikings / 1st / 27th pick /1977
MIN,1989,39,Carl Lee,28,RCB,16,16,185,5-11,Marshall,2/6/1961,6,11,Minnesota Vikings / 7th / 186th pick /1983
MIN,1989,87,Leo Lewis,33,WR,16,0,170,5-8,Missouri,9/17/1956,8,1,
MIN,1989,63,Kirk Lowdermilk,26,C,16,16,269,6-3,Ohio St.,4/10/1963,4,7,Minnesota Vikings / 3rd / 59th pick /1985
MIN,1989,79,Doug Martin,32,DE,7,1,260,6-3,Washington,5/22/1957,9,1,Minnesota Vikings / 1st / 9th pick /1980
MIN,1989,64,Randall McDaniel,25,LG,14,13,276,6-3,Arizona St.,12/19/1964,1,7,Minnesota Vikings / 1st / 19th pick /1988
MIN,1989,26,Audray McMillian,27,DB,16,2,190,5-11,Houston,8/13/1962,4,2,New England Patriots / 3rd / 84th pick /1985
MIN,1989,57,Mike Merriweather,29,RLB,15,15,230,6-2,Pacific,11/26/1960,7,8,Pittsburgh Steelers / 3rd / 70th pick /1982
MIN,1989,75,Keith Millard,27,RDT,16,16,260,6-6,Washington St.,3/18/1962,4,17,Minnesota Vikings / 1st / 13th pick /1984
MIN,1989,48,Najee Mustafaa,25,LCB,16,16,190,6-1,Georgia Tech,6/20/1964,2,8,Minnesota Vikings / 4th / 100th pick /1987
MIN,1989,20,Darrin Nelson,30,RB,5,0,184,5-9,Stanford,1/2/1959,7,1,Minnesota Vikings / 1st / 7th pick /1982
MIN,1989,96,Tim Newton,26,NT,9,2,280,6-0,Florida,3/23/1963,4,2,Minnesota Vikings / 6th / 164th pick /1985
MIN,1989,99,Al Noga,24,LDE,16,15,265,6-1,Hawaii,9/16/1965,1,7,Minnesota Vikings / 3rd / 71st pick /1988
MIN,1989,85,Brent Novoselsky,23,TE,15,3,232,6-2,Pennsylvania,1/8/1966,1,0,
MIN,1989,36,Allen Rice,27,RB,4,0,203,5-10,Baylor,4/5/1962,5,0,Minnesota Vikings / 5th / 140th pick /1984
MIN,1989,60,Mark Rodenhauser,28,LS,16,0,270,6-5,Illinois St.,6/1/1961,2,1,
MIN,1989,13,Bucky Scribner,29,P,16,0,207,6-0,Kansas,7/11/1960,6,2,Green Bay Packers / 11th / 299th pick /1983
MIN,1989,25,Daryl Smith,26,DB,5,1,185,5-9,North Alabama,5/8/1963,2,1,Denver Broncos / 9th / 249th pick /1985
MIN,1989,54,Jesse Solomon,26,LB,4,1,240,6-0,Florida St.,11/4/1963,3,1,Minnesota Vikings / 12th / 318th pick /1986
MIN,1989,94,Thomas Strauthers,28,NT,12,0,262,6-4,Jackson St.,4/6/1961,6,1,Philadelphia Eagles / 10th / 258th pick /1983
MIN,1989,55,Scott Studwell,35,MLB,16,16,228,6-2,Illinois,8/27/1954,12,7,Minnesota Vikings / 9th / 250th pick /1977
MIN,1989,97,Henry Thomas,24,LDT,14,14,277,6-2,LSU,1/12/1965,2,7,Minnesota Vikings / 3rd / 72nd pick /1987
MIN,1989,34,Herschel Walker,27,RB,11,9,225,6-1,Georgia,3/3/1962,3,6,Dallas Cowboys / 5th / 114th pick /1985
MIN,1989,11,Wade Wilson,30,QB,14,12,210,6-3,Texas A&M-Commerce,2/1/1959,8,8,Minnesota Vikings / 8th / 210th pick /1981
MIN,1989,65,Gary Zimmerman,28,LT,16,16,294,6-6,Oregon,12/13/1961,3,9,New York Giants / 1st / 3rd pick /1984Supp
