Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
NOR,2002,50,James Allen,23,LB,14,1,245,6-2,Oregon St.,11/11/1979,Rook,2,New Orleans Saints / 3rd / 82nd pick /2002
NOR,2002,20,Jay Bellamy,30,SS,16,16,200,5-11,Rutgers,7/8/1972,8,7,
NOR,2002,65,LeCharles Bentley,23,RG,14,14,309,6-2,Ohio St.,11/7/1979,Rook,7,New Orleans Saints / 2nd / 44th pick /2002
NOR,2002,2,Aaron Brooks,26,QB,16,16,205,6-4,Virginia,3/24/1976,2,17,Green Bay Packers / 4th / 131st pick /1999
NOR,2002,35,Fakhir Brown,25,DB,12,0,192,5-11,Grambling St.,9/21/1977,3,1,
NOR,2002,3,John Carney,38,K,16,0,185,5-11,Notre Dame,4/20/1964,14,5,
NOR,2002,55,Travis Carroll,24,LB,6,0,240,6-4,"Alabama,Florida",10/26/1978,Rook,0,
NOR,2002,21,Dale Carter,33,LCB,7,7,194,6-1,Tennessee,11/28/1969,10,3,Kansas City Chiefs / 1st / 20th pick /1992
NOR,2002,92,Martin Chase,28,DT,13,1,310,6-2,Oklahoma,12/19/1974,3,2,Baltimore Ravens / 5th / 124th pick /1998
NOR,2002,56,Charlie Clemons,30,MLB,16,15,250,6-2,Georgia,7/4/1972,5,7,
NOR,2002,51,Bryan Cox,34,LB,9,1,250,6-4,Western Illinois,2/17/1968,11,1,Miami Dolphins / 5th / 113th pick /1991
NOR,2002,43,Keyuo Craver,22,DB,10,1,195,5-10,Nebraska,8/22/1980,Rook,1,New Orleans Saints / 4th / 125th pick /2002
NOR,2002,12,Jake Delhomme,27,QB,4,0,215,6-2,Louisiana,1/10/1975,3,0,
NOR,2002,48,James Fenderson,26,RB,16,1,200,5-9,Hawaii,10/24/1976,1,1,
NOR,2002,71,Spencer Folau,29,RT,16,16,315,6-5,Idaho,4/5/1973,5,8,
NOR,2002,62,Jerry Fontenot,36,C,16,16,300,6-3,Texas A&M,11/21/1966,13,8,Chicago Bears / 3rd / 65th pick /1989
NOR,2002,37,Steve Gleason,25,DB,14,0,212,5-11,Washington St.,3/19/1977,2,1,
NOR,2002,4,Toby Gowin,27,P,15,0,167,5-10,North Texas,3/30/1975,5,2,
