Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
NWE,1998,78,Bruce Armstrong,33,LT,16,16,295,6-4,Louisville,9/7/1965,11,8,New England Patriots / 1st / 23rd pick /1987
NWE,1998,86,Mike Bartrum,28,LS,16,0,245,6-4,Marshall,6/23/1970,5,0,
NWE,1998,11,Drew Bledsoe,26,QB,14,14,238,6-5,Washington St.,2/14/1972,5,12,New England Patriots / 1st / 1st pick /1993
NWE,1998,82,Vincent Brisby,27,WR,6,1,190,6-3,La-Monroe,1/25/1971,5,1,New England Patriots / 2nd / 56th pick /1993
NWE,1998,80,Troy Brown,27,WR,10,0,196,5-10,Marshall,7/2/1971,5,3,New England Patriots / 8th / 198th pick /1993
NWE,1998,54,Tedy Bruschi,25,RLB,16,7,247,6-1,Arizona,6/9/1973,2,4,New England Patriots / 3rd / 86th pick /1996
NWE,1998,26,Chris Canty,22,RCB,16,9,185,5-9,Kansas St.,3/30/1976,1,4,New England Patriots / 1st / 29th pick /1997
NWE,1998,42,Chris Carter,24,DB,16,0,201,6-1,Texas,9/27/1974,1,1,New England Patriots / 3rd / 89th pick /1997
NWE,1998,30,Tony Carter,26,FB,11,7,230,6-0,Minnesota,8/23/1972,4,2,
NWE,1998,32,Willie Clay,28,FS,16,16,193,5-10,Georgia Tech,9/5/1970,6,6,Detroit Lions / 8th / 221st pick /1992
NWE,1998,87,Ben Coates,29,TE,14,14,245,6-5,Livingstone,8/16/1969,7,6,New England Patriots / 5th / 124th pick /1991
NWE,1998,59,Todd Collins,28,RLB,12,10,248,6-2,"Georgia,Tennessee,Carson-Newman",5/27/1970,6,4,New England Patriots / 3rd / 64th pick /1992
NWE,1998,92,Ferric Collons,29,LDE,14,13,290,6-7,California,12/4/1969,3,5,
NWE,1998,45,Dana Cottrell,24,LB,2,0,234,6-3,Syracuse,1/11/1974,Rook,0,
NWE,1998,99,Vernon Crawford,24,LB,16,1,245,6-4,Florida St.,6/25/1974,1,1,New England Patriots / 5th / 159th pick /1997
NWE,1998,29,Derrick Cullors,26,RB,16,0,195,6-0,"TCU,Murray St.",12/26/1972,1,2,
NWE,1998,61,Damon Denson,23,G,11,4,305,6-4,Michigan,2/8/1975,1,3,New England Patriots / 4th / 97th pick /1997
NWE,1998,90,Chad Eaton,26,LDT,15,14,303,6-5,Washington St.,4/6/1972,2,7,Arizona Cardinals / 7th / 241st pick /1995
NWE,1998,47,Robert Edwards,24,RB,16,15,218,5-11,Georgia,10/2/1974,Rook,11,New England Patriots / 1st / 18th pick /1998
NWE,1998,17,Henry Ellard,37,WR,5,0,180,5-11,Fresno St.,7/21/1961,15,1,Los Angeles Rams / 2nd / 32nd pick /1983
NWE,1998,66,Ed Ellis,23,T,7,0,325,6-5,Buffalo,10/13/1975,1,1,New England Patriots / 4th / 125th pick /1997
NWE,1998,37,Chris Floyd,23,RB,16,2,231,6-2,Michigan,6/23/1975,Rook,0,New England Patriots / 3rd / 81st pick /1998
NWE,1998,88,Terry Glenn,24,WR,10,9,195,5-11,Ohio St.,7/23/1974,2,7,New England Patriots / 1st / 7th pick /1996
NWE,1998,63,Heath Irwin,25,G,13,3,300,6-4,Colorado,6/27/1973,1,2,New England Patriots / 4th / 101st pick /1996
NWE,1998,21,Steve Israel,29,RCB,11,7,194,5-11,Pittsburgh,3/16/1969,6,3,Los Angeles Rams / 2nd / 30th pick /1992
NWE,1998,84,Shawn Jefferson,29,WR,16,16,185,5-11,Central Florida,2/22/1969,7,7,Houston Oilers / 9th / 240th pick /1991
