Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
NYG,1977,77,Troy Archer,22,RDT,14,14,250,6-4,Colorado,1/16/1955,1,9,New York Giants / 1st / 13th pick /1976
NYG,1977,25,Gordon Bell,24,RB,10,0,180,5-9,Michigan,12/25/1953,1,1,New York Giants / 4th / 104th pick /1976
NYG,1977,83,Boyd Brown,25,TE,6,0,222,6-4,Alcorn St.,5/24/1952,3,0,Denver Broncos / 17th / 432nd pick /1974
NYG,1977,21,Bill Bryant,26,LCB,14,14,195,5-11,Grambling St.,1/15/1951,1,7,Cincinnati Bengals / 6th / 153rd pick /1974
NYG,1977,53,Harry Carson,24,MLB,14,14,237,6-2,South Carolina St.,11/26/1953,1,7,New York Giants / 4th / 105th pick /1976
NYG,1977,61,Karl Chandler,25,C,14,10,250,6-5,Princeton,2/15/1952,3,3,
NYG,1977,39,Larry Csonka,31,FB,14,13,237,6-3,Syracuse,12/25/1946,9,4,Miami Dolphins / 1st / 8th pick /1968
NYG,1977,18,Joe Danelo,24,K,14,0,166,5-9,Washington St.,9/2/1953,2,4,Miami Dolphins / 10th / 257th pick /1975
NYG,1977,15,Randy Dean,22,QB,1,0,195,6-3,Northwestern,6/10/1955,Rook,0,New York Giants / 5th / 117th pick /1977
NYG,1977,84,Al Dixon,23,TE,8,0,230,6-5,Iowa St.,4/5/1954,Rook,1,New York Giants / 7th / 178th pick /1977
NYG,1977,66,Rick Dvorak,25,DE,5,0,240,6-4,Wichita St.,4/21/1952,3,2,New York Giants / 3rd / 55th pick /1974
NYG,1977,65,Bill Ellenbogen,27,T,12,0,258,6-5,"Buffalo,Virginia Tech",12/8/1950,1,2,
NYG,1977,79,Mike Gibbons,26,T,5,4,262,6-4,SW Oklahoma St.,1/23/1951,1,2,
NYG,1977,12,Jerry Golsteyn,23,QB,6,3,207,6-4,Northern Illinois,8/6/1954,1,1,New York Giants / 12th / 333rd pick /1976
NYG,1977,71,Gordon Gravelle,28,LT,14,14,250,6-5,BYU,6/12/1949,5,4,Pittsburgh Steelers / 2nd / 38th pick /1972
NYG,1977,81,Jack Gregory,33,RDE,14,14,250,6-5,"Chattanooga,Delta St.",10/3/1944,10,8,"Buffalo Bills / 1st / 9th pick /1966, Cleveland Browns / 9th / 139th pick /1966"
NYG,1977,33,Bobby Hammond,25,RB,14,4,171,5-10,Morgan St.,2/20/1952,1,7,
NYG,1977,30,Harold Hart,25,RB,1,0,206,6-0,Texas Southern,7/13/1952,3,0,Oakland Raiders / 11th / 279th pick /1974
NYG,1977,74,John Hicks,26,RG,10,8,258,6-2,Ohio St.,3/21/1951,3,3,New York Giants / 1st / 3rd pick /1974
NYG,1977,52,Ralph Hill,28,C,12,4,245,6-1,Florida A&M,11/10/1949,1,2,
NYG,1977,13,Dave Jennings,25,P,14,0,203,6-4,St. Lawrence,6/8/1952,3,3,
NYG,1977,70,Gary Jeter,22,LDE,14,5,259,6-4,USC,1/24/1955,Rook,3,New York Giants / 1st / 5th pick /1977
NYG,1977,31,Ernie Jones,24,DB,14,0,180,6-3,Miami (FL),1/3/1953,1,3,Seattle Seahawks / 5th / 153rd pick /1976
NYG,1977,55,Brian Kelley,26,RLB,13,13,230,6-3,California Lutheran,9/1/1951,4,7,New York Giants / 14th / 353rd pick /1973
NYG,1977,44,Doug Kotar,26,RB,12,11,205,5-11,Kentucky,6/11/1951,3,4,
NYG,1977,54,Dan Lloyd,24,LB,14,1,225,6-2,Washington,11/9/1953,1,2,New York Giants / 6th / 162nd pick /1976
NYG,1977,34,Larry Mallory,25,DB,14,0,185,5-11,Tennessee St.,7/21/1952,1,3,
NYG,1977,51,Frank Marion,26,LB,3,0,227,6-3,Florida A&M,3/16/1951,1,1,
NYG,1977,89,Ed Marshall,30,WR,14,0,199,6-4,Cameron,9/23/1947,6,2,Cincinnati Bengals / 11th / 275th pick /1971
NYG,1977,75,George Martin,24,LDE,10,9,245,6-4,Oregon,2/16/1953,2,6,New York Giants / 11th / 262nd pick /1975
NYG,1977,64,John Mendenhall,29,LDT,14,14,255,6-1,Grambling St.,12/3/1948,5,8,New York Giants / 3rd / 55th pick /1972
NYG,1977,62,Ron Mikolajczyk,27,RT,14,13,275,6-3,"Marshall,Tampa",6/2/1950,1,4,Oakland Raiders / 5th / 127th pick /1973
NYG,1977,80,Emery Moorehead,23,WR,13,7,218,6-2,Colorado,3/22/1954,Rook,2,New York Giants / 6th / 153rd pick /1977
