No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
36,Josh Adams,24,RB,8,0,225,6-2,Notre Dame,10/29/1996,2,1,,"$750,000",NYJ,2020,2025-08-15 14:21:38
96,Henry Anderson,29,LDE,16,8,300,6-6,Stanford,8/3/1991,5,4,Indianapolis Colts / 3rd / 93rd pick /2015,"$7,000,000",NYJ,2020,2025-08-15 14:21:38
68,Josh Andrews,29,G,15,4,298,6-2,Oregon St.,6/21/1991,5,2,,"$750,000",NYJ,2020,2025-08-15 14:21:38
31,Blessuan Austin,24,RCB,11,10,198,6-1,Rutgers,7/19/1996,1,3,New York Jets / 6th / 196th pick /2019,"$675,000",NYJ,2020,2025-08-15 14:21:38
29,Kalen Ballage,25,RB,3,0,231,6-2,Arizona St.,12/22/1995,2,1,Miami Dolphins / 4th / 131st pick /2018,"$705,882",NYJ,2020,2025-08-15 14:21:38
27,Corey Ballentine,24,DB,6,0,196,5-11,Washburn,4/13/1996,1,0,New York Giants / 6th / 180th pick /2019,"$317,648",NYJ,2020,2025-08-15 14:21:38
93,Tarell Basham,26,LOLB,16,9,266,6-4,Ohio,3/18/1994,3,5,Indianapolis Colts / 3rd / 80th pick /2017,"$825,000",NYJ,2020,2025-08-15 14:21:38
77,Mekhi Becton,21,LT,14,13,363,6-7,Louisville,4/18/1999,Rook,4,New York Jets / 1st / 11th pick /2020,"$610,000",NYJ,2020,2025-08-15 14:21:38
26,Le'Veon Bell,28,RB,2,2,225,6-1,Michigan St.,2/18/1992,7,1,Pittsburgh Steelers / 2nd / 48th pick /2013,"$8,500,000",NYJ,2020,2025-08-15 14:21:38
10,Braxton Berrios,25,WR,16,2,185,5-9,Miami (FL),10/6/1995,1,3,New England Patriots / 6th / 210th pick /2018,"$750,000",NYJ,2020,2025-08-15 14:21:38
87,Daniel Brown,28,WR,16,1,247,6-5,James Madison,5/26/1992,5,0,,"$910,000",NYJ,2020,2025-08-15 14:21:38
86,Lawrence Cager,23,WR,2,1,220,6-5,Georgia,8/20/1997,Rook,0,,,NYJ,2020,2025-08-15 14:21:38
26,Elijah Campbell,25,DB,3,0,200,5-11,"Iowa Western,Northern Illinois,Northern Iowa",8/24/1995,1,0,,,NYJ,2020,2025-08-15 14:21:38
53,Blake Cashman,24,LB,4,1,235,6-1,Minnesota,5/10/1996,1,1,New York Jets / 5th / 157th pick /2019,"$560,588",NYJ,2020,2025-08-15 14:21:38
6,Sergio Castillo,30,K,6,0,195,5-11,West Texas A&M,11/1/1990,Rook,0,,"$358,824",NYJ,2020,2025-08-15 14:21:38
37,Marqui Christian,26,DB,1,0,195,5-11,Midwestern St.,10/27/1994,4,0,Arizona Cardinals / 5th / 167th pick /2016,"$802,941",NYJ,2020,2025-08-15 14:21:38
82,Jamison Crowder,27,WR,12,7,177,5-9,Duke,6/17/1993,5,5,Washington Redskins / 4th / 105th pick /2015,"$8,500,000",NYJ,2020,2025-08-15 14:21:38
14,Sam Darnold,23,QB,12,12,225,6-3,USC,6/5/1997,2,4,New York Jets / 1st / 3rd pick /2018,"$750,000",NYJ,2020,2025-08-15 14:21:38
32,Ashtyn Davis,24,SS,10,6,205,6-1,California,10/10/1996,Rook,2,New York Jets / 3rd / 68th pick /2020,"$610,000",NYJ,2020,2025-08-15 14:21:38
56,Noah Dawkins,23,LB,5,0,235,6-1,The Citadel,8/13/1997,1,0,,,NYJ,2020,2025-08-15 14:21:38
35,Pierre Desir,30,DB,9,8,192,6-1,Lindenwood,9/8/1990,6,4,Cleveland Browns / 4th / 127th pick /2014,"$1,250,000",NYJ,2020,2025-08-15 14:21:38
75,Chuma Edoga,23,T,11,4,315,6-4,USC,5/25/1997,1,2,New York Jets / 3rd / 92nd pick /2019,"$675,000",NYJ,2020,2025-08-15 14:21:38
67,Pat Elflein,26,LG,6,6,303,6-2,Ohio St.,7/6/1994,3,2,Minnesota Vikings / 3rd / 70th pick /2017,"$2,133,000",NYJ,2020,2025-08-15 14:21:38
76,George Fant,28,RT,14,14,316,6-5,Western Kentucky,7/19/1992,4,5,,"$4,600,000",NYJ,2020,2025-08-15 14:21:38
41,Matthias Farley,28,DB,16,2,209,5-11,Notre Dame,7/15/1992,4,1,,"$910,000",NYJ,2020,2025-08-15 14:21:38
94,Folorunso Fatukasi,25,NT,15,8,318,6-4,Connecticut,3/4/1995,2,5,New York Jets / 6th / 180th pick /2018,"$750,000",NYJ,2020,2025-08-15 14:21:38
9,Sam Ficken,28,K,9,0,192,6-1,Penn St.,12/14/1992,3,1,,"$675,000",NYJ,2020,2025-08-15 14:21:38
54,Sharif Finch,25,LB,3,0,250,6-4,Temple,10/1/1995,2,0,,,NYJ,2020,2025-08-15 14:21:38
5,Joe Flacco,35,QB,5,4,245,6-6,"Pittsburgh,Delaware",1/16/1985,12,2,Baltimore Ravens / 1st / 18th pick /2008,"$1,050,000",NYJ,2020,2025-08-15 14:21:38
91,John Franklin-Myers,24,DT,15,2,288,6-4,S.F. Austin,9/26/1996,2,3,Los Angeles Rams / 4th / 135th pick /2018,"$750,000",NYJ,2020,2025-08-15 14:21:38
21,Frank Gore,37,RB,15,14,212,5-9,Miami (FL),5/14/1983,15,4,San Francisco 49ers / 3rd / 65th pick /2005,"$1,050,000",NYJ,2020,2025-08-15 14:21:38
84,Ryan Griffin,30,TE,15,6,255,6-6,Connecticut,1/11/1990,7,1,Houston Texans / 6th / 201st pick /2013,"$1,160,000",NYJ,2020,2025-08-15 14:21:38
40,Javelin Guidry,22,CB,11,2,191,5-9,Utah,8/6/1998,Rook,1,,"$502,353",NYJ,2020,2025-08-15 14:21:38
58,Bryce Hager,28,LB,10,2,237,6-1,Baylor,5/4/1992,5,2,St. Louis Rams / 7th / 224th pick /2015,"$481,765",NYJ,2020,2025-08-15 14:21:38
25,Nate Hairston,26,DB,2,0,185,6-0,Temple,6/30/1994,3,0,Indianapolis Colts / 5th / 158th pick /2017,"$2,133,000",NYJ,2020,2025-08-15 14:21:38
