Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
OTI,2008,56,Colin Allred,25,LB,12,0,242,6-1,Baylor,4/15/1983,1,1,
OTI,2008,54,Eugene Amano,26,LG,16,16,300,6-3,SE Missouri St.,3/1/1982,4,7,Tennessee Titans / 7th / 239th pick /2004
OTI,2008,58,Ken Amato,31,LS,16,0,240,6-2,Montana St.,5/18/1977,5,2,
OTI,2008,98,Dave Ball,27,DE,15,3,255,6-5,UCLA,1/4/1981,4,4,San Diego Chargers / 5th / 133rd pick /2004
OTI,2008,2,Rob Bironas,30,K,16,0,205,6-0,"Georgia Southern,Auburn",1/29/1978,3,4,
OTI,2008,97,Tony Brown,28,LDT,15,15,283,6-2,Memphis,9/29/1980,4,9,
OTI,2008,53,Keith Bulluck,31,RLB,16,16,235,6-3,Syracuse,4/4/1977,8,9,Tennessee Titans / 1st / 30th pick /2000
OTI,2008,29,Chris Carr,25,DB,16,2,182,5-10,Boise St.,4/30/1983,3,2,
OTI,2008,5,Kerry Collins,36,QB,16,15,247,6-5,Penn St.,12/30/1972,13,8,Carolina Panthers / 1st / 5th pick /1995
OTI,2008,83,Alge Crumpler,31,TE,15,15,275,6-2,North Carolina,12/23/1977,7,2,Atlanta Falcons / 2nd / 35th pick /2001
OTI,2008,17,Chris Davis,24,WR,5,0,181,5-10,Florida St.,1/23/1984,1,0,Tennessee Titans / 4th / 128th pick /2007
OTI,2008,31,Cortland Finnegan,24,RCB,16,16,190,5-10,Samford,2/2/1984,2,20,Tennessee Titans / 7th / 215th pick /2006
OTI,2008,78,Jacob Ford,25,LB,14,3,249,6-4,Central Arkansas,7/20/1983,Rook,3,Tennessee Titans / 6th / 204th pick /2007
OTI,2008,52,Ryan Fowler,26,LB,16,3,250,6-3,Duke,5/20/1982,4,3,
OTI,2008,22,Vincent Fuller,26,DB,16,1,192,6-1,Virginia Tech,8/3/1982,3,2,Tennessee Titans / 4th / 108th pick /2005
OTI,2008,12,Justin Gage,27,WR,12,11,204,6-4,Missouri,1/25/1981,5,6,Chicago Bears / 5th / 143rd pick /2003
OTI,2008,35,Quinton Ganther,24,RB,13,0,220,5-9,Utah,7/15/1984,2,1,Tennessee Titans / 7th / 246th pick /2006
OTI,2008,99,Amon Gordon,27,DT,2,0,305,6-2,Stanford,10/13/1981,4,0,Cleveland Browns / 5th / 161st pick /2004
OTI,2008,33,Michael Griffin,23,FS,16,16,202,6-0,Texas,1/4/1985,1,12,Tennessee Titans / 1st / 19th pick /2007
OTI,2008,45,Ahmard Hall,29,FB,16,11,241,5-11,Texas,11/13/1979,2,1,
OTI,2008,20,Nick Harper,34,LCB,13,13,182,5-10,Fort Valley St.,9/10/1974,7,6,
OTI,2008,64,Leroy Harris,24,G,16,1,298,6-2,North Carolina St.,6/6/1984,1,1,Tennessee Titans / 4th / 115th pick /2007
OTI,2008,26,Tuff Harris,25,DB,6,0,198,6-0,Montana,1/23/1983,1,0,
OTI,2008,87,Lavelle Hawkins,22,WR,13,1,187,5-11,California,7/12/1986,Rook,1,Tennessee Titans / 4th / 126th pick /2008
OTI,2008,95,William Hayes,23,DE,8,0,265,6-3,Winston-Salem St.,5/2/1985,Rook,1,Tennessee Titans / 4th / 103rd pick /2008
OTI,2008,92,Albert Haynesworth,27,RDT,14,14,335,6-6,Tennessee,6/17/1981,6,17,Tennessee Titans / 1st / 15th pick /2002
OTI,2008,42,Chris Henry,23,RB,1,0,230,6-2,Arizona,6/6/1985,1,0,Tennessee Titans / 2nd / 50th pick /2007
OTI,2008,15,Craig Hentrich,37,P,16,0,213,6-3,Notre Dame,5/18/1971,14,2,New York Jets / 8th / 200th pick /1993
OTI,2008,21,Reynaldo Hill,26,DB,5,0,185,5-11,Florida,8/28/1982,3,0,Tennessee Titans / 7th / 218th pick /2005
OTI,2008,24,Chris Hope,28,SS,16,16,204,6-0,Florida St.,9/29/1980,6,11,Pittsburgh Steelers / 3rd / 94th pick /2002
OTI,2008,28,Chris Johnson,23,RB,15,14,195,5-11,East Carolina,9/23/1985,Rook,10,Tennessee Titans / 1st / 24th pick /2008
OTI,2008,81,Brandon Jones,26,WR,16,7,208,6-1,Oklahoma,3/20/1982,3,4,Tennessee Titans / 3rd / 96th pick /2005
OTI,2008,91,Jason Jones,22,DT,13,3,272,6-5,Eastern Michigan,5/23/1986,Rook,3,Tennessee Titans / 2nd / 54th pick /2008
OTI,2008,90,Jevon Kearse,32,LDE,16,16,265,6-4,Florida,9/3/1976,9,8,Tennessee Titans / 1st / 16th pick /1999
OTI,2008,59,Stanford Keglar,23,LB,13,0,239,6-2,Purdue,7/4/1985,Rook,1,Tennessee Titans / 4th / 134th pick /2008
OTI,2008,30,Eric King,26,DB,10,1,190,5-10,Wake Forest,5/10/1982,3,1,Buffalo Bills / 5th / 156th pick /2005
OTI,2008,70,Daniel Loper,26,T,16,0,320,6-6,Texas Tech,1/15/1982,2,1,Tennessee Titans / 5th / 150th pick /2005
OTI,2008,68,Kevin Mawae,37,C,15,15,289,6-4,LSU,1/23/1971,14,12,Seattle Seahawks / 2nd / 36th pick /1994
OTI,2008,19,Justin McCareins,30,WR,14,10,215,6-2,Northern Illinois,12/1/1978,7,4,Tennessee Titans / 4th / 124th pick /2001
OTI,2008,23,Donnie Nickey,28,DB,16,0,226,6-3,Ohio St.,4/25/1980,5,1,Tennessee Titans / 5th / 154th pick /2003
OTI,2008,66,Michael Otto,25,T,1,0,308,6-5,Purdue,7/24/1983,Rook,0,Tennessee Titans / 7th / 223rd pick /2007
OTI,2008,38,Tyrone Poole,36,DB,2,0,188,5-8,Fort Valley St.,2/3/1972,13,0,Carolina Panthers / 1st / 22nd pick /1995
OTI,2008,71,Michael Roos,26,LT,16,16,313,6-7,Eastern Washington,10/5/1982,3,13,Tennessee Titans / 2nd / 41st pick /2005
OTI,2008,80,Bo Scaife,27,TE,16,7,249,6-3,Texas,1/6/1981,3,5,Tennessee Titans / 6th / 179th pick /2005
OTI,2008,73,Jake Scott,27,RG,16,16,292,6-5,Idaho,4/16/1981,4,7,Indianapolis Colts / 5th / 141st pick /2004
OTI,2008,8,Chris Simms,28,QB,1,0,230,6-4,Texas,8/29/1980,4,0,Tampa Bay Buccaneers / 3rd / 97th pick /2003
OTI,2008,57,Josh Stamer,31,LB,16,1,238,6-2,South Dakota,10/11/1977,5,2,
OTI,2008,88,Craig Stevens,24,TE,16,2,255,6-3,California,9/1/1984,Rook,0,Tennessee Titans / 3rd / 85th pick /2008
OTI,2008,76,David Stewart,26,RT,16,16,313,6-7,Mississippi St.,8/28/1982,2,11,Tennessee Titans / 4th / 113th pick /2005
OTI,2008,50,David Thornton,30,LLB,15,15,233,6-2,North Carolina,11/1/1978,6,8,Indianapolis Colts / 4th / 106th pick /2002
