Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
PHI,1993,72,David Alexander,29,C,16,16,275,6-3,Tulsa,7/28/1964,6,7,Philadelphia Eagles / 5th / 121st pick /1987
PHI,1993,21,Eric Allen,28,RCB,16,16,184,5-10,Arizona St.,11/22/1965,5,14,Philadelphia Eagles / 2nd / 30th pick /1988
PHI,1993,11,Matt Bahr,37,K,11,0,175,5-10,Penn St.,7/6/1956,14,0,Pittsburgh Steelers / 6th / 165th pick /1979
PHI,1993,82,Victor Bailey,23,WR,16,10,196,6-2,"Texas-El Paso,Missouri",7/3/1970,Rook,5,Philadelphia Eagles / 2nd / 50th pick /1993
PHI,1993,62,Brian Baldinger,33,G,12,4,278,6-4,"Nassau CC,Duke",1/7/1960,11,2,
PHI,1993,24,Corey Barlow,23,DB,10,0,182,5-9,Auburn,11/1/1970,Rook,1,Philadelphia Eagles / 5th / 129th pick /1992
PHI,1993,86,Fred Barnett,27,WR,4,4,204,6-0,Arkansas St.,6/17/1966,3,1,Philadelphia Eagles / 3rd / 77th pick /1990
PHI,1993,84,Mark Bavaro,30,TE,16,16,245,6-4,Notre Dame,4/28/1963,8,4,New York Giants / 4th / 100th pick /1985
PHI,1993,6,Bubby Brister,31,QB,10,8,205,6-3,"Tulane,La-Monroe",8/15/1962,7,6,Pittsburgh Steelers / 3rd / 67th pick /1986
PHI,1993,71,Mike Chalenski,23,DE,15,0,279,6-5,"Pittsburgh,UCLA",1/28/1970,Rook,1,
PHI,1993,52,Louis Cooper,30,LB,11,0,240,6-2,Western Carolina,8/5/1963,8,1,Seattle Seahawks / 11th / 305th pick /1985
PHI,1993,12,Randall Cunningham,30,QB,4,4,212,6-4,UNLV,3/27/1963,8,3,Philadelphia Eagles / 2nd / 37th pick /1985
PHI,1993,78,Antone Davis,26,RT,16,16,330,6-4,Tennessee,2/28/1967,2,7,Philadelphia Eagles / 1st / 8th pick /1991
