Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
PIT,1993,1,Gary Anderson,34,K,16,0,193,5-11,Syracuse,7/16/1959,11,5,Buffalo Bills / 7th / 171st pick /1982
PIT,1993,43,Steve Avery,27,RB,0,0,233,6-2,Northern Michigan,8/18/1966,4,0,
PIT,1993,50,Reggie Barnes,24,LB,16,0,235,6-1,Oklahoma,10/23/1969,Rook,1,
PIT,1993,94,Chad Brown,23,RILB,16,9,245,6-2,Colorado,7/12/1970,Rook,6,Pittsburgh Steelers / 2nd / 44th pick /1993
PIT,1993,87,Adrian Cooper,25,TE,14,3,255,6-5,Oklahoma,4/27/1968,2,1,Pittsburgh Steelers / 4th / 103rd pick /1991
PIT,1993,42,Randy Cuthbert,23,RB,10,0,225,6-2,Duke,1/16/1970,Rook,0,
PIT,1993,80,Charles Davenport,25,WR,16,0,210,6-3,North Carolina St.,11/22/1968,1,0,Pittsburgh Steelers / 4th / 94th pick /1992
PIT,1993,64,Kenny Davidson,26,LDE,16,9,272,6-5,LSU,8/17/1967,3,7,Pittsburgh Steelers / 2nd / 43rd pick /1990
PIT,1993,63,Dermontti Dawson,28,C,16,16,288,6-2,Kentucky,6/17/1965,5,13,Pittsburgh Steelers / 2nd / 44th pick /1988
PIT,1993,66,Donald Evans,29,RDE,16,16,282,6-2,Winston-Salem St.,3/14/1964,6,9,Los Angeles Rams / 2nd / 47th pick /1987
PIT,1993,21,Deon Figures,23,DB,15,4,200,6-0,Colorado,1/10/1970,Rook,3,Pittsburgh Steelers / 1st / 23rd pick /1993
PIT,1993,71,Dan Fike,32,T,3,0,280,6-7,Florida,6/16/1961,8,0,New York Jets / 10th / 274th pick /1983
PIT,1993,29,Barry Foster,25,RB,9,9,223,5-10,Arkansas,12/8/1968,3,7,Pittsburgh Steelers / 5th / 128th pick /1990
PIT,1993,60,Kendall Gammon,25,LS,16,0,255,6-4,Pittsburg St.,10/23/1968,1,1,Pittsburgh Steelers / 11th / 291st pick /1992
PIT,1993,81,Jeff Graham,24,WR,15,12,200,6-2,Ohio St.,2/14/1969,2,5,Pittsburgh Steelers / 2nd / 46th pick /1991
PIT,1993,86,Eric Green,26,TE,16,16,280,6-5,Liberty,6/22/1967,3,8,Pittsburgh Steelers / 1st / 21st pick /1990
PIT,1993,91,Kevin Greene,31,LOLB,16,16,247,6-3,Auburn,7/31/1962,8,11,Los Angeles Rams / 5th / 113th pick /1985
PIT,1993,22,Larry Griffin,30,DB,12,0,197,6-0,North Carolina,1/11/1963,7,1,Houston Oilers / 8th / 199th pick /1986
PIT,1993,28,Alan Haller,23,DB,4,0,186,5-11,Michigan St.,8/9/1970,1,0,Pittsburgh Steelers / 5th / 123rd pick /1992
PIT,1993,77,Carlton Haselrig,27,G,9,4,295,6-1,Pittsburgh-Johnstown,1/22/1966,3,2,Pittsburgh Steelers / 12th / 312th pick /1989
PIT,1993,88,Andre Hastings,23,WR,6,0,190,6-1,Georgia,11/7/1970,Rook,0,Pittsburgh Steelers / 3rd / 76th pick /1993
PIT,1993,76,Kevin Henry,25,DE,12,1,282,6-4,Mississippi St.,10/23/1968,Rook,2,Pittsburgh Steelers / 4th / 108th pick /1993
PIT,1993,53,Bryan Hinkle,34,LB,12,1,222,6-1,Oregon,6/4/1959,11,2,Pittsburgh Steelers / 6th / 156th pick /1981
PIT,1993,54,Dave Hoffmann,23,LB,1,0,233,6-2,Washington,7/24/1970,Rook,0,Chicago Bears / 6th / 146th pick /1993
PIT,1993,33,Merril Hoge,28,FB,16,13,225,6-2,Idaho St.,1/26/1965,6,4,Pittsburgh Steelers / 10th / 261st pick /1987
PIT,1993,65,John Jackson,28,LT,16,16,297,6-6,Eastern Kentucky,1/4/1965,5,7,Pittsburgh Steelers / 10th / 252nd pick /1988
PIT,1993,44,D.J. Johnson,27,RCB,16,15,187,6-0,Kentucky,7/14/1966,4,6,Pittsburgh Steelers / 7th / 174th pick /1989
PIT,1993,25,Gary Jones,26,DB,13,2,210,6-1,Texas A&M,11/30/1967,3,2,Pittsburgh Steelers / 9th / 239th pick /1990
PIT,1993,30,Victor Jones,26,RB,16,0,212,5-8,LSU,12/5/1967,3,0,
PIT,1993,84,Tim Jorden,27,TE,16,1,235,6-3,Indiana,10/30/1966,3,0,
PIT,1993,85,Craig Keith,22,TE,1,0,262,6-3,Lenoir-Rhyne,4/27/1971,Rook,0,Pittsburgh Steelers / 7th / 189th pick /1993
PIT,1993,99,Levon Kirkland,24,LILB,16,13,270,6-1,Clemson,2/17/1969,1,8,Pittsburgh Steelers / 2nd / 38th pick /1992
PIT,1993,37,Carnell Lake,26,SS,14,14,210,6-1,UCLA,7/15/1967,4,6,Pittsburgh Steelers / 2nd / 34th pick /1989
PIT,1993,95,Greg Lloyd,28,ROLB,15,15,228,6-2,Fort Valley St.,5/26/1965,5,18,Pittsburgh Steelers / 6th / 150th pick /1987
PIT,1993,67,Duval Love,30,LG,16,16,275,6-3,UCLA,6/24/1963,8,7,Los Angeles Rams / 10th / 274th pick /1985
PIT,1993,56,Rico Mack,22,LB,8,0,239,6-4,Appalachian St.,2/22/1971,Rook,1,
PIT,1993,89,Ernie Mills,25,WR,14,5,192,5-11,Florida,10/28/1968,2,3,Pittsburgh Steelers / 3rd / 73rd pick /1991
PIT,1993,14,Neil O'Donnell,27,QB,16,15,228,6-3,Maryland,7/3/1966,2,11,Pittsburgh Steelers / 3rd / 70th pick /1990
PIT,1993,55,Jerry Olsavsky,26,RILB,7,7,221,6-1,Pittsburgh,3/29/1967,4,4,Pittsburgh Steelers / 10th / 258th pick /1989
PIT,1993,68,Lonnie Palelei,23,G,3,0,310,6-3,"Purdue,UNLV",10/15/1970,Rook,0,Pittsburgh Steelers / 5th / 135th pick /1993
