No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
92,Olasunkanmi Adeniyi,23,LB,15,1,248,6-1,Toledo,9/12/1997,2,2,,"$750,000",PIT,2020,2025-08-15 14:25:42
27,Marcus Allen,24,DB,14,2,215,6-2,Penn St.,8/7/1996,2,4,Pittsburgh Steelers / 5th / 148th pick /2018,"$675,000",PIT,2020,2025-08-15 14:25:42
94,Tyson Alualu,33,NT,15,10,304,6-3,California,5/12/1987,10,6,Jacksonville Jaguars / 1st / 10th pick /2010,"$2,750,000",PIT,2020,2025-08-15 14:25:42
72,Zach Banner,27,T,1,1,358,6-8,USC,12/25/1993,3,1,Indianapolis Colts / 4th / 137th pick /2017,"$1,750,000",PIT,2020,2025-08-15 14:25:42
4,Jordan Berry,29,P,11,0,195,6-5,Eastern Kentucky,3/18/1991,5,2,,"$588,824",PIT,2020,2025-08-15 14:25:42
9,Chris Boswell,29,K,13,0,185,6-2,Rice,3/16/1991,5,3,,"$910,000",PIT,2020,2025-08-15 14:25:42
25,Antoine Brooks Jr.,23,S,4,0,220,5-11,Maryland,10/18/1997,Rook,0,Pittsburgh Steelers / 6th / 198th pick /2020,,PIT,2020,2025-08-15 14:25:42
96,Isaiah Buggs,24,DT,10,1,335,6-3,"Mississippi Gulf Coast CC,Alabama",8/24/1996,1,1,Pittsburgh Steelers / 6th / 192nd pick /2019,"$675,000",PIT,2020,2025-08-15 14:25:42
55,Devin Bush Jr.,22,LILB,5,5,235,5-11,Michigan,7/18/1998,1,3,Pittsburgh Steelers / 1st / 10th pick /2019,"$1,352,808",PIT,2020,2025-08-15 14:25:42
17,Deon Cain,24,WR,2,0,202,6-2,Clemson,8/9/1996,1,0,Indianapolis Colts / 6th / 185th pick /2018,"$585,000",PIT,2020,2025-08-15 14:25:42
57,Kameron Canaday,27,LS,16,0,245,6-4,Portland St.,8/20/1993,4,1,,"$910,000",PIT,2020,2025-08-15 14:25:42
11,Chase Claypool,22,WR,16,6,238,6-4,Notre Dame,7/7/1998,Rook,8,Pittsburgh Steelers / 2nd / 49th pick /2020,"$610,000",PIT,2020,2025-08-15 14:25:42
4,Dustin Colquitt,38,P,5,0,210,6-3,Tennessee,5/6/1982,15,1,Kansas City Chiefs / 3rd / 99th pick /2005,"$1,050,000",PIT,2020,2025-08-15 14:25:42
30,James Conner,25,RB,13,11,233,6-1,Pittsburgh,5/5/1995,3,6,Pittsburgh Steelers / 3rd / 105th pick /2017,"$825,000",PIT,2020,2025-08-15 14:25:42
37,Jordan Dangerfield,30,DB,15,0,199,5-11,Towson,12/25/1990,4,1,,"$825,000",PIT,2020,2025-08-15 14:25:42
73,Carlos Davis,24,DT,7,0,320,6-2,Nebraska,8/22/1996,Rook,1,Pittsburgh Steelers / 7th / 232nd pick /2020,"$610,000",PIT,2020,2025-08-15 14:25:42
21,Sean Davis,27,DB,16,1,202,6-1,Maryland,10/23/1993,4,2,Pittsburgh Steelers / 2nd / 58th pick /2016,"$910,000",PIT,2020,2025-08-15 14:25:42
66,David DeCastro,30,RG,13,13,316,6-5,Stanford,1/11/1990,8,7,Pittsburgh Steelers / 1st / 24th pick /2012,"$1,050,000",PIT,2020,2025-08-15 14:25:42
5,Joshua Dobbs,25,QB,1,0,220,6-3,Tennessee,1/26/1995,2,0,Pittsburgh Steelers / 4th / 135th pick /2017,"$825,000",PIT,2020,2025-08-15 14:25:42
69,Kevin Dotson,24,G,13,4,330,6-4,Louisiana,9/18/1996,Rook,2,Pittsburgh Steelers / 4th / 135th pick /2020,"$610,000",PIT,2020,2025-08-15 14:25:42
48,Bud Dupree,27,ROLB,11,11,269,6-4,Kentucky,2/12/1993,5,6,Pittsburgh Steelers / 1st / 22nd pick /2015,"$15,828,000",PIT,2020,2025-08-15 14:25:42
85,Eric Ebron,27,TE,15,9,253,6-4,North Carolina,4/10/1993,6,5,Detroit Lions / 1st / 10th pick /2014,"$1,000,000",PIT,2020,2025-08-15 14:25:42
34,Terrell Edmunds,23,SS,15,12,217,6-1,Virginia Tech,1/20/1997,2,5,Pittsburgh Steelers / 1st / 28th pick /2018,"$1,452,526",PIT,2020,2025-08-15 14:25:42
33,Trey Edmunds,26,RB,4,0,223,6-2,"Virginia Tech,Maryland",12/30/1994,3,0,,"$388,235",PIT,2020,2025-08-15 14:25:42
45,Jayrone Elliott,29,LB,8,0,240,6-3,Toledo,11/11/1991,6,1,,"$481,765",PIT,2020,2025-08-15 14:25:42
71,Matt Feiler,28,LG,13,13,330,6-6,Bloomsburg,7/7/1992,3,7,,"$3,259,000",PIT,2020,2025-08-15 14:25:42
39,Minkah Fitzpatrick,24,FS,16,16,207,6-1,Alabama,11/17/1996,2,14,Miami Dolphins / 1st / 11th pick /2018,"$1,975,252",PIT,2020,2025-08-15 14:25:42
81,Zach Gentry,24,TE,2,1,265,6-8,Michigan,9/10/1996,1,0,Pittsburgh Steelers / 5th / 141st pick /2019,"$675,000",PIT,2020,2025-08-15 14:25:42
54,Ulysees Gilbert,23,LB,4,0,230,6-0,Akron,8/9/1997,1,0,Pittsburgh Steelers / 6th / 207th pick /2019,"$542,648",PIT,2020,2025-08-15 14:25:42
77,Derwin Gray,25,T,5,0,320,6-4,Maryland,5/10/1995,1,0,Pittsburgh Steelers / 7th / 219th pick /2019,"$574,112",PIT,2020,2025-08-15 14:25:42
23,Joe Haden,31,LCB,14,14,195,5-11,Florida,4/14/1989,10,6,Cleveland Browns / 1st / 7th pick /2010,"$1,050,000",PIT,2020,2025-08-15 14:25:42
60,J.C. Hassenauer,25,C,15,4,295,6-2,Alabama,9/15/1995,1,2,,"$610,000",PIT,2020,2025-08-15 14:25:42
65,Jerald Hawkins,27,T,13,0,305,6-6,LSU,10/16/1993,3,1,Pittsburgh Steelers / 4th / 123rd pick /2016,"$705,888",PIT,2020,2025-08-15 14:25:42
97,Cameron Heyward,31,DT,15,15,295,6-5,Ohio St.,5/6/1989,9,15,Pittsburgh Steelers / 1st / 31st pick /2011,"$1,500,000",PIT,2020,2025-08-15 14:25:42
56,Alex Highsmith,23,ROLB,16,5,242,6-4,Charlotte,8/7/1997,Rook,4,Pittsburgh Steelers / 3rd / 102nd pick /2020,"$610,000",PIT,2020,2025-08-15 14:25:42
28,Mike Hilton,26,DB,12,6,184,5-9,Mississippi,3/9/1994,3,4,,"$3,259,000",PIT,2020,2025-08-15 14:25:42
18,Diontae Johnson,24,WR,15,13,183,5-10,Toledo,7/5/1996,1,8,Pittsburgh Steelers / 3rd / 66th pick /2019,"$689,589",PIT,2020,2025-08-15 14:25:42
31,Justin Layne,22,DB,16,0,192,6-2,Michigan St.,1/12/1998,1,1,Pittsburgh Steelers / 3rd / 83rd pick /2019,"$675,000",PIT,2020,2025-08-15 14:25:42
49,Cassius Marsh,28,DE,1,0,254,6-4,UCLA,7/7/1992,6,0,Seattle Seahawks / 4th / 108th pick /2014,,PIT,2020,2025-08-15 14:25:42
14,Ray-Ray McCloud,24,WR,16,2,185,5-9,Clemson,10/15/1996,2,1,Buffalo Bills / 6th / 187th pick /2018,"$750,000",PIT,2020,2025-08-15 14:25:42
89,Vance McDonald,30,TE,14,12,267,6-4,Rice,6/13/1990,7,1,San Francisco 49ers / 2nd / 55th pick /2013,"$1,100,000",PIT,2020,2025-08-15 14:25:42
26,Anthony McFarland Jr.,22,RB,11,0,193,5-8,Maryland,3/4/1998,Rook,1,Pittsburgh Steelers / 4th / 124th pick /2020,,PIT,2020,2025-08-15 14:25:42
99,Henry Mondeaux,25,DT,11,0,280,6-4,Oregon,9/19/1995,1,1,,"$394,702",PIT,2020,2025-08-15 14:25:42
22,Steven Nelson,27,RCB,15,15,194,5-11,Oregon St.,1/22/1993,5,6,Kansas City Chiefs / 3rd / 98th pick /2015,"$910,000",PIT,2020,2025-08-15 14:25:42
76,Chukwuma Okorafor,23,RT,16,15,320,6-6,Western Michigan,8/8/1997,2,8,Pittsburgh Steelers / 3rd / 92nd pick /2018,"$750,000",PIT,2020,2025-08-15 14:25:42
42,James Pierre,24,CB,16,0,185,6-2,Florida Atlantic,9/16/1996,Rook,1,,,PIT,2020,2025-08-15 14:25:42
53,Maurkice Pouncey,31,C,13,13,304,6-4,Florida,7/24/1989,10,7,Pittsburgh Steelers / 1st / 18th pick /2010,"$1,050,000",PIT,2020,2025-08-15 14:25:42
87,Kevin Rader,25,TE,1,1,250,6-4,Youngstown St.,4/26/1995,1,0,,"$510,000",PIT,2020,2025-08-15 14:25:42
7,Ben Roethlisberger,38,QB,15,15,240,6-5,Miami (OH),3/2/1982,16,10,Pittsburgh Steelers / 1st / 11th pick /2004,"$1,500,000",PIT,2020,2025-08-15 14:25:42
2,Mason Rudolph,25,QB,5,1,235,6-5,Oklahoma St.,7/17/1995,1,1,Pittsburgh Steelers / 3rd / 76th pick /2018,"$836,554",PIT,2020,2025-08-15 14:25:42
38,Jaylen Samuels,24,RB,14,1,225,6-0,North Carolina St.,7/20/1996,2,1,Pittsburgh Steelers / 5th / 165th pick /2018,"$750,000",PIT,2020,2025-08-15 14:25:42
40,Tegray Scales,24,LB,4,0,227,6-0,Indiana,5/10/1996,Rook,0,,,PIT,2020,2025-08-15 14:25:42
29,Wendell Smallwood,26,RB,1,0,208,5-10,West Virginia,1/20/1994,4,0,Philadelphia Eagles / 5th / 153rd pick /2016,,PIT,2020,2025-08-15 14:25:42
19,JuJu Smith-Schuster,24,WR,16,14,215,6-1,USC,11/22/1996,3,7,Pittsburgh Steelers / 2nd / 62nd pick /2017,"$1,037,152",PIT,2020,2025-08-15 14:25:42
24,Benny Snell Jr.,22,RB,16,3,224,5-10,Kentucky,2/27/1998,1,3,Pittsburgh Steelers / 4th / 122nd pick /2019,"$675,000",PIT,2020,2025-08-15 14:25:42
41,Robert Spillane,25,LILB,12,7,229,6-1,Western Michigan,12/14/1995,2,5,,"$675,000",PIT,2020,2025-08-15 14:25:42
20,Cameron Sutton,25,DB,16,6,188,5-11,Tennessee,2/27/1995,3,3,Pittsburgh Steelers / 3rd / 94th pick /2017,"$825,000",PIT,2020,2025-08-15 14:25:42
91,Stephon Tuitt,27,DE,15,15,303,6-6,Notre Dame,5/23/1993,6,9,Pittsburgh Steelers / 2nd / 46th pick /2014,"$9,000,000",PIT,2020,2025-08-15 14:25:42
78,Alejandro Villanueva,32,LT,16,16,277,6-9,Army,9/22/1988,5,8,,"$5,000,000",PIT,2020,2025-08-15 14:25:42
