Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
RAI,2004,83,Courtney Anderson,24,TE,9,4,270,6-7,San Jose St.,11/19/1980,Rook,2,Oakland Raiders / 7th / 245th pick /2004
RAI,2004,23,Marques Anderson,25,SS,14,10,212,5-11,UCLA,5/26/1979,2,4,Green Bay Packers / 3rd / 92nd pick /2002
RAI,2004,21,Nnamdi Asomugha,23,RCB,16,7,210,6-2,California,7/6/1981,1,2,Oakland Raiders / 1st / 31st pick /2003
RAI,2004,70,Brad Badger,29,LG,16,12,320,6-4,Stanford,1/11/1975,7,6,Washington Redskins / 5th / 162nd pick /1997
RAI,2004,91,Tyler Brayton,25,LDE,15,15,280,6-6,Colorado,11/20/1979,1,5,Oakland Raiders / 1st / 32nd pick /2003
RAI,2004,34,Ray Buchanan,33,FS,16,16,186,5-9,Louisville,9/29/1971,11,5,Indianapolis Colts / 3rd / 65th pick /1993
RAI,2004,31,Phillip Buchanon,24,LCB,14,14,190,5-11,Miami (FL),9/19/1980,2,5,Oakland Raiders / 1st / 17th pick /2002
RAI,2004,55,Danny Clark,27,MLB,16,16,233,6-2,Illinois,5/9/1977,4,6,Jacksonville Jaguars / 7th / 245th pick /2000
RAI,2004,5,Kerry Collins,32,QB,14,13,247,6-5,Penn St.,12/30/1972,9,10,Carolina Panthers / 1st / 5th pick /1995
RAI,2004,40,Jarrod Cooper,26,DB,9,0,210,6-0,Kansas St.,3/31/1978,3,1,Carolina Panthers / 5th / 143rd pick /2001
RAI,2004,32,Zack Crockett,32,FB,16,9,240,6-2,"Hinds CC,Florida St.",12/2/1972,9,2,Indianapolis Colts / 3rd / 79th pick /1995
RAI,2004,89,Ronald Curry,25,WR,12,3,220,6-2,North Carolina,5/28/1979,2,6,Oakland Raiders / 7th / 235th pick /2002
RAI,2004,20,Justin Fargas,24,FB,12,0,220,6-1,"Michigan,USC",1/25/1980,1,1,Oakland Raiders / 3rd / 96th pick /2003
RAI,2004,10,Carlos Francis,23,WR,5,0,200,5-9,Texas Tech,1/3/1981,Rook,0,Oakland Raiders / 4th / 99th pick /2004
RAI,2004,85,Doug Gabriel,24,WR,16,5,215,6-3,"Mississippi Gulf Coast CC,Central Florida",8/27/1980,1,5,Oakland Raiders / 5th / 167th pick /2003
RAI,2004,76,Robert Gallery,24,RT,16,15,325,6-7,Iowa,7/26/1980,Rook,8,Oakland Raiders / 1st / 2nd pick /2004
RAI,2004,12,Rich Gannon,39,QB,3,3,210,6-3,Delaware,12/20/1965,17,2,New England Patriots / 4th / 98th pick /1987
RAI,2004,94,Akbar Gbaja-Biamila,25,DE,14,0,270,6-5,San Diego St.,5/6/1979,1,1,
RAI,2004,59,DeLawrence Grant,25,LLB,9,9,280,6-3,Oregon St.,11/18/1979,3,3,Oakland Raiders / 3rd / 89th pick /2001
RAI,2004,64,Jake Grove,24,RG,9,8,300,6-4,Virginia Tech,1/22/1980,Rook,4,Oakland Raiders / 2nd / 45th pick /2004
RAI,2004,98,Bobby Hamilton,33,RDE,16,15,280,6-5,Southern Miss,7/1/1971,8,5,
RAI,2004,58,Napoleon Harris,25,RLB,14,9,255,6-2,Northwestern,2/25/1979,2,3,Oakland Raiders / 1st / 23rd pick /2002
RAI,2004,44,Chris Hetherington,32,FB,5,2,245,6-3,Yale,11/27/1972,8,0,
RAI,2004,71,Corey Hulsey,27,G,3,0,325,6-4,Clemson,7/26/1977,3,0,
RAI,2004,96,Grant Irons,25,DE,8,2,265,6-5,Notre Dame,7/7/1979,2,1,
RAI,2004,11,Sebastian Janikowski,26,K,16,0,260,6-1,Florida St.,3/2/1978,4,4,Oakland Raiders / 1st / 17th pick /2000
RAI,2004,82,Teyo Johnson,23,TE,8,1,260,6-5,Stanford,11/29/1981,1,1,Oakland Raiders / 2nd / 63rd pick /2003
RAI,2004,51,Tim Johnson,26,LB,16,0,240,6-0,"East Mississippi CC,Youngstown St.",2/7/1978,2,1,
RAI,2004,88,Doug Jolley,25,TE,16,13,250,6-4,BYU,1/2/1979,2,3,Oakland Raiders / 2nd / 55th pick /2002
RAI,2004,93,Tommy Kelly,24,DE,10,3,310,6-6,"Hinds CC,Mississippi St.",12/27/1980,Rook,2,
RAI,2004,9,Shane Lechler,28,P,16,0,230,6-2,Texas A&M,8/7/1976,4,4,Oakland Raiders / 5th / 142nd pick /2000
RAI,2004,73,Frank Middleton,30,LG,7,7,330,6-4,Arizona,10/25/1974,7,4,Tampa Bay Buccaneers / 3rd / 63rd pick /1997
RAI,2004,19,Johnnie Morant,23,WR,4,0,220,6-4,Syracuse,12/7/1981,Rook,0,Oakland Raiders / 5th / 134th pick /2004
RAI,2004,42,Keyon Nash,25,DB,2,0,215,6-3,Albany State (GA),3/11/1979,Rook,0,Oakland Raiders / 6th / 189th pick /2002
RAI,2004,97,John Parrella,35,DT,16,0,300,6-3,Nebraska,11/22/1969,11,1,Buffalo Bills / 2nd / 55th pick /1993
RAI,2004,84,Jerry Porter,26,WR,16,16,220,6-2,West Virginia,7/14/1978,4,9,Oakland Raiders / 2nd / 47th pick /2000
RAI,2004,27,J.R. Redmond,27,RB,16,1,215,5-11,Arizona St.,9/28/1977,4,3,New England Patriots / 3rd / 76th pick /2000
RAI,2004,80,Jerry Rice,42,WR,6,5,200,6-2,Miss. Valley St.,10/13/1962,19,1,San Francisco 49ers / 1st / 16th pick /1985
