No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
24,Johnathan Abram,24,SS,13,13,205,5-11,Mississippi St.,10/25/1996,1,5,Oakland Raiders / 1st / 27th pick /2019,"$1,017,509",RAI,2020,2025-08-15 14:27:42
15,Nelson Agholor,27,WR,16,13,200,6-0,USC,5/24/1993,5,8,Philadelphia Eagles / 1st / 20th pick /2015,"$910,000",RAI,2020,2025-08-15 14:27:42
20,Damon Arnette,24,CB,9,7,195,6-0,Ohio St.,9/2/1996,Rook,2,Las Vegas Raiders / 1st / 19th pick /2020,"$437,058",RAI,2020,2025-08-15 14:27:42
51,Vic Beasley,28,DE,5,0,246,6-3,Clemson,7/8/1992,5,0,Atlanta Falcons / 1st / 8th pick /2015,,RAI,2020,2025-08-15 14:27:42
23,Devontae Booker,28,RB,16,1,219,5-11,Utah,5/27/1992,4,4,Denver Broncos / 4th / 136th pick /2016,"$910,000",RAI,2020,2025-08-15 14:27:42
77,Trent Brown,27,RT,5,5,380,6-8,"Georgia Military,Florida",4/13/1993,5,3,San Francisco 49ers / 7th / 244th pick /2015,"$21,250,000",RAI,2020,2025-08-15 14:27:42
2,Daniel Carlson,25,K,16,0,215,6-5,Auburn,1/23/1995,2,4,Minnesota Vikings / 5th / 167th pick /2018,"$750,000",RAI,2020,2025-08-15 14:27:42
4,Derek Carr,29,QB,16,16,215,6-3,Fresno St.,3/28/1991,6,14,Oakland Raiders / 2nd / 36th pick /2014,"$18,900,000",RAI,2020,2025-08-15 14:27:42
85,Derek Carrier,30,TE,16,0,240,6-3,Beloit,7/25/1990,7,0,,"$1,750,000",RAI,2020,2025-08-15 14:27:42
6,AJ Cole III,25,P,16,0,220,6-4,North Carolina St.,11/27/1995,1,1,,,RAI,2020,2025-08-15 14:27:42
97,Maliek Collins,25,RDT,12,11,310,6-2,Nebraska,4/8/1995,4,4,Dallas Cowboys / 3rd / 67th pick /2016,"$5,750,000",RAI,2020,2025-08-15 14:27:42
98,Maxx Crosby,23,RDE,16,16,255,6-5,Eastern Michigan,8/22/1997,1,7,Oakland Raiders / 4th / 106th pick /2019,"$610,000",RAI,2020,2025-08-15 14:27:42
18,Keelan Doss,24,WR,1,0,215,6-3,UC Davis,3/21/1996,1,0,,,RAI,2020,2025-08-15 14:27:42
89,Bryan Edwards,22,WR,12,3,212,6-3,South Carolina,11/13/1998,Rook,2,Las Vegas Raiders / 3rd / 81st pick /2020,"$610,000",RAI,2020,2025-08-15 14:27:42
52,Kyle Emanuel,29,LB,1,0,250,6-3,North Dakota St.,8/16/1991,5,0,San Diego Chargers / 5th / 153rd pick /2015,,RAI,2020,2025-08-15 14:27:42
96,Clelin Ferrell,23,LDE,11,11,265,6-4,Clemson,5/17/1997,1,4,Oakland Raiders / 1st / 4th pick /2019,"$1,920,492",RAI,2020,2025-08-15 14:27:42
10,Rico Gafford,24,DB,3,0,185,5-10,Wyoming,5/23/1996,2,0,,"$675,000",RAI,2020,2025-08-15 14:27:42
33,Rashaan Gaulden,25,DB,2,0,200,6-0,Tennessee,1/23/1995,2,0,Carolina Panthers / 3rd / 85th pick /2018,,RAI,2020,2025-08-15 14:27:42
71,Denzelle Good,29,LG,15,14,340,6-5,Mars Hill,3/8/1991,5,8,Indianapolis Colts / 7th / 255th pick /2015,"$1,400,000",RAI,2020,2025-08-15 14:27:42
90,Johnathan Hankins,28,LDT,16,16,335,6-3,Ohio St.,3/30/1992,7,6,New York Giants / 2nd / 49th pick /2013,"$3,750,000",RAI,2020,2025-08-15 14:27:42
25,Erik Harris,30,FS,14,12,225,6-2,California (PA),4/2/1990,4,4,,"$2,350,000",RAI,2020,2025-08-15 14:27:42
38,Jeff Heath,29,FS,13,5,212,6-1,Saginaw Valley St.,5/14/1991,7,3,,"$2,850,000",RAI,2020,2025-08-15 14:27:42
61,Rodney Hudson,31,C,16,16,315,6-2,Florida St.,7/12/1989,9,8,Kansas City Chiefs / 2nd / 55th pick /2011,"$1,050,000",RAI,2020,2025-08-15 14:27:42
73,Maurice Hurst Jr.,25,DT,11,3,290,6-2,Michigan,5/9/1995,2,2,Oakland Raiders / 5th / 140th pick /2018,"$520,590",RAI,2020,2025-08-15 14:27:42
64,Richie Incognito,37,G,2,2,322,6-4,"Nebraska,Oregon",7/5/1983,14,1,St. Louis Rams / 3rd / 81st pick /2005,"$5,000,000",RAI,2020,2025-08-15 14:27:42
45,Alec Ingold,24,FB,16,4,232,6-1,Wisconsin,7/9/1996,1,1,,"$675,000",RAI,2020,2025-08-15 14:27:42
95,David Irving,27,DT,2,0,290,6-7,Iowa St.,8/18/1993,5,0,,,RAI,2020,2025-08-15 14:27:42
66,Gabe Jackson,29,RG,16,16,335,6-3,Mississippi St.,7/12/1991,6,8,Oakland Raiders / 3rd / 81st pick /2014,"$9,350,000",RAI,2020,2025-08-15 14:27:42
28,Josh Jacobs,22,RB,15,15,223,5-10,Alabama,2/11/1998,1,8,Oakland Raiders / 1st / 24th pick /2019,"$1,037,427",RAI,2020,2025-08-15 14:27:42
68,Andre James,23,T,16,0,300,6-4,UCLA,5/2/1997,1,1,,"$675,000",RAI,2020,2025-08-15 14:27:42
31,Isaiah Johnson,25,DB,14,0,210,6-2,Houston,12/20/1995,1,1,Oakland Raiders / 4th / 129th pick /2019,"$675,000",RAI,2020,2025-08-15 14:27:42
95,Datone Jones,30,DE,1,0,285,6-4,UCLA,7/24/1990,7,0,Green Bay Packers / 1st / 26th pick /2013,,RAI,2020,2025-08-15 14:27:42
12,Zay Jones,25,WR,16,2,200,6-2,East Carolina,3/30/1995,3,2,Buffalo Bills / 2nd / 37th pick /2017,"$1,339,522",RAI,2020,2025-08-15 14:27:42
72,Jaryd Jones-Smith,25,T,3,0,320,6-7,Pittsburgh,9/3/1995,1,0,,,RAI,2020,2025-08-15 14:27:42
29,Lamarcus Joyner,30,LLB,14,6,185,5-8,Florida St.,11/27/1990,6,5,St. Louis Rams / 2nd / 41st pick /2014,"$4,600,000",RAI,2020,2025-08-15 14:27:42
99,Arden Key,24,DE,14,0,240,6-5,LSU,5/3/1996,2,1,Oakland Raiders / 3rd / 87th pick /2018,"$750,000",RAI,2020,2025-08-15 14:27:42
44,Nick Kwiatkoski,27,MLB,12,12,242,6-2,West Virginia,5/26/1993,4,5,Chicago Bears / 4th / 113th pick /2016,"$7,000,000",RAI,2020,2025-08-15 14:27:42
26,Nevin Lawson,29,RCB,14,9,192,5-9,Utah St.,4/23/1991,6,3,Detroit Lions / 4th / 133rd pick /2014,"$1,062,500",RAI,2020,2025-08-15 14:27:42
32,Dallin Leavitt,26,DB,9,0,195,5-10,Utah St.,8/8/1994,2,0,,"$555,884",RAI,2020,2025-08-15 14:27:42
42,Cory Littleton,27,RLB,14,14,225,6-3,Washington,11/18/1993,4,5,,"$910,000",RAI,2020,2025-08-15 14:27:42
37,Dylan Mabin,23,DB,1,0,195,6-1,Fordham,9/14/1997,1,0,,,RAI,2020,2025-08-15 14:27:42
62,Erik Magnuson,26,G,1,0,300,6-6,Michigan,1/5/1994,3,0,,,RAI,2020,2025-08-15 14:27:42
8,Marcus Mariota,27,QB,1,0,222,6-4,Oregon,10/30/1993,5,1,Tennessee Titans / 1st / 2nd pick /2015,"$7,500,000",RAI,2020,2025-08-15 14:27:42
54,Raekwon McMillan,25,LB,16,4,250,6-2,Ohio St.,11/17/1995,2,2,Miami Dolphins / 2nd / 54th pick /2017,"$1,105,573",RAI,2020,2025-08-15 14:27:42
74,Kolton Miller,25,LT,14,14,326,6-8,UCLA,9/2/1995,2,8,Oakland Raiders / 1st / 15th pick /2018,"$1,704,666",RAI,2020,2025-08-15 14:27:42
87,Foster Moreau,23,TE,16,2,250,6-4,LSU,5/6/1997,1,1,Oakland Raiders / 4th / 137th pick /2019,"$675,000",RAI,2020,2025-08-15 14:27:42
50,Nicholas Morrow,25,LLB,14,11,216,6-0,Greenville,7/10/1995,3,5,,"$3,259,000",RAI,2020,2025-08-15 14:27:42
27,Trayvon Mullen,23,LCB/RCB,16,16,194,6-2,Clemson,9/20/1997,1,6,Oakland Raiders / 2nd / 40th pick /2019,"$824,961",RAI,2020,2025-08-15 14:27:42
94,Carl Nassib,27,LDE,14,5,275,6-7,Penn St.,4/12/1993,4,3,Cleveland Browns / 3rd / 65th pick /2016,"$7,500,000",RAI,2020,2025-08-15 14:27:42
22,Keisean Nixon,23,DB,15,1,200,5-10,South Carolina,6/22/1997,1,1,,"$675,000",RAI,2020,2025-08-15 14:27:42
78,Patrick Omameh,31,G,6,0,327,6-4,Michigan,12/29/1989,6,0,,"$926,471",RAI,2020,2025-08-15 14:27:42
59,James Onwualu,26,LB,2,0,235,6-1,Notre Dame,9/4/1994,3,0,,,RAI,2020,2025-08-15 14:27:42
75,Brandon Parker,25,T,11,4,320,6-8,North Carolina A&T,10/21/1995,2,3,Oakland Raiders / 3rd / 65th pick /2018,"$852,304",RAI,2020,2025-08-15 14:27:42
3,Nathan Peterman,26,QB,1,0,225,6-2,"Tennessee,Pittsburgh",5/4/1994,3,0,Buffalo Bills / 5th / 171st pick /2017,"$1,000,000",RAI,2020,2025-08-15 14:27:42
13,Hunter Renfrow,25,WR,16,6,185,5-10,Clemson,12/21/1995,1,6,Oakland Raiders / 5th / 149th pick /2019,"$675,000",RAI,2020,2025-08-15 14:27:42
30,Jalen Richard,27,RB,13,0,207,5-8,Southern Miss,10/15/1993,4,2,,"$3,375,000",RAI,2020,2025-08-15 14:27:42
35,Theo Riddick,29,RB,4,0,201,5-9,Notre Dame,5/4/1991,7,0,Detroit Lions / 6th / 199th pick /2013,"$481,765",RAI,2020,2025-08-15 14:27:42
21,Amik Robertson,22,CB,8,0,183,5-9,Louisiana Tech,7/6/1998,Rook,0,Las Vegas Raiders / 4th / 139th pick /2020,"$610,000",RAI,2020,2025-08-15 14:27:42
93,Daniel Ross,27,DT,3,0,305,6-3,Northeast Mississippi CC,3/15/1993,3,0,,"$661,769",RAI,2020,2025-08-15 14:27:42
11,Henry Ruggs III,21,WR,13,12,190,6-0,Alabama,1/24/1999,Rook,4,Las Vegas Raiders / 1st / 12th pick /2020,,RAI,2020,2025-08-15 14:27:42
47,Trent Sieg,25,LS,16,0,240,6-3,Colorado St.,5/19/1995,2,1,,"$750,000",RAI,2020,2025-08-15 14:27:42
76,John Simpson,23,G,7,2,330,6-4,Clemson,8/19/1997,Rook,1,Las Vegas Raiders / 4th / 109th pick /2020,"$610,000",RAI,2020,2025-08-15 14:27:42
92,Chris Smith,28,DE,8,0,266,6-1,Arkansas,2/11/1992,6,1,Jacksonville Jaguars / 5th / 159th pick /2014,,RAI,2020,2025-08-15 14:27:42
91,Kendal Vickers,25,DE,15,2,295,6-3,Tennessee,5/23/1995,1,2,,"$610,000",RAI,2020,2025-08-15 14:27:42
83,Darren Waller,28,TE,16,15,238,6-6,Georgia Tech,9/13/1992,5,11,Baltimore Ravens / 6th / 204th pick /2015,"$7,280,000",RAI,2020,2025-08-15 14:27:42
53,Javin White,23,LB,4,0,211,6-2,UNLV,2/21/1997,Rook,0,,"$574,118",RAI,2020,2025-08-15 14:27:42
58,Kyle Wilber,31,LB,16,0,240,6-4,Wake Forest,4/26/1989,8,1,Dallas Cowboys / 4th / 113th pick /2012,"$1,050,000",RAI,2020,2025-08-15 14:27:42
82,Jason Witten,38,TE,16,7,263,6-6,Tennessee,5/6/1982,17,1,Dallas Cowboys / 3rd / 69th pick /2003,"$3,500,000",RAI,2020,2025-08-15 14:27:42
36,Daryl Worley,25,DB,2,1,210,6-1,West Virginia,2/22/1995,4,0,Carolina Panthers / 3rd / 77th pick /2016,,RAI,2020,2025-08-15 14:27:42
70,Sam Young,33,RT,11,7,302,6-8,Notre Dame,6/24/1987,10,4,Dallas Cowboys / 6th / 179th pick /2010,"$1,050,000",RAI,2020,2025-08-15 14:27:42
