Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
RAM,1973,35,Tony Baker,28,RB,14,0,229,5-11,Iowa St.,2/16/1945,5,4,
RAM,1973,45,Jim Bertelsen,23,FB,14,14,205,5-11,Texas,2/26/1950,1,15,Los Angeles Rams / 2nd / 30th pick /1972
RAM,1973,90,Larry Brooks,23,LDT,14,14,255,6-3,Virginia St.,6/10/1950,1,10,Los Angeles Rams / 14th / 355th pick /1972
RAM,1973,32,Cullen Bryant,22,RB,13,0,234,6-1,Colorado,5/20/1951,Rook,1,Los Angeles Rams / 2nd / 31st pick /1973
RAM,1973,10,Dave Chapple,26,P,14,0,184,6-0,UC Santa Barbara,3/30/1947,2,2,San Francisco 49ers / 10th / 250th pick /1969
RAM,1973,44,Al Clark,25,DB,14,0,185,6-0,"Grambling St.,Northern Arizona,Eastern Michigan",2/29/1948,2,4,Detroit Lions / 3rd / 72nd pick /1971
RAM,1973,73,Charlie Cowan,35,LT,14,14,264,6-4,New Mex. Highlands,6/19/1938,12,9,"Denver Broncos / 5th / 36th pick /1961, Los Angeles Rams / 4th / 45th pick /1961"
RAM,1973,88,Pat Curran,28,TE,14,0,238,6-4,"Iowa St.,Lakeland",9/21/1945,4,1,Los Angeles Rams / 6th / 151st pick /1969
RAM,1973,37,Bill Drake,23,DB,4,0,195,6-1,Oregon,5/22/1950,Rook,2,
RAM,1973,89,Fred Dryer,27,RDE,14,14,240,6-6,San Diego St.,7/6/1946,4,11,New York Giants / 1st / 13th pick /1969
RAM,1973,42,Dave Elmendorf,24,SS,14,14,195,6-1,Texas A&M,6/20/1949,2,8,Los Angeles Rams / 3rd / 63rd pick /1971
RAM,1973,36,Ken Geddes,27,LLB,14,14,235,6-3,Nebraska,9/27/1946,2,9,Detroit Lions / 7th / 175th pick /1970
RAM,1973,5,Dick Gordon,29,WR,5,0,190,5-11,Michigan St.,1/1/1944,8,0,Chicago Bears / 7th / 88th pick /1965
RAM,1973,21,John Hadl,33,QB,14,14,214,6-1,Kansas,2/15/1940,11,15,"Detroit Lions / 1st / 10th pick /1962, San Diego Chargers / 3rd / 24th pick /1962"
RAM,1973,11,James Harris,26,QB,8,0,210,6-4,Grambling St.,7/20/1947,4,1,Buffalo Bills / 8th / 192nd pick /1969
RAM,1973,50,Ken Iman,34,C,14,14,240,6-1,SE Missouri St.,2/8/1939,13,9,
RAM,1973,29,Harold Jackson,27,WR,14,14,175,5-10,Jackson St.,1/6/1946,5,18,Los Angeles Rams / 12th / 323rd pick /1968
RAM,1973,34,Les Josephson,31,RB,14,0,207,6-1,Augustana (SD),7/29/1942,9,2,
RAM,1973,52,Rick Kay,24,LB,14,0,235,6-4,Colorado,11/10/1949,1,4,
RAM,1973,80,Bob Klein,26,TE,14,14,235,6-5,USC,7/27/1947,4,6,Los Angeles Rams / 1st / 21st pick /1969
RAM,1973,65,Tom Mack,30,LG,14,14,250,6-3,Michigan,11/1/1943,7,12,Los Angeles Rams / 1st / 2nd pick /1966
RAM,1973,30,Lawrence McCutcheon,23,RB,12,12,205,6-1,Colorado St.,6/2/1950,1,19,Los Angeles Rams / 3rd / 70th pick /1972
RAM,1973,41,Eddie McMillan,22,LCB,14,14,189,6-0,Florida St.,11/25/1951,Rook,8,Los Angeles Rams / 4th / 95th pick /1973
RAM,1973,67,Bill Nelson,25,DT,12,0,270,6-7,Oregon St.,3/9/1948,2,4,Los Angeles Rams / 7th / 168th pick /1970
RAM,1973,83,Terry Nelson,22,TE,2,0,233,6-2,Ark-Pine Bluff,5/20/1951,Rook,0,Los Angeles Rams / 4th / 99th pick /1973
RAM,1973,74,Merlin Olsen,33,RDT,14,14,270,6-5,Utah St.,9/15/1940,11,11,"Denver Broncos / 1st / 2nd pick /1962, Los Angeles Rams / 1st / 3rd pick /1962"
RAM,1973,72,Phil Olsen,25,DT,14,0,265,6-5,Utah St.,4/26/1948,2,4,Boston Patriots / 1st / 4th pick /1970
RAM,1973,20,Steve Preece,26,FS,14,14,195,6-1,Oregon St.,2/15/1947,4,10,
RAM,1973,27,David Ray,29,K,14,0,195,6-0,Alabama,9/19/1944,4,2,Cleveland Browns / 16th / 243rd pick /1966
RAM,1973,64,Jack Reynolds,26,MLB,14,14,232,6-1,Tennessee,11/22/1947,3,11,Los Angeles Rams / 1st / 22nd pick /1970
RAM,1973,58,Isiah Robertson,24,RLB,14,14,225,6-3,Southern,8/17/1949,2,17,Los Angeles Rams / 1st / 10th pick /1971
RAM,1973,61,Rich Saul,25,LS,14,0,241,6-3,Michigan St.,2/5/1948,3,5,Los Angeles Rams / 8th / 204th pick /1970
RAM,1973,79,Harry Schuh,31,T,14,0,260,6-3,Memphis,9/25/1942,8,5,Oakland Raiders / 1st / 3rd pick /1965
