Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
SDG,1986,42,Curtis Adams,24,RB,7,2,198,6-0,Central Michigan,4/30/1962,1,3,San Diego Chargers / 8th / 207th pick /1985
SDG,1986,56,Ty Allert,23,LB,16,3,233,6-2,Texas,7/23/1963,Rook,2,San Diego Chargers / 4th / 95th pick /1986
SDG,1986,40,Gary Anderson,25,RB,16,12,185,6-0,Arkansas,4/18/1961,1,11,San Diego Chargers / 1st / 20th pick /1983
SDG,1986,6,Rolf Benirschke,31,K,16,0,171,6-0,UC Davis,2/7/1955,9,1,Oakland Raiders / 12th / 334th pick /1977
SDG,1986,57,Thomas Benson,25,RILB,16,16,238,6-2,Oklahoma,9/6/1961,2,7,Atlanta Falcons / 2nd / 36th pick /1984
SDG,1986,32,Donald Brown,23,RCB,13,7,189,5-11,"Oklahoma,Maryland",11/28/1963,Rook,4,San Diego Chargers / 5th / 129th pick /1986
SDG,1986,22,Gill Byrd,25,FS/RCB,15,14,195,5-11,San Jose St.,2/20/1961,3,6,San Diego Chargers / 1st / 22nd pick /1983
SDG,1986,89,Wes Chandler,30,WR,16,14,196,6-0,Florida,8/22/1956,8,8,New Orleans Saints / 1st / 3rd pick /1978
SDG,1986,77,Sam Claphan,30,LG,16,14,285,6-6,Oklahoma,10/10/1956,5,7,Cleveland Browns / 2nd / 47th pick /1979
SDG,1986,37,Jeffery Dale,24,SS,16,16,211,6-3,LSU,10/6/1962,1,7,San Diego Chargers / 2nd / 55th pick /1985
SDG,1986,61,Ken Dallafior,27,T,12,1,276,6-4,Minnesota,8/26/1959,1,1,Pittsburgh Steelers / 5th / 124th pick /1982
SDG,1986,20,Wayne Davis,23,LCB,16,5,175,5-11,Indiana St.,7/17/1963,1,3,San Diego Chargers / 2nd / 39th pick /1985
SDG,1986,75,Curt DiGiacomo,23,G,3,0,270,6-4,Arizona,10/24/1963,Rook,0,
SDG,1986,53,Mike Douglass,31,LB,7,0,220,6-0,"Arizona St.,San Diego St.",3/15/1955,8,1,Green Bay Packers / 5th / 116th pick /1978
SDG,1986,78,Chuck Ehin,25,NT,12,9,261,6-4,BYU,7/1/1961,3,4,San Diego Chargers / 12th / 329th pick /1983
SDG,1986,52,Mark Fellows,23,LB,1,0,233,6-1,Montana St.,2/26/1963,1,0,San Diego Chargers / 7th / 196th pick /1985
SDG,1986,70,James FitzPatrick,22,T,4,0,305,6-8,USC,2/1/1964,Rook,0,San Diego Chargers / 1st / 13th pick /1986
SDG,1986,12,Tom Flick,28,QB,11,3,190,6-2,Washington,8/30/1958,5,1,Washington Redskins / 4th / 90th pick /1981
SDG,1986,14,Dan Fouts,35,QB,12,12,204,6-3,Oregon,6/10/1951,13,9,San Diego Chargers / 3rd / 64th pick /1973
SDG,1986,25,Vencie Glenn,22,FS,12,7,205,6-0,Indiana St.,10/26/1964,Rook,4,New England Patriots / 2nd / 54th pick /1986
