Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
SEA,1995,98,Sam Adams,22,LDT,16,5,350,6-3,Texas A&M,6/13/1973,1,3,Seattle Seahawks / 1st / 8th pick /1994
SEA,1995,74,James Atkins,25,LT,16,16,306,6-6,Louisiana,1/28/1970,1,8,
SEA,1995,75,Howard Ballard,32,RT,16,16,325,6-6,Alabama A&M,11/3/1963,7,8,Buffalo Bills / 11th / 283rd pick /1987
SEA,1995,54,Mike Barber,24,LB,2,0,246,6-0,Clemson,11/9/1971,Rook,0,
SEA,1995,20,Jay Bellamy,23,DB,15,0,200,5-11,Rutgers,7/8/1972,1,1,
SEA,1995,50,Duane Bickett,33,LB,15,0,251,6-5,USC,12/1/1962,10,1,Indianapolis Colts / 1st / 5th pick /1985
SEA,1995,25,Robert Blackmon,28,SS,13,13,208,6-0,Baylor,5/12/1967,5,7,Seattle Seahawks / 2nd / 34th pick /1990
SEA,1995,69,Jeff Blackshear,26,G,16,3,323,6-6,"Northwest Mississippi CC,La-Monroe",3/29/1969,2,3,Seattle Seahawks / 8th / 197th pick /1993
SEA,1995,89,Brian Blades,30,WR,16,16,189,5-11,Miami (FL),7/24/1965,7,10,Seattle Seahawks / 2nd / 49th pick /1988
SEA,1995,31,Steve Broussard,28,RB,15,1,201,5-7,Washington St.,2/22/1967,5,2,Atlanta Falcons / 1st / 20th pick /1990
SEA,1995,29,Tony Brown,25,DB,16,0,183,5-9,Fresno St.,5/15/1970,3,1,Houston Oilers / 5th / 135th pick /1992
SEA,1995,27,Tony Covington,28,DB,11,0,192,5-11,Virginia,12/26/1967,4,1,Tampa Bay Buccaneers / 4th / 93rd pick /1991
SEA,1995,87,Carlester Crumpler,24,TE,16,7,260,6-6,East Carolina,9/5/1971,1,2,Seattle Seahawks / 7th / 202nd pick /1994
SEA,1995,94,Antonio Edwards,25,RDE,13,7,271,6-3,Valdosta St.,3/10/1970,2,5,Seattle Seahawks / 8th / 204th pick /1993
SEA,1995,85,Christian Fauria,24,TE,14,9,250,6-4,Colorado,9/22/1971,Rook,2,Seattle Seahawks / 2nd / 39th pick /1995
SEA,1995,17,John Friesz,28,QB,6,3,214,6-4,Idaho,5/19/1967,5,3,San Diego Chargers / 6th / 138th pick /1990
SEA,1995,84,Joey Galloway,24,WR,16,16,200,5-11,Ohio St.,11/20/1971,Rook,12,Seattle Seahawks / 1st / 8th pick /1995
SEA,1995,26,Carlton Gray,24,LCB,16,16,198,6-0,UCLA,6/26/1971,2,7,Seattle Seahawks / 2nd / 30th pick /1993
SEA,1995,30,Corey Harris,26,RCB,16,16,213,5-11,Vanderbilt,10/25/1969,3,8,Houston Oilers / 3rd / 77th pick /1992
SEA,1995,81,Ronnie Harris,25,WR,13,0,179,5-11,Oregon,6/4/1970,2,0,
