Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
SFO,1996,92,Roy Barker,27,LDE,16,16,287,6-5,North Carolina,2/14/1969,4,9,Minnesota Vikings / 4th / 98th pick /1992
SFO,1996,79,Harris Barton,32,RT,13,13,286,6-4,North Carolina,4/19/1964,9,7,San Francisco 49ers / 1st / 22nd pick /1987
SFO,1996,99,Daved Benefield,28,LB,15,0,231,6-4,Cal State-Northridge,2/16/1968,Rook,1,
SFO,1996,78,Michael Brandon,28,DE,4,0,290,6-4,Florida,7/30/1968,3,0,Indianapolis Colts / 12th / 309th pick /1992
SFO,1996,11,Jeff Brohm,25,QB,3,0,205,6-1,Louisville,4/24/1971,1,1,
SFO,1996,96,Dennis Brown,29,DE,15,0,290,6-4,Washington,11/6/1967,6,2,San Francisco 49ers / 2nd / 47th pick /1990
SFO,1996,65,Ray Brown,34,LG,16,16,318,6-5,"Memphis,Arkansas St.",12/12/1962,10,9,St. Louis Cardinals / 8th / 201st pick /1986
SFO,1996,90,Junior Bryant,25,DT,16,1,278,6-4,Notre Dame,1/16/1971,1,2,
SFO,1996,28,Curtis Buckley,26,S,15,0,186,6-0,Texas A&M-Commerce,9/25/1970,3,2,
SFO,1996,17,Mike Caldwell,25,WR,1,0,200,6-2,California,3/28/1971,1,0,
SFO,1996,35,Dexter Carter,29,RB,16,0,170,5-9,Florida St.,9/15/1967,6,1,San Francisco 49ers / 1st / 25th pick /1990
SFO,1996,49,Adrian Cooper,28,TE,6,0,255,6-5,Oklahoma,4/27/1968,5,0,Pittsburgh Steelers / 4th / 103rd pick /1991
SFO,1996,67,Chris Dalman,26,RG,16,16,287,6-3,Stanford,3/15/1970,3,9,San Francisco 49ers / 6th / 166th pick /1993
SFO,1996,63,Derrick Deese,26,G,16,0,289,6-3,USC,5/17/1970,2,2,
SFO,1996,33,Dedrick Dodge,29,DB,16,3,184,6-2,Florida St.,6/14/1967,5,3,
SFO,1996,56,Chris Doleman,35,RDE,16,16,289,6-5,Pittsburgh,10/16/1961,11,11,Minnesota Vikings / 1st / 4th pick /1985
SFO,1996,22,Tyronne Drakeford,25,LCB,16,16,185,5-11,Virginia Tech,6/21/1971,2,7,San Francisco 49ers / 2nd / 62nd pick /1994
SFO,1996,40,William Floyd,24,FB,9,8,242,6-1,Florida St.,2/17/1972,2,4,San Francisco 49ers / 1st / 28th pick /1994
SFO,1996,18,Elvis Grbac,26,QB,15,4,232,6-5,Michigan,8/13/1970,2,3,San Francisco 49ers / 8th / 219th pick /1993
SFO,1996,36,Merton Hanks,28,FS,16,16,185,6-2,Iowa,3/12/1968,5,12,San Francisco 49ers / 5th / 122nd pick /1991
SFO,1996,77,Tim Hanshaw,26,G,1,0,300,6-5,BYU,4/27/1970,Rook,0,San Francisco 49ers / 4th / 127th pick /1995
SFO,1996,19,Mark Harris,26,WR,1,0,201,6-4,"Southern Utah,Stanford",4/28/1970,Rook,0,
SFO,1996,95,Israel Ifeanyi,26,DE,3,0,246,6-3,USC,11/21/1970,Rook,0,San Francisco 49ers / 2nd / 46th pick /1996
SFO,1996,31,Steve Israel,27,DB,14,2,194,5-11,Pittsburgh,3/16/1969,4,2,Los Angeles Rams / 2nd / 30th pick /1992
SFO,1996,84,Brent Jones,33,TE,11,10,230,6-4,Santa Clara,2/12/1963,9,5,Pittsburgh Steelers / 5th / 135th pick /1986
SFO,1996,41,Terry Kirby,26,RB,14,10,221,6-1,Virginia,1/20/1970,3,9,Miami Dolphins / 3rd / 78th pick /1993
SFO,1996,57,Randy Kirk,32,LB,16,0,232,6-2,San Diego St.,12/27/1964,9,1,
SFO,1996,17,Kevin Lee,25,WR,2,0,194,6-1,Alabama,1/1/1971,1,0,New England Patriots / 2nd / 35th pick /1994
SFO,1996,20,Derek Loville,28,RB,12,6,203,5-10,Oregon,7/4/1968,6,3,
SFO,1996,29,Anthony Lynn,28,RB,16,1,230,6-3,Texas Tech,12/21/1968,3,1,
SFO,1996,86,Sean Manuel,23,TE,11,0,245,6-2,New Mexico St.,12/1/1973,Rook,0,San Francisco 49ers / 7th / 239th pick /1996
SFO,1996,46,Tim McDonald,31,SS,16,16,215,6-2,USC,1/6/1965,9,7,St. Louis Cardinals / 2nd / 34th pick /1987
SFO,1996,69,Rod Milstead,27,G,11,0,290,6-2,Delaware St.,11/10/1969,2,1,Dallas Cowboys / 5th / 121st pick /1992
SFO,1996,55,Kevin Mitchell,25,LB,12,3,258,6-1,Syracuse,1/1/1971,2,2,San Francisco 49ers / 2nd / 53rd pick /1994
SFO,1996,51,Ken Norton Jr.,30,MLB,16,16,254,6-2,UCLA,9/29/1966,8,9,Dallas Cowboys / 2nd / 41st pick /1988
