No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Salary,Team,Year,Scraped_Date
11,Brandon Aiyuk,22,WR,12,11,200,6-0,Arizona St.,3/17/1998,Rook,6,San Francisco 49ers / 1st / 25th pick /2020,"$610,000",SFO,2020,2025-08-15 14:31:42
51,Azeez Al-Shaair,23,LLB,16,5,228,6-2,Florida Atlantic,8/4/1997,1,4,,"$675,000",SFO,2020,2025-08-15 14:31:42
56,Kwon Alexander,26,LLB,5,5,227,6-1,LSU,8/3/1994,5,3,Tampa Bay Buccaneers / 4th / 124th pick /2015,"$976,325",SFO,2020,2025-08-15 14:31:42
48,Brian Allen,27,DB,1,1,215,6-3,Utah,10/21/1993,3,0,Pittsburgh Steelers / 5th / 173rd pick /2017,,SFO,2020,2025-08-15 14:31:42
94,Ezekiel Ansah,31,DE,2,0,275,6-5,BYU,5/29/1989,7,0,Detroit Lions / 1st / 5th pick /2013,"$1,250,000",SFO,2020,2025-08-15 14:31:42
91,Arik Armstead,27,LDE,16,16,290,6-7,Oregon,11/15/1993,5,8,San Francisco 49ers / 1st / 17th pick /2015,"$2,500,000",SFO,2020,2025-08-15 14:31:42
64,Alex Barrett,26,DE,7,0,250,6-2,San Diego St.,3/6/1994,3,1,,"$466,466",SFO,2020,2025-08-15 14:31:42
3,C.J. Beathard,27,QB,6,2,215,6-2,Iowa,11/16/1993,3,2,San Francisco 49ers / 3rd / 104th pick /2017,"$946,179",SFO,2020,2025-08-15 14:31:42
62,Tony Bergstrom,34,T,4,0,310,6-5,Utah,8/8/1986,8,0,Oakland Raiders / 3rd / 95th pick /2012,,SFO,2020,2025-08-15 14:31:42
47,Briean Boddy-Calhoun,27,DB,1,0,193,5-9,Minnesota,1/21/1993,4,0,,,SFO,2020,2025-08-15 14:31:42
97,Nick Bosa,23,DE,2,2,266,6-4,Ohio St.,10/23/1997,1,1,San Francisco 49ers / 1st / 2nd pick /2019,"$454,412",SFO,2020,2025-08-15 14:31:42
84,Kendrick Bourne,25,WR,15,5,205,6-1,Eastern Washington,8/4/1995,3,5,,"$3,259,000",SFO,2020,2025-08-15 14:31:42
60,Daniel Brunskill,26,RG/C,16,16,300,6-5,San Diego St.,1/27/1994,1,7,,"$675,000",SFO,2020,2025-08-15 14:31:42
77,Josiah Coatney,24,DT,1,0,325,6-4,Mississippi,1/4/1996,Rook,0,,,SFO,2020,2025-08-15 14:31:42
17,Matt Cole,24,WR,1,0,200,5-10,McKendree University,11/7/1996,Rook,0,,,SFO,2020,2025-08-15 14:31:42
26,Tevin Coleman,27,RB,8,1,210,6-1,Indiana,4/16/1993,5,1,Atlanta Falcons / 3rd / 73rd pick /2015,"$4,550,000",SFO,2020,2025-08-15 14:31:42
66,Tom Compton,31,T,7,3,315,6-6,South Dakota,5/10/1989,7,2,Washington Redskins / 6th / 193rd pick /2012,"$1,050,000",SFO,2020,2025-08-15 14:31:42
86,River Cracraft,26,WR,9,1,198,6-0,Washington St.,11/1/1994,2,0,,"$317,647",SFO,2020,2025-08-15 14:31:42
32,Johnathan Cyprien,30,DB,4,0,211,6-1,Florida International,7/29/1990,7,0,Jacksonville Jaguars / 2nd / 33rd pick /2013,"$428,235",SFO,2020,2025-08-15 14:31:42
65,Darrion Daniels,23,DT,4,0,325,6-4,Nebraska,12/4/1997,Rook,0,,,SFO,2020,2025-08-15 14:31:42
82,Ross Dwelley,25,TE,16,9,235,6-5,San Diego,1/26/1995,2,2,,"$750,000",SFO,2020,2025-08-15 14:31:42
45,Demetrius Flannigan-Fowles,24,DB,11,1,210,6-2,Arizona,9/4/1996,1,2,,"$610,000",SFO,2020,2025-08-15 14:31:42
55,Dee Ford,29,LB,1,0,252,6-2,Auburn,3/19/1991,6,0,Kansas City Chiefs / 1st / 23rd pick /2014,"$910,000",SFO,2020,2025-08-15 14:31:42
63,Ben Garland,32,C,5,5,308,6-5,Air Force,4/6/1988,6,2,,"$1,750,000",SFO,2020,2025-08-15 14:31:42
10,Jimmy Garoppolo,29,QB,6,6,225,6-2,Eastern Illinois,11/2/1991,6,3,New England Patriots / 2nd / 62nd pick /2014,"$23,800,000",SFO,2020,2025-08-15 14:31:42
90,Kevin Givens,23,DT,13,1,285,6-1,Penn St.,3/1/1997,1,2,,"$610,000",SFO,2020,2025-08-15 14:31:42
9,Robbie Gould,38,K,15,0,190,6-0,Penn St.,12/6/1982,15,3,,"$4,350,000",SFO,2020,2025-08-15 14:31:42
50,Hroniss Grasu,29,C,9,3,301,6-3,Oregon,8/12/1991,5,1,Chicago Bears / 3rd / 71st pick /2015,"$802,941",SFO,2020,2025-08-15 14:31:42
57,Dre Greenlaw,23,RLB/LLB,13,11,230,6-0,Arkansas,5/25/1997,1,6,San Francisco 49ers / 5th / 148th pick /2019,"$675,000",SFO,2020,2025-08-15 14:31:42
36,Marcell Harris,26,DB,16,4,215,6-0,Florida,6/9/1994,2,3,San Francisco 49ers / 6th / 184th pick /2018,"$750,000",SFO,2020,2025-08-15 14:31:42
35,Tim Harris,25,DB,2,0,197,6-2,Virginia,7/31/1995,1,0,San Francisco 49ers / 6th / 198th pick /2019,"$510,000",SFO,2020,2025-08-15 14:31:42
38,Jamycal Hasty,24,RB,8,0,205,5-8,Baylor,9/12/1996,Rook,1,,"$502,353",SFO,2020,2025-08-15 14:31:42
88,Daniel Helm,25,TE,5,0,248,6-4,Duke,4/20/1995,1,0,,"$555,882",SFO,2020,2025-08-15 14:31:42
61,Willie Henry,26,DT,1,0,291,6-3,Michigan,3/20/1994,3,0,Baltimore Ravens / 4th / 132nd pick /2016,,SFO,2020,2025-08-15 14:31:42
40,Colin Holba,26,LS,1,0,248,6-4,Louisville,7/8/1994,3,0,Pittsburgh Steelers / 6th / 213th pick /2017,,SFO,2020,2025-08-15 14:31:42
