Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
TAM,2005,46,Blue Adams,26,DB,13,0,182,5-9,Cincinnati,10/15/1979,2,1,Detroit Lions / 7th / 220th pick /2003
TAM,2005,26,Will Allen,23,FS,13,8,202,6-1,Ohio St.,6/17/1982,1,4,Tampa Bay Buccaneers / 4th / 111th pick /2004
TAM,2005,40,Mike Alstott,32,FB,16,7,248,6-1,Purdue,12/21/1973,9,3,Tampa Bay Buccaneers / 2nd / 35th pick /1996
TAM,2005,20,Ronde Barber,30,RCB,16,16,184,5-10,Virginia,4/7/1975,8,17,Tampa Bay Buccaneers / 3rd / 66th pick /1997
TAM,2005,88,Anthony Becht,28,TE,16,16,270,6-6,West Virginia,8/8/1977,5,1,New York Jets / 1st / 27th pick /2000
TAM,2005,9,Josh Bidwell,29,P,16,0,230,6-3,Oregon,3/13/1976,5,4,Green Bay Packers / 4th / 133rd pick /1999
TAM,2005,21,Juran Bolden,31,DB,16,2,207,6-2,Mississippi Delta CC,6/27/1974,9,2,Atlanta Falcons / 4th / 127th pick /1996
TAM,2005,91,Jon Bradley,24,DT,13,0,301,6-0,Arkansas St.,1/13/1981,1,1,
TAM,2005,55,Derrick Brooks,32,RLB,16,16,235,6-0,Florida St.,4/18/1973,10,16,Tampa Bay Buccaneers / 1st / 28th pick /1995
TAM,2005,64,Anthony Bryant,24,DT,4,0,360,6-3,Alabama,11/6/1981,Rook,0,Tampa Bay Buccaneers / 6th / 178th pick /2005
TAM,2005,3,Matt Bryant,30,K,15,0,203,5-9,Baylor,5/29/1975,3,4,
TAM,2005,72,Dan Buenning,24,LG,16,16,313,6-4,Wisconsin,10/26/1981,Rook,7,Tampa Bay Buccaneers / 4th / 107th pick /2005
TAM,2005,80,Michael Clayton,23,WR,14,10,202,6-3,LSU,10/13/1982,1,3,Tampa Bay Buccaneers / 1st / 15th pick /2004
TAM,2005,43,Jameel Cook,26,FB,16,0,237,5-10,Illinois,2/8/1979,4,0,Tampa Bay Buccaneers / 6th / 174th pick /2001
TAM,2005,58,Marquis Cooper,23,LB,12,0,213,6-3,Washington,3/11/1982,1,1,Tampa Bay Buccaneers / 3rd / 79th pick /2004
TAM,2005,27,Torrie Cox,25,DB,15,0,192,5-10,Pittsburgh,10/29/1980,1,1,Tampa Bay Buccaneers / 6th / 205th pick /2003
TAM,2005,69,Anthony Davis,25,LT,16,16,329,6-4,Virginia Tech,3/27/1980,1,7,
TAM,2005,4,Todd France,25,K,1,0,200,6-3,Toledo,2/13/1980,Rook,0,
TAM,2005,84,Joey Galloway,34,WR,16,16,200,5-11,Ohio St.,11/20/1971,10,12,Seattle Seahawks / 1st / 8th pick /1995
TAM,2005,33,Earnest Graham,25,RB,16,0,225,5-9,Florida,1/15/1980,1,1,
TAM,2005,8,Brian Griese,30,QB,6,6,214,6-3,Michigan,3/18/1975,7,3,Denver Broncos / 3rd / 91st pick /1998
TAM,2005,19,Ike Hilliard,29,WR,16,2,210,5-11,Florida,4/5/1976,8,3,New York Giants / 1st / 7th pick /1997
