Team,Year,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr)
WAS,1992,98,Tony Barker,24,LB,8,2,230,6-2,Rice,9/9/1968,Rook,1,Washington Redskins / 10th / 280th pick /1992
WAS,1992,57,Guy Bingham,34,LS,15,0,255,6-3,Montana,2/25/1958,12,1,New York Jets / 10th / 260th pick /1980
WAS,1992,53,Jeff Bostic,34,C,4,4,268,6-2,Clemson,9/18/1958,12,2,
WAS,1992,22,Todd Bowles,29,DB,16,4,203,6-2,Temple,11/18/1963,6,3,
WAS,1992,82,John Brandes,28,TE,1,0,249,6-2,Cameron,4/2/1964,5,0,
WAS,1992,59,John Brantley,27,LB,12,2,243,6-2,Georgia,10/23/1965,3,2,Houston Oilers / 12th / 325th pick /1988
WAS,1992,67,Ray Brown,30,LG,16,8,318,6-5,"Memphis,Arkansas St.",12/12/1962,6,5,St. Louis Cardinals / 8th / 201st pick /1986
WAS,1992,99,Jason Buck,29,LDT,16,5,268,6-5,BYU,7/27/1963,5,4,Cincinnati Bengals / 1st / 17th pick /1987
WAS,1992,21,Earnest Byner,30,RB,16,16,215,5-10,East Carolina,9/15/1962,8,10,Cleveland Browns / 10th / 280th pick /1984
WAS,1992,50,Ravin Caldwell,29,LB,4,0,233,6-3,Arkansas,8/4/1963,5,0,Washington Redskins / 5th / 113th pick /1986
WAS,1992,84,Gary Clark,30,WR,16,14,173,5-9,James Madison,5/1/1962,7,9,Washington Redskins / 2nd / 55th pick /1984Supp
WAS,1992,51,Monte Coleman,35,LB,15,0,242,6-2,Central Arkansas,11/4/1957,13,1,Washington Redskins / 11th / 289th pick /1979
WAS,1992,55,Andre Collins,24,RLB,14,14,237,6-1,Penn St.,5/4/1968,2,8,Washington Redskins / 2nd / 46th pick /1990
WAS,1992,91,Shane Collins,23,RDE,16,5,267,6-3,Arizona St.,4/11/1969,Rook,3,Washington Redskins / 2nd / 47th pick /1992
WAS,1992,12,Cary Conklin,24,QB,1,0,220,6-4,Washington,2/29/1968,1,0,Washington Redskins / 4th / 86th pick /1990
WAS,1992,26,Danny Copeland,26,SS,13,13,210,6-2,Eastern Kentucky,1/24/1966,3,6,Cleveland Browns / 9th / 244th pick /1988
WAS,1992,27,Brad Edwards,26,FS,16,16,208,6-2,South Carolina,3/22/1966,4,8,Minnesota Vikings / 2nd / 54th pick /1988
WAS,1992,25,Pat Eilers,26,DB,1,0,197,5-11,"Yale,Notre Dame",9/3/1966,2,0,
WAS,1992,64,Mohammed Elewonibi,27,T,5,4,286,6-4,BYU,12/16/1965,1,3,Washington Redskins / 3rd / 76th pick /1990
WAS,1992,52,Matt Elliott,24,C,16,2,288,6-3,Michigan,10/1/1968,Rook,2,Washington Redskins / 12th / 336th pick /1992
WAS,1992,32,Ricky Ervins,24,RB,16,0,195,5-7,USC,12/7/1968,1,6,Washington Redskins / 3rd / 76th pick /1991
WAS,1992,97,Jumpy Geathers,32,DT,16,0,290,6-7,Wichita St.,6/26/1960,8,2,New Orleans Saints / 2nd / 42nd pick /1984
WAS,1992,2,Kelly Goodburn,30,P,16,0,195,6-2,"Emporia St.,Iowa St.",4/14/1962,5,1,
WAS,1992,54,Kurt Gouveia,28,MLB,16,14,233,6-1,BYU,9/14/1964,5,8,Washington Redskins / 8th / 213th pick /1986
WAS,1992,28,Darrell Green,32,RCB,8,7,184,5-9,Texas A&M-Kingsville,2/15/1960,9,3,Washington Redskins / 1st / 28th pick /1983
WAS,1992,39,Robert Green,22,RB,15,0,212,5-8,William & Mary,9/10/1970,Rook,0,
WAS,1992,29,David Gulledge,25,DB,4,0,203,6-1,Jacksonville St.,10/26/1967,Rook,0,Washington Redskins / 11th / 299th pick /1991
WAS,1992,72,Mike Haight,30,T,7,0,281,6-4,Iowa,10/6/1962,6,1,New York Jets / 1st / 22nd pick /1986
WAS,1992,24,Carl Harry,25,WR,1,0,168,5-9,Utah,10/26/1967,3,0,
WAS,1992,86,Stephen Hobbs,27,WR,2,0,200,5-11,North Alabama,11/14/1965,2,0,
