Team,OFF,QB,RB,WR,TE,OL,DEF,DL,LB,SEC,SPT,K,P,LS,Total,Year,Scraped_Date
CAR,86.91M,23.02M,11.37M,10.40M,15.96M,26.73M,79.06M,36.26M,27.88M,14.92M,8.09M,4.65M,2.40M,1.04M,175.45M,2017,2025-08-15 15:19:00
WAS,92.07M,27.62M,5.15M,12.46M,11.84M,36.03M,78.27M,16.32M,25.07M,36.88M,3.43M,0.88M,1.50M,1.05M,174.81M,2017,2025-08-15 15:19:00
PHI,94.02M,19.96M,8.79M,20.91M,10.00M,35.14M,74.28M,37.35M,15.59M,21.34M,3.50M,1.49M,1.38M,0.63M,172.57M,2017,2025-08-15 15:19:00
MIA,82.38M,33.19M,3.76M,10.13M,9.68M,26.82M,86.51M,44.29M,14.49M,27.74M,1.85M,0.69M,0.47M,0.70M,171.95M,2017,2025-08-15 15:19:00
JAX,75.02M,10.18M,14.12M,14.25M,10.88M,25.35M,91.59M,46.64M,13.13M,31.83M,4.10M,0.62M,1.90M,1.58M,171.29M,2017,2025-08-15 15:19:00
ARI,90.90M,29.43M,4.30M,21.99M,6.21M,29.48M,73.09M,12.20M,24.52M,36.37M,4.78M,2.50M,1.41M,0.87M,169.35M,2017,2025-08-15 15:19:00
GB,91.22M,21.45M,3.17M,31.72M,6.94M,29.10M,69.20M,17.02M,28.63M,23.55M,6.06M,3.60M,1.09M,1.37M,168.49M,2017,2025-08-15 15:19:00
KC,70.09M,21.42M,4.43M,7.99M,7.56M,26.94M,89.60M,24.24M,42.91M,22.45M,7.80M,2.18M,4.90M,0.73M,167.78M,2017,2025-08-15 15:19:00
CHI,84.60M,23.18M,2.91M,17.32M,10.04M,32.55M,76.57M,16.48M,33.62M,26.47M,4.51M,2.49M,0.72M,1.31M,167.72M,2017,2025-08-15 15:19:00
NYG,73.30M,21.56M,6.93M,17.33M,5.10M,22.94M,89.22M,40.60M,14.96M,33.66M,3.82M,0.72M,1.80M,1.30M,167.43M,2017,2025-08-15 15:19:00
SEA,64.67M,15.45M,6.68M,9.65M,12.72M,22.73M,96.93M,32.36M,19.34M,45.23M,3.17M,1.03M,1.60M,0.54M,167.37M,2017,2025-08-15 15:19:00
ATL,91.93M,27.32M,6.13M,28.24M,4.00M,26.36M,66.20M,38.52M,5.19M,23.18M,6.68M,3.10M,2.70M,0.88M,166.31M,2017,2025-08-15 15:19:00
OAK,95.81M,17.07M,3.98M,21.68M,7.89M,44.62M,60.29M,14.26M,11.75M,34.28M,7.12M,3.88M,2.55M,0.70M,164.44M,2017,2025-08-15 15:19:00
NE,80.58M,15.36M,11.09M,19.87M,13.09M,23.06M,72.79M,13.92M,18.72M,40.15M,7.09M,4.50M,1.90M,0.69M,163.71M,2017,2025-08-15 15:19:00
PIT,100.20M,21.01M,13.48M,18.08M,8.34M,39.45M,58.31M,15.96M,17.30M,25.05M,4.09M,2.82M,0.62M,0.65M,163.38M,2017,2025-08-15 15:19:00
NO,89.83M,20.98M,11.31M,8.36M,13.50M,34.41M,66.24M,25.28M,16.06M,24.90M,5.24M,0.54M,4.70M,-,161.72M,2017,2025-08-15 15:19:00
CIN,76.20M,16.80M,7.77M,24.50M,7.18M,17.74M,80.32M,27.88M,18.79M,33.66M,5.10M,0.89M,3.17M,1.05M,161.69M,2017,2025-08-15 15:19:00
