Team,QB,RB,WR,TE,OL,DL,LB,SEC,K,P,LS,Total,Year,Scraped_Date
JAX,11.65M,5.91M,30.30M,16.95M,28.65M,34.35M,46.30M,51.37M,2.02M,2.68M,1.05M,231.23M,2022,2025-08-15 15:20:38
PHI,7.25M,5.64M,21.57M,10.35M,45.84M,80.28M,11.39M,31.53M,2.91M,1.23M,1.46M,219.45M,2022,2025-08-15 15:20:38
SEA,31.32M,12.87M,24.63M,10.31M,28.55M,38.42M,20.44M,34.44M,5.00M,4.38M,2.08M,215.80M,2022,2025-08-15 15:20:38
DAL,21.10M,21.32M,20.55M,16.12M,47.13M,29.21M,21.91M,32.44M,1.37M,2.20M,1.77M,215.34M,2022,2025-08-15 15:20:38
DET,34.50M,9.14M,16.63M,8.66M,42.80M,36.33M,33.30M,28.22M,1.23M,1.25M,0.83M,214.42M,2022,2025-08-15 15:20:38
HOU,21.68M,8.20M,21.95M,9.03M,38.69M,25.28M,44.14M,36.00M,3.04M,2.20M,1.05M,212.67M,2022,2025-08-15 15:20:38
LAC,10.29M,11.19M,38.59M,7.50M,34.47M,18.41M,50.07M,35.85M,2.18M,1.35M,1.32M,212.13M,2022,2025-08-15 15:20:38
GB,32.12M,9.16M,14.46M,11.42M,36.90M,24.11M,41.09M,35.17M,5.08M,1.63M,0.71M,211.85M,2022,2025-08-15 15:20:38
DEN,19.29M,9.81M,20.02M,7.08M,51.65M,22.83M,22.87M,49.81M,4.23M,1.31M,1.32M,211.46M,2022,2025-08-15 15:20:38
PIT,20.62M,5.96M,22.47M,7.08M,20.21M,41.76M,47.04M,33.68M,5.41M,0.88M,0.83M,210.66M,2022,2025-08-15 15:20:38
CIN,11.66M,15.59M,23.72M,7.34M,36.82M,50.15M,9.05M,50.59M,0.91M,2.42M,1.95M,210.20M,2022,2025-08-15 15:20:38
TEN,40.00M,13.88M,20.43M,7.17M,34.01M,20.62M,36.90M,30.61M,2.38M,2.36M,1.05M,209.79M,2022,2025-08-15 15:20:38
MIN,33.73M,14.94M,21.06M,8.20M,24.68M,24.77M,46.99M,26.08M,2.44M,1.43M,1.04M,208.79M,2022,2025-08-15 15:20:38
MIA,15.61M,11.57M,30.35M,19.62M,26.89M,24.98M,30.49M,40.69M,3.15M,1.05M,0.94M,208.56M,2022,2025-08-15 15:20:38
WAS,32.60M,5.44M,28.52M,9.46M,37.46M,40.31M,10.51M,37.44M,2.00M,3.08M,0.86M,208.07M,2022,2025-08-15 15:20:38
NE,6.66M,4.44M,38.76M,24.21M,30.39M,26.96M,28.30M,41.74M,2.44M,2.64M,1.46M,208.00M,2022,2025-08-15 15:20:38
NO,21.94M,11.81M,27.46M,10.68M,48.17M,34.58M,12.17M,31.77M,5.57M,0.83M,1.26M,206.83M,2022,2025-08-15 15:20:38
BUF,20.51M,8.42M,23.24M,6.16M,36.16M,36.46M,24.93M,45.62M,0.94M,1.48M,1.54M,206.69M,2022,2025-08-15 15:20:38
SF,24.40M,5.00M,16.71M,10.70M,34.96M,46.54M,23.45M,33.03M,5.52M,1.71M,1.12M,206.08M,2022,2025-08-15 15:20:38
IND,22.59M,7.83M,11.87M,10.25M,44.80M,52.59M,20.86M,29.40M,1.33M,3.25M,1.04M,205.81M,2022,2025-08-15 15:20:38
KC,38.84M,6.48M,18.61M,11.77M,35.50M,56.64M,12.53M,18.58M,3.08M,0.90M,1.28M,205.25M,2022,2025-08-15 15:20:38
ARI,16.43M,7.62M,28.61M,8.84M,46.34M,28.14M,29.67M,32.06M,4.76M,1.17M,1.19M,204.83M,2022,2025-08-15 15:20:38
CHI,19.83M,9.75M,11.85M,10.37M,32.29M,41.59M,43.50M,28.56M,3.22M,0.72M,1.06M,204.70M,2022,2025-08-15 15:20:38
BAL,24.53M,9.69M,10.65M,17.14M,42.37M,19.92M,20.07M,50.56M,4.76M,1.93M,0.83M,204.62M,2022,2025-08-15 15:20:38
NYG,11.48M,10.58M,37.34M,5.18M,35.22M,27.22M,21.14M,49.27M,2.92M,1.39M,1.05M,203.67M,2022,2025-08-15 15:20:38
TB,16.26M,7.69M,27.17M,11.99M,44.81M,25.16M,39.40M,24.49M,4.00M,0.88M,1.12M,202.96M,2022,2025-08-15 15:20:38
NYJ,14.63M,5.65M,26.29M,9.05M,51.82M,47.77M,14.16M,27.63M,2.69M,0.95M,1.16M,202.47M,2022,2025-08-15 15:20:38
CAR,24.45M,12.10M,26.15M,5.80M,43.59M,24.05M,30.25M,29.27M,2.88M,1.79M,1.08M,202.25M,2022,2025-08-15 15:20:38
ATL,46.00M,7.01M,26.52M,11.94M,33.26M,27.10M,22.28M,20.21M,3.00M,1.53M,1.20M,201.72M,2022,2025-08-15 15:20:38
LAR,16.65M,4.84M,41.61M,5.78M,24.53M,45.42M,15.21M,40.78M,2.54M,1.90M,1.00M,200.27M,2022,2025-08-15 15:20:38
LV,21.40M,13.90M,26.51M,15.36M,23.50M,47.03M,19.38M,23.82M,4.23M,2.00M,1.04M,199.67M,2022,2025-08-15 15:20:38
CLE,28.75M,13.65M,14.68M,10.03M,40.39M,35.22M,11.78M,28.28M,0.89M,1.50M,1.34M,186.51M,2022,2025-08-15 15:20:38
