Rank,Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,CLECLE,-,55,25.1,130222141,46464153,81775809,13242314,35204018
2,SFSF,-,53,26.1,134002183,42579751,84921427,36918271,12127985
3,JAXJAX,-,52,25.5,150459217,39842493,109679864,35670710,5108643
4,TENTEN,-,53,26.5,150462723,25895103,116118046,15808120,18508957
5,CARCAR,-,53,26.8,139231900,18761241,98999535,27045781,13186584
6,WASWAS,-,53,26.6,146116126,15847898,117003811,12388527,16723788
7,MIAMIA,-,50,26.2,151387347,15379972,98532410,35333698,17521239
8,NYGNYG,-,53,26.4,154901229,12418930,127295586,12355327,15250316
9,NENE,-,53,26.3,147674888,11967563,117616342,12528974,17529572
10,PHIPHI,-,52,26.4,151957894,9612468,119020957,8757519,24179418
11,NONO,-,53,27.2,146288954,9273108,86319212,17817713,42124429
12,GBGB,-,51,25.7,154207025,9232264,134428984,15114512,4663529
13,CHICHI,-,53,25.8,148323553,8265326,73471561,62054641,12797351
14,INDIND,-,53,26.5,152482343,8126686,114015686,21160004,17189353
15,DETDET,-,53,26.5,149718669,7592547,116112911,8951089,24654669
16,DENDEN,-,53,25.7,147213128,6881913,112742090,19325789,15138349
17,DALDAL,-,51,26.7,152736923,6524260,139363235,10138201,3235487
18,CINCIN,-,53,26.5,156396246,6281306,121320842,31106767,3968637
19,PITPIT,-,53,26.3,151419973,6209005,120047251,19556052,11747670
20,LARLAR,-,53,25.3,149657650,6007539,109645297,18487672,21365306
21,KCKC,-,53,25.6,152511280,5444650,116014324,22307196,14189760
22,TBTB,-,54,25.9,155725098,5413268,120636046,28750608,6310844
23,HOUHOU,-,53,26.6,152060968,5125112,115226229,28091929,8653110
24,BUFBUF,-,53,26.4,152340574,5035157,112497692,21049137,18773045
25,ATLATL,-,52,27.1,153820903,4980768,112615074,15158848,26026281
26,SEASEA,-,51,26.1,150301345,4221582,120240932,15821302,14163211
27,BALBAL,-,53,26.7,150959443,4219312,115846569,19771337,15341537
28,OAKOAK,-,53,26.3,164335096,3997657,142746501,12390003,9198592
29,ARIARI,-,53,26.0,155855865,3112551,111290277,30760135,13722653
30,SDSD,-,53,26.0,155470367,1304400,101639984,40444312,13365371
31,MINMIN,-,53,26.6,157201886,-287169,119127210,30536041,7538635
32,NYJNYJ,-,54,25.5,158083299,-554565,97375558,43833352,16874389
