Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
ATL,1992,QB,Chris Miller,27,5,8,"152 for 253, 1,739 yards, 15 td, 6 int, & 23 rushes for 89 yards and 0 td",,Starters_1
ATL,1992,RB,Keith Jones,26,3,8,"79 rushes for 278 yards, 0 td, & 12 catches for 94 yards and 0 td",,Starters_1
ATL,1992,WR,Michael Haynes,27,4,14,"48 catches for 808 yards, 10 td",,Starters_1
ATL,1992,WR,Drew Hill,36,13,14,"60 catches for 623 yards, 3 td",,Starters_1
ATL,1992,WR,Mike Pritchard,23,1,15,"77 catches for 827 yards, 5 td, & 5 rushes for 37 yards and 0 td",,Starters_1
ATL,1992,WR,Andre Rison*,25,3,13,"93 catches for 1,119 yards, 11 td",,Starters_1
ATL,1992,LT,Mike Kenn,36,14,16,,,Starters_1
ATL,1992,LG,Houston Hoover,27,4,16,1 fumble recovered,,Starters_1
ATL,1992,C,Jamie Dukes,28,6,16,2 fumbles recovered,,Starters_1
ATL,1992,RG,Bill Fralic,30,7,16,2 fumbles recovered,,Starters_1
ATL,1992,RT,Chris Hinton,31,9,16,,,Starters_1
ATL,1992,LDE,Mike Gann,29,7,13,"2.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
ATL,1992,NT,Moe Gardner,24,1,14,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
ATL,1992,RDE,Tim Green,29,6,11,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
ATL,1992,LOLB,Ken Tippins,26,3,15,"3.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
ATL,1992,LILB,Jesse Solomon,29,6,14,"4.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1
ATL,1992,RILB,Jessie Tuggle*,27,5,15,"1.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
ATL,1992,ROLB,Darion Conner,25,2,16,"7.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
ATL,1992,LCB,Tim McKyer,29,6,15,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
ATL,1992,RCB,Deion Sanders*+,25,3,12,"0.0 sacks, 3 interceptions, 2 fumbles recovered",,Starters_1
ATL,1992,SS,Jeff Donaldson,30,8,16,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
ATL,1992,FS,Scott Case,30,8,11,"0.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1
