Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Matt Ryan,33,10,16,"422 for 608, 4,924 yards, 35 td, 7 int, & 33 rushes for 125 yards and 3 td",,Starters_1,ATL,2018,2025-08-15 18:50:24
RB,Tevin Coleman,25,3,14,"167 rushes for 800 yards, 4 td, & 32 catches for 276 yards and 5 td",,Starters_1,ATL,2018,2025-08-15 18:50:24
FB,Ricky Ortiz,24,Rook,9,"0 rushes for yards, 0 td, & 3 catches for 11 yards and 0 td",,Starters_1,ATL,2018,2025-08-15 18:50:24
WR,Julio Jones*,29,7,16,"113 catches for 1,677 yards, 8 td, & 2 rushes for 12 yards and 0 td",,Starters_1,ATL,2018,2025-08-15 18:50:24
WR,Mohamed Sanu,29,6,16,"66 catches for 838 yards, 4 td, & 7 rushes for 44 yards and 0 td",,Starters_1,ATL,2018,2025-08-15 18:50:24
TE,Logan Paulsen,31,8,10,"9 catches for 91 yards, 1 td",,Starters_1,ATL,2018,2025-08-15 18:50:24
LT,Jake Matthews*,26,4,16,,,Starters_1,ATL,2018,2025-08-15 18:50:24
LG,Wes Schweitzer,25,1,13,1 fumble recovered,,Starters_1,ATL,2018,2025-08-15 18:50:24
C,Alex Mack*,33,9,16,1 fumble recovered,,Starters_1,ATL,2018,2025-08-15 18:50:24
RG,Brandon Fusco,30,7,7,1 fumble recovered,,Starters_1,ATL,2018,2025-08-15 18:50:24
RT,Ryan Schraeder,30,5,13,,,Starters_1,ATL,2018,2025-08-15 18:50:24
LDE,Vic Beasley,26,3,9,"5.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
LDT,Jack Crawford,30,6,11,"6.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
RDT,Grady Jarrett,25,3,14,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
RDE,Takkarist McKinley,23,1,8,"7.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
LLB,Duke Riley,24,1,10,,,Starters_1,ATL,2018,2025-08-15 18:50:24
MLB,De'Vondre Campbell,25,2,13,"1.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
RLB,Brian Poole,26,2,9,"3.0 sacks, 3 interceptions, 2 fumbles recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
LCB,Robert Alford,30,5,15,,,Starters_1,ATL,2018,2025-08-15 18:50:24
RCB,Desmond Trufant,28,5,16,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
SS,Damontae Kazee,25,1,15,"0.0 sacks, 7 interceptions, 0 fumbles recovered",,Starters_1,ATL,2018,2025-08-15 18:50:24
FS,Jordan Richards,25,3,12,,,Starters_1,ATL,2018,2025-08-15 18:50:24
