Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
BUF,1997,QB,Todd Collins,26,2,13,"215 for 391, 2,367 yards, 12 td, 13 int, & 30 rushes for 77 yards and 0 td",,Starters_1
BUF,1997,RB,Thurman Thomas,31,9,16,"154 rushes for 643 yards, 1 td, & 30 catches for 208 yards and 0 td",,Starters_1
BUF,1997,WR,Quinn Early,32,9,16,"60 catches for 853 yards, 5 td",,Starters_1
BUF,1997,WR,Eric Moulds,24,1,8,"29 catches for 294 yards, 0 td, & 4 rushes for 59 yards and 0 td",,Starters_1
BUF,1997,WR,Andre Reed,33,12,15,"60 catches for 880 yards, 5 td, & 3 rushes for 11 yards and 0 td",,Starters_1
BUF,1997,TE,Lonnie Johnson,26,3,16,"41 catches for 340 yards, 2 td, & 1 rush for 6 yards and 0 td",,Starters_1
BUF,1997,LT,John Fina,28,5,16,1 fumble recovered,,Starters_1
BUF,1997,LG,Ruben Brown*,25,2,16,1 fumble recovered,,Starters_1
BUF,1997,C,Dusty Zeigler,24,1,13,1 fumble recovered,,Starters_1
BUF,1997,RG,Corbin Lacina,27,3,13,1 fumble recovered,,Starters_1
BUF,1997,RT,Jerry Ostroski,27,3,16,3 fumbles recovered,,Starters_1
BUF,1997,LDE,Phil Hansen,29,6,16,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
BUF,1997,NT,Ted Washington*,29,6,16,"4.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
BUF,1997,RDE,Bruce Smith*+,34,12,16,"14.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
BUF,1997,LOLB,Bryce Paup*,29,7,16,"9.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
BUF,1997,LILB,Chris Spielman,32,9,8,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
BUF,1997,RILB,Damien Covington,25,2,8,"0.5 sacks, 1 interception, 0 fumbles recovered",,Starters_1
BUF,1997,ROLB,Sam Rogers,27,3,15,"3.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
BUF,1997,LCB,Jeff Burris,25,3,14,"0.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
BUF,1997,RCB,Thomas Smith,27,4,16,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
BUF,1997,SS,Henry Jones,30,6,15,"2.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
BUF,1997,FS,Kurt Schulz,29,5,15,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
