Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Josh Allen*,24,2,16,"396 for 572, 4,544 yards, 37 td, 10 int, & 102 rushes for 421 yards and 8 td",,Starters_1,BUF,2020,2025-08-15 18:54:46
RB,Devin Singletary,23,1,16,"156 rushes for 687 yards, 2 td, & 38 catches for 269 yards and 0 td",,Starters_1,BUF,2020,2025-08-15 18:54:46
WR,John Brown,30,6,8,"33 catches for 458 yards, 3 td",,Starters_1,BUF,2020,2025-08-15 18:54:46
WR,Gabriel Davis,21,Rook,11,"35 catches for 599 yards, 7 td, & 1 rush for yards and 0 td",,Starters_1,BUF,2020,2025-08-15 18:54:46
WR,Stefon Diggs*+,27,5,15,"127 catches for 1,535 yards, 8 td, & 1 rush for 1 yards and 0 td",,Starters_1,BUF,2020,2025-08-15 18:54:46
TE,Dawson Knox,24,1,7,"24 catches for 288 yards, 3 td",,Starters_1,BUF,2020,2025-08-15 18:54:46
LT,Dion Dawkins,26,3,16,1 fumble recovered,,Starters_1,BUF,2020,2025-08-15 18:54:46
LG,Ike Boettger,26,2,7,,,Starters_1,BUF,2020,2025-08-15 18:54:46
C,Mitch Morse,28,5,14,1 fumble recovered,,Starters_1,BUF,2020,2025-08-15 18:54:46
RG,Brian Winters,29,7,9,,,Starters_1,BUF,2020,2025-08-15 18:54:46
RT,Daryl Williams,28,5,16,,,Starters_1,BUF,2020,2025-08-15 18:54:46
LDE,Jerry Hughes,32,10,15,"4.5 sacks, 1 interception, 2 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
LDT,Vernon Butler,26,4,9,,,Starters_1,BUF,2020,2025-08-15 18:54:46
RDT,Ed Oliver,23,1,16,"3.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
RDE,Mario Addison,33,9,7,"5.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
LLB,A.J. Klein,29,7,11,"5.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
MLB,Tremaine Edmunds*,22,2,15,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
LCB,Tre'Davious White*,25,3,14,"1.5 sacks, 3 interceptions, 2 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
RCB,Levi Wallace,25,2,12,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
SS,Jordan Poyer,29,7,16,"2.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
FS,Micah Hyde,30,7,15,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,BUF,2020,2025-08-15 18:54:46
DB,Taron Johnson,24,2,11,,,Starters_1,BUF,2020,2025-08-15 18:54:46
