Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
CAR,1997,QB,Kerry Collins,25,2,13,"200 for 381, 2,124 yards, 11 td, 21 int, & 26 rushes for 65 yards and 1 td",,Starters_1
CAR,1997,RB,Fred Lane,22,Rook,7,"182 rushes for 809 yards, 7 td, & 8 catches for 27 yards and 0 td",,Starters_1
CAR,1997,FB,Scott Greene,25,1,14,"45 rushes for 157 yards, 1 td, & 40 catches for 277 yards and 1 td",,Starters_1
CAR,1997,WR,Mark Carrier,32,10,6,"33 catches for 436 yards, 2 td",,Starters_1
CAR,1997,WR,Rae Carruth,23,Rook,14,"44 catches for 545 yards, 4 td, & 6 rushes for 23 yards and 0 td",,Starters_1
CAR,1997,TE,Wesley Walls*,31,8,15,"58 catches for 746 yards, 6 td",,Starters_1
CAR,1997,LT,Blake Brockermeyer,24,2,13,,,Starters_1
CAR,1997,LG,Matt Campbell,25,2,14,,,Starters_1
CAR,1997,C,Frank Garcia,25,2,16,,,Starters_1
CAR,1997,RG,Greg Skrepenak,27,5,16,,,Starters_1
CAR,1997,RT,Norbert Davidds-Garrido,25,1,15,,,Starters_1
CAR,1997,LDE,Les Miller,32,10,11,"5.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CAR,1997,NT,Greg Kragen,35,12,16,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CAR,1997,RDE,Ray Seals,32,8,7,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CAR,1997,LOLB,Micheal Barrow,27,4,16,"8.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
CAR,1997,LILB,Sam Mills,38,11,16,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CAR,1997,RILB,Andre Royal,25,2,13,"5.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CAR,1997,ROLB,Lamar Lathon,30,7,15,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CAR,1997,LCB,Eric Davis,29,7,14,"0.0 sacks, 5 interceptions, 1 fumble recovered",,Starters_1
CAR,1997,RCB,Tyrone Poole,25,2,16,"1.0 sacks, 2 interceptions, 3 fumbles recovered",,Starters_1
CAR,1997,SS,Chad Cota,26,2,16,"1.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
CAR,1997,FS,Mike Minter,23,Rook,11,"3.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
