Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Cam Newton,28,6,16,"291 for 492, 3,302 yards, 22 td, 16 int, & 139 rushes for 754 yards and 6 td",,Starters_1,CAR,2017,2025-08-15 18:56:26
RB,Christian McCaffrey,21,Rook,10,"117 rushes for 435 yards, 2 td, & 80 catches for 651 yards and 5 td",,Starters_1,CAR,2017,2025-08-15 18:56:26
RB,Jonathan Stewart,30,9,10,"198 rushes for 680 yards, 6 td, & 8 catches for 52 yards and 1 td",,Starters_1,CAR,2017,2025-08-15 18:56:26
WR,Kelvin Benjamin,26,3,8,"32 catches for 475 yards, 2 td",,Starters_1,CAR,2017,2025-08-15 18:56:26
WR,Devin Funchess,23,2,16,"63 catches for 840 yards, 8 td",,Starters_1,CAR,2017,2025-08-15 18:56:26
TE,Ed Dickson,30,7,12,"30 catches for 437 yards, 1 td",,Starters_1,CAR,2017,2025-08-15 18:56:26
LT,Matt Kalil,28,5,16,1 fumble recovered,,Starters_1,CAR,2017,2025-08-15 18:56:26
LG,Andrew Norwell+,26,3,16,,,Starters_1,CAR,2017,2025-08-15 18:56:26
C,Tyler Larsen,26,1,10,,,Starters_1,CAR,2017,2025-08-15 18:56:26
RG,Trai Turner*,24,3,13,,,Starters_1,CAR,2017,2025-08-15 18:56:26
RT,Daryl Williams,25,2,16,,,Starters_1,CAR,2017,2025-08-15 18:56:26
LDE,Charles Johnson,31,10,11,,,Starters_1,CAR,2017,2025-08-15 18:56:26
LDT,Star Lotulelei,28,4,16,"1.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
RDT,Kawann Short,28,4,16,"7.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
RDE,Mario Addison,30,6,16,"11.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
LLB,Shaq Thompson,23,2,14,"2.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
MLB,Luke Kuechly*+,26,5,15,"1.5 sacks, 3 interceptions, 3 fumbles recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
RLB,Thomas Davis*,34,12,15,"2.5 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
LCB,James Bradberry,24,1,16,"1.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
RCB,Daryl Worley,22,1,14,"1.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
SS,Mike Adams,36,13,16,"0.0 sacks, 2 interceptions, 2 fumbles recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
FS,Kurt Coleman,29,7,12,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CAR,2017,2025-08-15 18:56:26
