Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
CHI,2000,QB,Cade McNown,23,1,9,"154 for 280, 1,646 yards, 8 td, 9 int, & 50 rushes for 326 yards and 3 td",,Starters_1
CHI,2000,RB,James Allen,25,2,15,"290 rushes for 1,120 yards, 2 td, & 39 catches for 291 yards and 1 td",,Starters_1
CHI,2000,FB,Curtis Enis,24,2,5,"36 rushes for 84 yards, 1 td, & 8 catches for 68 yards and 0 td",,Starters_1
CHI,2000,WR,Eddie Kennison,27,4,10,"55 catches for 549 yards, 2 td, & 3 rushes for 72 yards and 0 td",,Starters_1
CHI,2000,WR,Marcus Robinson,25,2,11,"55 catches for 738 yards, 5 td, & 1 rush for 9 yards and 0 td",,Starters_1
CHI,2000,TE,Kaseem Sinceno,24,2,11,"23 catches for 206 yards, 0 td",,Starters_1
CHI,2000,LT,Blake Brockermeyer,27,5,14,,,Starters_1
CHI,2000,LG,Todd Perry,30,7,16,,,Starters_1
CHI,2000,C,Casey Wiegmann,27,3,10,1 fumble recovered,,Starters_1
CHI,2000,RG,Chris Villarrial,27,4,15,,,Starters_1
CHI,2000,RT,James Williams,32,9,16,1 fumble recovered,,Starters_1
CHI,2000,LDE,Bryan Robinson,26,3,16,"4.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CHI,2000,LDT,Jim Flanigan,29,6,14,"4.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CHI,2000,RDT,Mike Wells,29,6,14,"1.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CHI,2000,RDE,Phillip Daniels,27,4,14,"6.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CHI,2000,LLB,Sean Harris,28,5,13,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1
CHI,2000,MLB,Brian Urlacher*,22,Rook,14,"8.0 sacks, 2 interceptions, 1 fumble recovered",,Starters_1
CHI,2000,RLB,Warrick Holdman,25,1,10,,,Starters_1
CHI,2000,LCB,Walt Harris,26,4,12,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
CHI,2000,RCB,Thomas Smith,30,7,16,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CHI,2000,SS,Tony Parrish,25,2,16,"2.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1
CHI,2000,FS,Mike Brown,22,Rook,16,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
