Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type,Team,Year,Scraped_Date
QB,Jay Cutler,31,8,15,"370 for 561, 3,812 yards, 28 td, 18 int, & 39 rushes for 191 yards and 2 td",,Starters_1,CHI,2014,2025-08-15 18:58:03
RB,Matt Forte,29,6,16,"266 rushes for 1,038 yards, 6 td, & 102 catches for 808 yards and 4 td",,Starters_1,CHI,2014,2025-08-15 18:58:03
WR,Alshon Jeffery,24,2,16,"85 catches for 1,133 yards, 10 td, & 6 rushes for 33 yards and 0 td",,Starters_1,CHI,2014,2025-08-15 18:58:03
WR,Brandon Marshall,30,8,13,"61 catches for 721 yards, 8 td",,Starters_1,CHI,2014,2025-08-15 18:58:03
WR,Josh Morgan,29,6,7,"10 catches for 70 yards, 1 td, & 2 rushes for 30 yards and 0 td",,Starters_1,CHI,2014,2025-08-15 18:58:03
TE,Martellus Bennett*,27,6,15,"90 catches for 916 yards, 6 td",,Starters_1,CHI,2014,2025-08-15 18:58:03
LT,Jermon Bushrod,30,7,14,,,Starters_1,CHI,2014,2025-08-15 18:58:03
LG,Michael Ola,26,1,12,,,Starters_1,CHI,2014,2025-08-15 18:58:03
C,Roberto Garza,35,13,12,,,Starters_1,CHI,2014,2025-08-15 18:58:03
RG,Kyle Long*,26,1,15,,,Starters_1,CHI,2014,2025-08-15 18:58:03
RT,Jordan Mills,24,1,13,,,Starters_1,CHI,2014,2025-08-15 18:58:03
LDE,Lamarr Houston,27,4,8,"1.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
LDT,Jay Ratliff,33,9,11,"6.5 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
RDT,Stephen Paea,26,3,16,"6.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
RDE,Jared Allen,32,10,15,"5.5 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
LLB,Lance Briggs,34,11,8,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
MLB,D.J. Williams,32,10,10,,,Starters_1,CHI,2014,2025-08-15 18:58:03
RLB,Shea McClellin,25,2,10,"1.0 sacks, 0 interceptions, 0 fumbles recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
LCB,Tim Jennings,31,8,16,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
RCB,Kyle Fuller,22,Rook,14,"0.0 sacks, 4 interceptions, 0 fumbles recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
SS,Ryan Mundy,29,5,16,"1.0 sacks, 4 interceptions, 1 fumble recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
FS,Chris Conte,25,3,12,"0.0 sacks, 3 interceptions, 0 fumbles recovered",,Starters_1,CHI,2014,2025-08-15 18:58:03
