Team,Year,Pos,Player,Age,Yrs,GS,Summary of Player Stats,Drafted (tm/rnd/yr),Table_Type
CIN,1991,QB,Boomer Esiason,30,7,14,"233 for 413, 2,883 yards, 13 td, 16 int, & 24 rushes for 66 yards and 0 td",,Starters_1
CIN,1991,RB,James Brooks,33,10,12,"152 rushes for 571 yards, 2 td, & 40 catches for 348 yards and 2 td",,Starters_1
CIN,1991,FB,Harold Green,23,1,10,"158 rushes for 731 yards, 2 td, & 16 catches for 136 yards and 0 td",,Starters_1
CIN,1991,WR,Eddie Brown,29,6,12,"59 catches for 827 yards, 2 td, & 1 rush for 8 yards and 0 td",,Starters_1
CIN,1991,WR,Tim McGee,27,5,16,"51 catches for 802 yards, 4 td",,Starters_1
CIN,1991,TE,Rodney Holman,31,9,15,"31 catches for 445 yards, 2 td",,Starters_1
CIN,1991,LT,Anthony Munoz*,33,11,13,1 fumble recovered,,Starters_1
CIN,1991,LG,Bruce Reimers,31,7,8,1 fumble recovered,,Starters_1
CIN,1991,C,Bruce Kozerski,29,7,16,1 fumble recovered,,Starters_1
CIN,1991,RG,Ken Moyer,25,2,10,1 fumble recovered,,Starters_1
CIN,1991,RT,Joe Walter,28,6,14,1 fumble recovered,,Starters_1
CIN,1991,LDE,Alonzo Mitz,28,5,13,"0.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
CIN,1991,NT,Tim Krumrie,31,8,16,"4.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CIN,1991,RDE,David Grant,26,3,13,"2.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CIN,1991,LOLB,James Francis,23,1,16,"3.0 sacks, 1 interception, 1 fumble recovered",,Starters_1
CIN,1991,LILB,Leo Barker,32,7,11,"0.0 sacks, 1 interception, 0 fumbles recovered",,Starters_1
CIN,1991,RILB,Carl Zander,28,6,12,"0.0 sacks, 0 interceptions, 1 fumble recovered",,Starters_1
CIN,1991,ROLB,Alfred Williams,23,Rook,15,"3.0 sacks, 0 interceptions, 2 fumbles recovered",,Starters_1
CIN,1991,LCB,Wayne Haddix,26,4,7,,,Starters_1
CIN,1991,RCB,Eric Thomas,27,4,16,"0.0 sacks, 3 interceptions, 1 fumble recovered",,Starters_1
CIN,1991,SS,David Fulcher,27,5,16,"0.0 sacks, 4 interceptions, 3 fumbles recovered",,Starters_1
CIN,1991,FS,Rickey Dixon,25,3,9,"0.0 sacks, 2 interceptions, 0 fumbles recovered",,Starters_1
